Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
10009138|;1;0,181818181818182;0,018867924528302;0,181818181818182;0,018867924528302;0,851076126098633;54;54;45;11;11;[L]01*HOOFD*010|[M]tau*split|[L]01*HOOFD*011|[M]01*HOOFD*195*2|[L]01*HOOFD*020|[M]01*HOOFD*195*1|[L/M]02*DRZ*010|[L]04*BPT*005|[M]tau*from*tree|[L]01*HOOFD*065*0|[M]01*HOOFD*011|[L]01*HOOFD*110*0|[M]tau*from*tree|[L]01*HOOFD*100*0|[M]01*HOOFD*010|[L/M]01*HOOFD*015|[L]01*HOOFD*061|[L]01*HOOFD*101|[L]01*HOOFD*030*1|[L]01*HOOFD*030*2|[L]08*AWB45*005|[L]01*HOOFD*200|[L]01*HOOFD*330|[L]09*AH*I*010|[L]01*HOOFD*380|[L]01*HOOFD*430|[L]11*AH*II*010|[L]13*CRD*010|[L]01*HOOFD*480|[L]01*HOOFD*490*2|[L]01*HOOFD*491|[L]01*HOOFD*180|[L]01*HOOFD*494a|[L]01*HOOFD*490*4|[L]01*HOOFD*195|[L]01*HOOFD*375|[L]01*HOOFD*490*1|[L]01*HOOFD*250*1|[L]01*HOOFD*370|[L]01*HOOFD*250*2|[L]01*HOOFD*490*1a|[L]01*HOOFD*500|[L]01*HOOFD*510*0|[L]01*HOOFD*510*1|[L]01*HOOFD*490*5|[L]01*HOOFD*510*3|[L]01*HOOFD*490*5a|[L]01*HOOFD*495|[L]01*HOOFD*510*4|[L]01*HOOFD*515|[L]01*HOOFD*510*2|[M]tau*join|[L]01*HOOFD*510*2a|[M]tau*from*tree|
10051383|;1;0,181818181818182;0,015384615384615;0,181818181818182;0,015384615384615;0,993931770324707;66;66;57;11;11;[L]01*HOOFD*065*0|[M]tau*split|[L]01*HOOFD*110*0|[M]tau*from*tree|[L]01*HOOFD*100*0|[M]01*HOOFD*195*1|[L]01*HOOFD*011|[M]02*DRZ*010|[L]01*HOOFD*020|[M]tau*from*tree|[L]02*DRZ*010|[M]01*HOOFD*011|[L]04*BPT*005|[M]tau*from*tree|[L/M]01*HOOFD*010|[L]01*HOOFD*061|[L/M]01*HOOFD*015|[L]01*HOOFD*030*1|[L]01*HOOFD*101|[L]01*HOOFD*030*2|[L]08*AWB45*005|[L]08*AWB45*010|[L]08*AWB45*020*0|[L]01*HOOFD*180|[L]08*AWB45*020*1|[L]08*AWB45*025|[L]08*AWB45*020*2|[L]08*AWB45*030|[L]08*AWB45*040|[L]08*AWB45*045|[L]01*HOOFD*193|[L]08*AWB45*051*0|[L]01*HOOFD*196|[L]01*HOOFD*200|[L]01*HOOFD*330|[L]09*AH*I*010|[L]01*HOOFD*380|[L]01*HOOFD*430|[L]11*AH*II*010|[L]13*CRD*010|[L]01*HOOFD*480|[L]01*HOOFD*490*2|[L]01*HOOFD*491|[L]01*HOOFD*500|[L]01*HOOFD*510*0|[L]08*AWB45*005|[L]01*HOOFD*510*4|[L]01*HOOFD*495|[L]01*HOOFD*375|[L]01*HOOFD*515|[L]01*HOOFD*370|[L]01*HOOFD*490*4|[L]01*HOOFD*490*1|[L]01*HOOFD*250*2|[L]01*HOOFD*250*1|[L]01*HOOFD*510*1|[L]01*HOOFD*490*1a|[L]01*HOOFD*510*3|[L]01*HOOFD*494a|[L]01*HOOFD*195|[L]01*HOOFD*510*2a|[L]01*HOOFD*490*5|[L]01*HOOFD*490*5a|[M]tau*join|[L]01*HOOFD*510*2|[M]tau*from*tree|
10053042|;1;0,181818181818182;0,015384615384615;0,181818181818182;0,015384615384615;0,98730206489563;66;66;57;11;11;[L]01*HOOFD*010|[M]tau*split|[L]01*HOOFD*011|[M]tau*from*tree|[L]01*HOOFD*020|[M]tau*from*tree|[L/M]02*DRZ*010|[L]04*BPT*005|[M]tau*from*tree|[L]01*HOOFD*065*0|[M]01*HOOFD*011|[L]01*HOOFD*110*0|[M]tau*from*tree|[L]01*HOOFD*100*0|[M]01*HOOFD*010|[L/M]01*HOOFD*015|[L]01*HOOFD*101|[L]01*HOOFD*030*1|[L]01*HOOFD*061|[L]01*HOOFD*030*2|[L]08*AWB45*005|[L]08*AWB45*010|[L]08*AWB45*020*0|[L]01*HOOFD*180|[L]08*AWB45*020*1|[L]08*AWB45*025|[L]08*AWB45*020*2|[L]08*AWB45*040|[L]08*AWB45*030|[L]08*AWB45*045|[L]01*HOOFD*193|[L]08*AWB45*005|[L]01*HOOFD*196|[L]01*HOOFD*200|[L]01*HOOFD*330|[L]09*AH*I*010|[L]01*HOOFD*380|[L]01*HOOFD*430|[L]11*AH*II*010|[L]13*CRD*010|[L]01*HOOFD*480|[L]01*HOOFD*490*2|[L]08*AWB45*051*0|[L]01*HOOFD*490*1a|[L]01*HOOFD*490*4|[L]01*HOOFD*375|[L]01*HOOFD*195|[L]01*HOOFD*250*1|[L]01*HOOFD*490*1|[L]01*HOOFD*370|[L]01*HOOFD*250*2|[L]01*HOOFD*491|[L]01*HOOFD*494a|[L]01*HOOFD*500|[L]01*HOOFD*510*0|[L]01*HOOFD*510*3|[L]01*HOOFD*510*1|[L]01*HOOFD*510*4|[L]01*HOOFD*515|[L]01*HOOFD*495|[L]01*HOOFD*510*2|[L]01*HOOFD*510*2a|[L]01*HOOFD*490*5|[M]tau*join|[L]01*HOOFD*490*5a|[M]tau*from*tree|
10083315|;1;0,181818181818182;0,015151515151515;0,181818181818182;0,015151515151515;0,99539303779602;67;67;58;11;11;[L]01*HOOFD*010|[M]tau*split|[L]01*HOOFD*011|[M]01*HOOFD*195*2|[L]01*HOOFD*020|[M]tau*from*tree|[L/M]02*DRZ*010|[L]04*BPT*005|[L]01*HOOFD*065*0|[L]01*HOOFD*110*0|[L]01*HOOFD*100*0|[M]tau*from*tree|[L]01*HOOFD*061|[M]01*HOOFD*011|[L]01*HOOFD*030*1|[M]tau*from*tree|[L]01*HOOFD*101|[M]01*HOOFD*010|[L/M]01*HOOFD*015|[L]01*HOOFD*030*2|[L]08*AWB45*005|[L]08*AWB45*010|[L]08*AWB45*020*0|[L]01*HOOFD*180|[L]08*AWB45*025|[L]08*AWB45*020*1|[L]08*AWB45*020*2|[L]08*AWB45*040|[L]08*AWB45*051*0|[L]01*HOOFD*193|[L]08*AWB45*030|[L]08*AWB45*045|[L]01*HOOFD*196|[L]01*HOOFD*200|[L]01*HOOFD*330|[L]09*AH*I*010|[L]01*HOOFD*380|[L]01*HOOFD*430|[L]11*AH*II*010|[L]13*CRD*010|[L]01*HOOFD*480|[L]01*HOOFD*490*2|[L]01*HOOFD*491|[L]08*AWB45*005|[L]01*HOOFD*250*2|[L]01*HOOFD*195|[L]01*HOOFD*375|[L]01*HOOFD*490*1|[L]01*HOOFD*370|[L]01*HOOFD*250*1|[L]01*HOOFD*490*1a|[L]01*HOOFD*490*4|[L]01*HOOFD*494a|[L]01*HOOFD*500|[L]01*HOOFD*510*0|[L]01*HOOFD*510*1|[L]01*HOOFD*510*3|[L]01*HOOFD*515|[L]01*HOOFD*532|[L]01*HOOFD*495|[L]01*HOOFD*510*4|[L]01*HOOFD*490*5a|[L]01*HOOFD*490*5|[L]01*HOOFD*510*2|[M]tau*join|[L]01*HOOFD*510*2a|[M]tau*from*tree|
10093171|;1;0,181818181818182;0,018518518518519;0,181818181818182;0,018518518518519;0,860833168029785;56;55;46;11;11;[L]01*HOOFD*010|[M]tau*split|[L]01*HOOFD*011|[M]tau*from*tree|[L]01*HOOFD*020|[M]tau*from*tree|[L/M]02*DRZ*010|[L]04*BPT*005|[L]01*HOOFD*065*0|[L]01*HOOFD*100*0|[L/M]01*HOOFD*015|[L]01*HOOFD*101|[L]01*HOOFD*061|[L]01*HOOFD*030*1|[L]01*HOOFD*030*2|[L]01*HOOFD*180|[L]08*AWB45*005|[L]01*HOOFD*200|[L]01*HOOFD*330|[L]09*AH*I*010|[L]01*HOOFD*380|[L]01*HOOFD*430|[L]11*AH*II*010|[L]13*CRD*010|[L]01*HOOFD*480|[L]01*HOOFD*490*2|[L]01*HOOFD*491|[L]01*HOOFD*110*0|[L]01*HOOFD*250*2|[L]01*HOOFD*370|[L]01*HOOFD*494a|[L]01*HOOFD*490*4|[L]01*HOOFD*375|[L]01*HOOFD*195|[L]01*HOOFD*250*1|[L]01*HOOFD*490*1a|[L]01*HOOFD*490*1|[L]01*HOOFD*500|[L]01*HOOFD*510*0|[L]01*HOOFD*510*4|[L]01*HOOFD*510*1|[L]01*HOOFD*510*3|[L]01*HOOFD*532|[L]01*HOOFD*515|[M]tau*from*tree|[L]01*HOOFD*495|[M]01*HOOFD*011|[L]01*HOOFD*490*5|[M]tau*from*tree|[L]01*HOOFD*510*2a|[M]01*HOOFD*010|[L]01*HOOFD*490*5a|[M]tau*join|[L]01*HOOFD*510*2|[M]01*BB*680|
10128431|;1;0,181818181818182;0,015625;0,181818181818182;0,015625;0,995445013046265;65;65;56;11;11;[L]01*HOOFD*010|[M]tau*split|[L]01*HOOFD*011|[M]01*HOOFD*195*2|[L]01*HOOFD*020|[M]01*HOOFD*195*1|[L/M]02*DRZ*010|[L]04*BPT*005|[L]01*HOOFD*065*0|[L]01*HOOFD*110*0|[M]tau*from*tree|[L]01*HOOFD*100*0|[M]01*HOOFD*011|[L]01*HOOFD*030*1|[M]tau*from*tree|[L]01*HOOFD*061|[M]01*HOOFD*010|[L/M]01*HOOFD*015|[L]01*HOOFD*101|[L]01*HOOFD*030*2|[L]08*AWB45*040|[L]08*AWB45*005|[L]08*AWB45*010|[L]08*AWB45*020*0|[L]01*HOOFD*180|[L]08*AWB45*025|[L]08*AWB45*020*1|[L]08*AWB45*020*2|[L]08*AWB45*051*0|[L]01*HOOFD*193|[L]08*AWB45*030|[L]08*AWB45*045|[L]01*HOOFD*196|[L]01*HOOFD*200|[L]01*HOOFD*330|[L]09*AH*I*010|[L]01*HOOFD*380|[L]01*HOOFD*430|[L]11*AH*II*010|[L]13*CRD*010|[L]01*HOOFD*480|[L]01*HOOFD*490*2|[L]01*HOOFD*500|[L]01*HOOFD*510*0|[L]08*AWB45*005|[L]01*HOOFD*370|[L]01*HOOFD*490*1|[L]01*HOOFD*250*2|[L]01*HOOFD*510*1|[L]01*HOOFD*515|[L]01*HOOFD*375|[L]01*HOOFD*532|[L]01*HOOFD*510*3|[L]01*HOOFD*250*1|[L]01*HOOFD*490*3a|[L]01*HOOFD*510*2a|[L]01*HOOFD*490*4|[L]01*HOOFD*495|[L]01*HOOFD*195|[L]01*HOOFD*510*4|[L]01*HOOFD*490*1a|[L]01*HOOFD*490*3|[M]tau*join|[L]01*HOOFD*510*2|[M]tau*from*tree|
10153084|;1;0,181818181818182;0,015151515151515;0,181818181818182;0,015151515151515;0,996399879455566;68;67;58;11;11;[L]01*HOOFD*010|[M]tau*split|[L]01*HOOFD*011|[M]01*HOOFD*195*2|[L]01*HOOFD*020|[M]tau*from*tree|[L/M]02*DRZ*010|[L]04*BPT*005|[L]01*HOOFD*065*0|[L]01*HOOFD*100*0|[L/M]01*HOOFD*015|[L]01*HOOFD*030*1|[L]01*HOOFD*061|[L]01*HOOFD*101|[L]01*HOOFD*030*2|[L]01*HOOFD*180|[L]08*AWB45*005|[L]08*AWB45*010|[L]08*AWB45*020*0|[L]01*HOOFD*110*0|[L]08*AWB45*025|[L]08*AWB45*020*1|[L]08*AWB45*020*2|[L]08*AWB45*040|[L]08*AWB45*051*0|[L]01*HOOFD*193|[L]08*AWB45*030|[L]08*AWB45*045|[L]01*HOOFD*196|[L]01*HOOFD*200|[L]01*HOOFD*330|[L]09*AH*I*010|[L]01*HOOFD*380|[L]01*HOOFD*430|[L]11*AH*II*010|[L]13*CRD*010|[L]01*HOOFD*480|[L]01*HOOFD*490*2|[L]01*HOOFD*491|[L]08*AWB45*005|[L]01*HOOFD*490*1|[L]01*HOOFD*375|[L]01*HOOFD*490*1a|[L]01*HOOFD*250*2|[L]01*HOOFD*490*4|[L]01*HOOFD*195|[L]01*HOOFD*494a|[L]01*HOOFD*370|[L]01*HOOFD*250*1|[L]01*HOOFD*500|[L]01*HOOFD*510*0|[L]01*HOOFD*510*3|[L]01*HOOFD*510*4|[L]01*HOOFD*532|[L]01*HOOFD*515|[L]01*HOOFD*495|[M]tau*from*tree|[L]01*HOOFD*510*1|[M]01*HOOFD*011|[L]01*HOOFD*510*2a|[M]tau*from*tree|[L]01*HOOFD*510*2|[M]01*HOOFD*010|[L]01*HOOFD*490*5|[M]tau*join|[L]01*HOOFD*490*5a|[M]01*BB*680|
10154600|;1;0,181818181818182;0,018181818181818;0,181818181818182;0,018181818181818;0,878484964370727;57;56;47;11;11;[L]01*HOOFD*010|[M]tau*split|[L]01*HOOFD*011|[M]01*HOOFD*195*2|[L]01*HOOFD*020|[M]01*HOOFD*195*1|[L/M]02*DRZ*010|[L]04*BPT*005|[L]01*HOOFD*065*0|[L]01*HOOFD*100*0|[L/M]01*HOOFD*015|[L]01*HOOFD*030*1|[L]01*HOOFD*101|[L]01*HOOFD*061|[L]01*HOOFD*030*2|[L]01*HOOFD*180|[L]01*HOOFD*110*0|[L]01*HOOFD*181|[L]01*HOOFD*490*3|[L]01*HOOFD*510*2|[L]01*HOOFD*490*3a|[L]01*HOOFD*510*2a|[L]01*HOOFD*200|[L]01*HOOFD*330|[L]01*HOOFD*350*0|[L]09*AH*I*010|[L]01*HOOFD*380|[L]01*HOOFD*430|[L]11*AH*II*010|[L]13*CRD*010|[L]01*HOOFD*480|[L]01*HOOFD*490*2|[L]08*AWB45*005|[L]01*HOOFD*375|[L]01*HOOFD*490*1a|[L]01*HOOFD*370|[L]01*HOOFD*195|[L]01*HOOFD*250*1|[L]01*HOOFD*250*2|[L]01*HOOFD*490*1|[L]01*HOOFD*332|[L]01*HOOFD*500|[L]01*HOOFD*510*0|[L]01*HOOFD*510*3|[L]01*HOOFD*532|[M]tau*from*tree|[L]01*HOOFD*510*4|[M]01*HOOFD*011|[L]01*HOOFD*495|[M]tau*from*tree|[L]01*HOOFD*510*1|[M]01*HOOFD*010|[L]01*HOOFD*490*4|[M]tau*join|[L]01*HOOFD*515|[M]01*BB*680|
10186016|;1;0,181818181818182;0,012658227848101;0,181818181818182;0,012658227848101;1,14114093780518;80;80;71;11;11;[L]01*HOOFD*010|[M]tau*split|[L]01*HOOFD*011|[M]01*HOOFD*195*2|[L]01*HOOFD*020|[M]tau*from*tree|[L/M]02*DRZ*010|[L]04*BPT*005|[L]01*HOOFD*065*0|[L]01*HOOFD*110*0|[M]tau*from*tree|[L]01*HOOFD*100*0|[M]01*HOOFD*011|[L]01*HOOFD*061|[M]tau*from*tree|[L]01*HOOFD*101|[M]01*HOOFD*010|[L/M]01*HOOFD*015|[L]01*HOOFD*030*1|[L]01*HOOFD*030*2|[L]08*AWB45*005|[L]08*AWB45*010|[L]08*AWB45*020*0|[L]01*HOOFD*180|[L]08*AWB45*020*2|[L]08*AWB45*020*1|[L]08*AWB45*025|[L]08*AWB45*030|[L]08*AWB45*040|[L]08*AWB45*045|[L]09*AH*I*010|[L]01*HOOFD*380|[L]01*HOOFD*430|[L]01*HOOFD*193|[L]08*AWB45*005|[L]01*HOOFD*196|[L]01*HOOFD*200|[L]01*HOOFD*330|[L]08*AWB45*051*0|[L]01*HOOFD*195|[L]01*HOOFD*250*2|[L]01*HOOFD*370|[L]01*HOOFD*375|[L]01*HOOFD*250*1|[L]06*VD*020|[L]06*VD*030*2|[L]03*VD*060*0|[L]06*VD*010|[L]06*VD*060*3|[L]06*VD*030*4|[L]06*VD*030*1a|[L]06*VD*035|[L]06*VD*030*1|[L]06*VD*030*3a|[L]06*VD*030*3|[L]06*VD*060*2|[L]06*VD*060*2a|[L]13*CRD*010|[L]01*HOOFD*480|[L]01*HOOFD*490*2|[L]01*HOOFD*491|[L]11*AH*II*010|[L]01*HOOFD*490*1a|[L]01*HOOFD*490*4|[L]01*HOOFD*494a|[L]01*HOOFD*490*1|[L]01*HOOFD*500|[L]01*HOOFD*510*0|[L]01*HOOFD*515|[L]01*HOOFD*510*1|[L]01*HOOFD*510*2a|[L]01*HOOFD*490*5|[L]01*HOOFD*510*4|[L]01*HOOFD*490*5a|[L]01*HOOFD*510*3|[L]01*HOOFD*495|[L]01*HOOFD*532|[M]tau*join|[L]01*HOOFD*510*2|[M]tau*from*tree|
10186644|;1;0,181818181818182;0,015873015873016;0,181818181818182;0,015873015873016;0,965490102767944;64;64;55;11;11;[L]01*HOOFD*010|[M]tau*split|[L]01*HOOFD*011|[M]tau*from*tree|[L]01*HOOFD*020|[M]01*HOOFD*195*1|[L/M]02*DRZ*010|[L]04*BPT*005|[L]01*HOOFD*065*0|[L]01*HOOFD*090|[L]01*HOOFD*110*0|[L]01*HOOFD*100*0|[M]tau*from*tree|[L]01*HOOFD*101|[M]01*HOOFD*011|[L]01*HOOFD*061|[M]tau*from*tree|[L]01*HOOFD*030*1|[M]01*HOOFD*010|[L/M]01*HOOFD*015|[L]01*HOOFD*030*2|[L]08*AWB45*005|[L]08*AWB45*010|[L]08*AWB45*020*0|[L]01*HOOFD*180|[L]08*AWB45*020*1|[L]08*AWB45*025|[L]08*AWB45*020*2|[L]08*AWB45*040|[L]08*AWB45*051*0|[L]08*AWB45*030|[L]08*AWB45*045|[L]01*HOOFD*196|[L]01*HOOFD*200|[L]01*HOOFD*250*0|[L]01*HOOFD*330|[L]09*AH*I*010|[L]01*HOOFD*380|[L]01*HOOFD*430|[L]11*AH*II*010|[L]13*CRD*010|[L]01*HOOFD*480|[L]01*HOOFD*490*2|[L]08*AWB45*005|[L]01*HOOFD*195|[L]01*HOOFD*490*1|[L]01*HOOFD*375|[L]01*HOOFD*490*1a|[L]01*HOOFD*491|[L]01*HOOFD*490*4|[L]01*HOOFD*494a|[L]01*HOOFD*500|[L]01*HOOFD*510*0|[L]01*HOOFD*515|[L]01*HOOFD*510*4|[L]01*HOOFD*510*1|[L]01*HOOFD*510*3|[L]01*HOOFD*495|[L]01*HOOFD*490*5a|[L]01*HOOFD*510*2a|[L]01*HOOFD*490*5|[M]tau*join|[L]01*HOOFD*510*2|[M]tau*from*tree|
