Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
109135791|;1;0,6;0,272727272727273;0,6;0,272727272727273;0,023749828338623;7;7;5;5;5;[L]Queued|[M]tau*from*tree|[L/M]Accepted|[L]Accepted|[M]Queued|[L/M]Accepted|[L/M]Completed|
147898401,347923966,369989135,405112616,434892089,510142147,512617571,540549141,563779807,585459725,592390567,603537274,606971198,627163101,641243011,741995108|;1;0,666666666666667;0,166666666666667;0,666666666666667;0,166666666666667;0,020758152008057;7;7;6;3;3;[L]Accepted|[L]Accepted|[L]Accepted|[L]Accepted|[M]tau*from*tree|[L/M]Accepted|[L/M]Completed|
165554831,172473423,270427461,327329880,354039443,359215498,380297615,381124870,382209384,427955007,429498598,519054737,524375607,525132931,525447561,528332261,534020390,534493180,535418135,540549178,540549229,543300099,545738536,546272906,547617088,550159631,550577363,572730349,573215995,584612205,584812041,584938329,595687232,596290771,597580752,601819090,618589528,620925267,623626713,626515794,629642635,636849620,642802641,647796802,650081295,659718901,663891165,673359575,688515611,694597155,695258011,695425289,701429911,708613661,735881798|;1;0,666666666666667;0,2;0,666666666666667;0,2;0,019234895706177;6;6;5;3;3;[L]Accepted|[L]Accepted|[L]Accepted|[M]tau*from*tree|[L/M]Accepted|[L/M]Completed|
182640781,236817141,364018090,364528467,467257506,573501251,578612990,589370341,617470131,688280019,688564824|;1;0,8;0,333333333333333;0,8;0,333333333333333;0,018502950668335;8;8;7;5;5;[L]Accepted|[M]tau*from*tree|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L]Accepted|[L/M]Accepted|[L/M]Completed|
230541365,331478885,345132462,366726662,397806545,538109148,542027112,543653631,565807612,605184371,616288482,623520821,628203323,675150191,720069371|;1;0,538461538461538;0,368421052631579;0,538461538461538;0,368421052631579;0,022331953048706;13;13;7;13;13;[M]tau*from*tree|[L/M]Accepted|[M]Queued|[L/M]Accepted|[M]Queued|[L/M]Accepted|[M]Queued|[L/M]Accepted|[M]Queued|[L/M]Accepted|[M]Queued|[L/M]Accepted|[L/M]Completed|
270399977,375644051,613364032|;1;0,857142857142857;0,5;0,857142857142857;0,5;0,019686937332153;9;9;8;7;7;[L]Accepted|[L]Accepted|[M]tau*from*tree|[L/M]Accepted|[L/M]Queued|[L/M]Accepted|[L/M]Queued|[L/M]Accepted|[L/M]Completed|
310231291,323264491,338946805,339798202,339889001,341002175,347461373,351187625,351869391,357610411,358776870,360667704,361368011,366462246,376424233,379209685,386495623,400351079,402212071,404005175,406852699,407517548,409309026,413276708,419614582,419783741,419783822,422390390,424243405,430836105,430880486,438526021,439833168,439863114,443175071,448698916,457173714,479002951,489198755,494629702,495101458,498002861,500427383,502353485,506866218,509892697,510423612,513395204,513767190,513910403,514223574,514311011,514712116,516860557,520127960,520705880,523027945,525477138,526369142,526647987,527208576,527928641,528755863,529091253,529091311,531435394,532544114,532816930,534702904,535439201,539083171,539805130,540500545,544200884,544527205,544876956,557739965,560703011,563156866,563156881,565905115,566661201,567362335,567958551,573278049,576423636,576807766,577685618,577834779,579078207,579250167,579517011,582401721,583944596,584047671,584776062,585467875,588566574,596608752,599074651,602316215,602396115,604604928,605029866,605034229,605728578,606441115,607520800,611506787,611605221,615905511,617084616,617389027,618171180,618283927,619175501,619232031,619767065,619857642,622295317,622630582,622874191,622884303,622940906,624450715,625634702,625634824,625634936,626462354,626760391,626834451,627337013,627557462,627878397,629991273,633092732,635404161,637580967,639009338,641044311,642846054,643706642,648105181,653135006,653254236,653988751,654348241,655213351,655607132,657163590,657768145,657874936,658063672,658537939,658594692,658627294,658627419,658792860,659137375,659239126,660393401,660786538,661706786,662272981,663749238,664730121,671933304,672299434,672740630,672807011,672860819,673197539,673487817,675046360,675758382,678370811,678626550,682409211,682409241,685300128,686405886,686477306,686966285,687129760,687649700,688509388,689160381,689252781,689525975,690184941,690190570,690419865,691767241,692042197,692813576,692959195,693741781,693812929,694346343,695316021,695748265,696839978,697260307,698267095,698293715,698346154,699140595,702103380,702514881,703016242,703383433,703445951,706226212,706959641,706963013,707025161,707623601,713106267,717713590,718031374,718960811,722742993,726760342,728461114,730923421,731908702,733336456,736492457,738820974,742929685|;1;0,666666666666667;0,333333333333333;0,666666666666667;0,333333333333333;0,016999006271362;4;4;3;3;3;[L]Accepted|[M]tau*from*tree|[L/M]Accepted|[L/M]Completed|
316086072|;1;0,888888888888889;0,666666666666667;0,888888888888889;0,666666666666667;0,022998094558716;10;10;9;9;9;[M]tau*from*tree|[L/M]Accepted|[L/M]Queued|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L/M]Accepted|[L/M]Queued|[L/M]Accepted|[L/M]Completed|
320604521,322581861,340984229|;1;0,666666666666667;0,333333333333333;0,666666666666667;0,333333333333333;0,015854835510254;5;4;3;3;3;[L]Accepted|[L/M]Unmatched|[M]Accepted|[L/M]Completed|
322204195|;1;0,666666666666667;0,3;0,666666666666667;0,3;0,024519920349121;14;13;10;9;9;[L]Queued|[L]Accepted|[M]tau*from*tree|[L/M]Accepted|[L/M]Queued|[L]Queued|[L/M]Accepted|[M]Queued|[L/M]Accepted|[L]Accepted|[M]Queued|[L/M]Accepted|[L/M]Completed|
