Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
86791,86731,86735,86805,86816,86716,86820,86824,86828,86746,86752,86756,86832,86836,86760,86783,86847,86851,86572,86576,86855,86859,86863,86867,86871,86580,86584,86588,86592,86880,86884,86888,86596,86600,86646,86650,86654,86658,86664,86668,86677,86681,86685,86689,93588,91295,89421,88710,93602,89393,89397,88822,94736,88427,90090,94895,90919,88932,89401,95235,94740,92482,88826,88830,88714,88936,89453,94744,88940,94899,94903,92486,93453,94907,89338,89342,90829,88944,88718,91299,94748,89356,88948,91303,88453,89247,93809,88457,88188,89297,88461,93606,89225,88722,89360,89309,95239,89229,89364,95243,90106,88952,88192,88196,89405,89368,89372,88838,88842,89409,92744,89233,89376,91603,88956,88465,88846,90833,89380,95247,95251,88469,88960,88730,90110,88076,88200,93476,88204,94916,88734,92490,88855,88080,94000,88969,91312,88208,94004,93813,90114,90938,89413,95255,94920,89259,88738,90942,95259,87913,94008,88973,88742,95263,89263,89490,94924,95267,92494,95271,89389,90837,88859,93485,95275,92498,91054,95376,88098,88863,92838,88746,89433,89697,93489,88987,89501,89505,94757,89318,89091,92748,92752,88903,89267,89271,90883,88212,92502,89437,89441,95380,89417,92506,93493,89457,89539,94933,88482,91324,88907,89445,88911,88915,89322,93829,91058,90118,89573,93562,89326,89577,91062,92842,95788,89449,89330,92517,88919,93825,92756,92760,89581,88578,90879,89548,86897,88119,93610,89585,89334,89466,90892,94368,89589,94870,93571,89598,87921,89711,92521,88587,89602,89286,91080,88996,86912,91076,91328,89565,95384,95393,90246,92856,88591,89569,91094,89667,89643,95402,89676,93843,89616,94372,94114,92609,86916,91098,89000,88928,94879,86920,91102,92813,89680,89684,89635,94883,89639,89108,89688,89850,86924,94376,92618,92870,93580,91106,89719,89715,95792,89736,90250,91217,89744,89801,94887,89723,89727,94118,91464,86935,89748,88094,89122,94079,92822,94083,92826,93951,86939,92830,95062,89822,91221,94891,93584,95523,89009,94087,89764,89826,86964,93650,95912,89740,95017,89783,94380,93955,89013,95527,89944,91232,89840,95021,89948,95531,95066,88133,89854,89844,89858,93629,93658,92631,95025,94389,92834,93662,90896,89870,89957,94393,87935,90254,89874,93633,89787,88137,96103,89878,89891,90278,90282,89978,95034,90900,90286,91468,91236,90413,94402,93676,89895,89987,95038,90904,90122,92635,95899,90126,89056,90425,90908,93654,89899,92639,89991,90429,95547,95075,95551,89903,90433,89060,89064,95555,90130,89907,89995,86968,93146,88237,90004,91245,89911,90144,90148,93150,88241,88245,89920,90021,90025,95174,88436,88254,89924,88146,89068,87581,86972,94127,90040,90157,88258,94101,92884,95178,91371,89138,89074,91375,89928,93637,89078,95916,93736,89142,89082,95184,87947,95188,90052,86990,86994,88409,90297,95683,90056,90308,89182,92700,90175,90065,90074,93774,87050,93171,90078,87585,89186,95687,89195,90082,88547,93778,95691,93175,88418,91392,93641,88162,90184,91396,90322,87589,89204,87603,90086,88516,92704,89208,88525,90193,88529,92708,89212,91400,94050,91404,90197,95700,88533,87615,93179,95704,87063,88171,95161,90336,87619,90205,87623,87067,90209,90201,87627,90340,91408,90213,87631,90437,88867,89216,90441,91485,90217,90221,90452,93763,87635,88551,88642,93787,93183,88646,90225,90229,90233,94172,88555,95796,88662,95165,88559,90242,88666,91489,88175,86704,86611,86698,88670,93187,88871,90349,93791,94061,93795,90358,95810,87728,88679,93700,90386,95819,91653,94065,88275,91493,88279,93872,88283,95279,87737,93228,91657,94181,93876,90362,88683,93719,88292,88296,88300,92791,88687,87741,94185,87076,95288,90493,90497,95292,93728,92888,91668,90506,88706,93732,88890,95330,88894,89017,89021,95301,95334,95338,86943,92958,93392,94647,94963,92410,87098,94651,95464,87102,92530,95305,93033,95346,94604,87745,95309,94967,95599,95079,93037,92414,95083,95087,95091,96202,95342,95603,89025,94677,91138,89029,93396,92934,95628,93400,95559,95202,95473,95313,90515,92938,87467,92539,93409,89033,89037,93413,93417,95715,94499,95095,95428,95099,95607,94503,95611,96257,95432,93421,90948,95103,90846,95436,92322,95440,92232,95477,95444,91142,92236,87859,87471,89045,94507,95719,87475,95932,95723,95491,95112,95563,93425,91512,94151,95866,95448,95632,95832,92769,95452,95620,95624,95206,95210,95456,94518,87863,93514,93518,95903,95567,95214,95754,95943,89146,95758,95116,92418,87488,89150,93847,88486,95762,89154,94522,91472,92266,95771,93856,95775,95779,89174,89178,91178,91538,92432,88304,86787,95874,93860,87115,88308,88312,94536,95878,88316,88320,87644,88324,94198,94202,92283,88328,94668,95128,96077,91182,95991,91196,91476,94268,94272,87296,88490,91542,96003,92245,91546,87749,88229,91550,87648,96007,88233,92292,92296,88332,96011,92249,92696,96081,94276,88341,88755,88345,88349,92305,92309,92313,88353,96015,87391,88357,88361,88365,88369,95137,87395,96019,96085,88503,94322,88507,96143,87399,94326,96147,88045,92962,94330,88614,88623,88634,96151,94334,96155,88638,96159,87403,96163,88766,96167,88774,91342,88783,92340,92975,94353,96179,94357,88794,96188,87119,87315,88798,88802,88806,88814,92986,96294,87319,92351,87323,96261,96298,94406,96302,95636,95460,96265,96269,92355,92359,94410,94414,91684,95571,95580,96315,94418,94422,96278,91688,96282,95584,95223,95588,95227,87505,92990,92994,87509,94428,92363,95731,96227,95645,91346,95505,91692,95735,96231,94689,94693,96319,95739,96323,95743,92998,92374,87664,96286,92378,95231,91026,96327,91350,92382,95836,96290,92386,95656,96235,93121,91030,96459,96239,91034,94697,95354,92436,95840,87668,93002,93130,91354,95509,96411,96415,95665,96463,95363,95844,87518,88054,96467,95848,95674,96471,96243,96475,96247,95857,93134,96479,92445,92449,93138,93011,92453,92457,87760,92548,96483,93142,96487,91038,87677,96491,91042,93196,93200,88058,93204,93208,87522,93212,94790,96331,87764,96251,95372,92552,96035,96039,87768,96495,96499,93216,87772,87776,87123,96592,94794,93220,87905,96043,96601,96605,96047,96609,93224,91582,93015,95970,93247,93019,91046,96051,94803,96360,96055,91050,96623,95974,95978,96059,93268,94830,94834,95982,93272,90585,87909,96068,87225,96627,96107,96631,93276,93308,93312,92570,93316,96216,96122,96635,94848,93045,90599,96131,96135,96139,87980,94432,87984,91205,93056,91696,93060,93064,93068,96424,91209,93072,93076,88003,93082,93091,94807,96455,96347,93095,96555,88007,96559,91591,92130,91213,96351,92139,91595,96390,96563,96567,96394,96584,96588,94819,94852,87010,96513,94761,91599,87024,94765,92168,94769,92172,94778,93527,93531,93280,94856,96517,87028,93284,96526,87229,91700,93288,94550,94786,87032,94558,91724,94562,92181,91728,87036,94453,87241,94941,93292,94945,93296,96539,87245,94566,93885,94949,92195,93894,94471,92204,94953,94025,92213,94574,94959,94578,90637,91810,94587,91814,96551,94034,94038,94596,94600,94706,94042,94046,94710,87080,94724,94728,90641,94732,90645,87084,94480,94988,95000,91823,91827,95004,95008,92258,94491,94495,92262,94618,94622,94626,94630,94634,87132,94638,94143,94147,91516,91627,92773,87261,91412,91672,87828,91118,91520,93300,87265,91940,91944,87269,87867,91524,91676,87832,92777,87526,91680,87141,87351,91631,91732,91948,91736,87479,87355,90957,87273,91421,90787,90791,93304,91740,91744,91748,92331,91752,90855,91761,93544,92222,93548,92461,90961,87145,87364,91957,87871,87368,91961,92648,91835,87372,91839,91843,90859,91559,92228,90863,87376,91425,87380,92390,91563,91635,92394,87875,87530,91857,94216,91785,92054,91861,91639,90741,87577,92058,90745,91429,91870,87539,92470,87149,92398,87543,92067,87879,87883,92071,94236,91874,87106,90965,91258,87887,87287,91643,87153,90969,87157,87547,92474,91151,93918,87836,87840,91155,91433,91647,91159,87327,87331,87335,87901,87551,90799,92652,92402,87951,92478,91893,87339,87343,90803,90987,91897,92075,92656,87347,94290,87422,87555,91908,87559,91912,90519,91983,94155,94294,92660,90681,94305,87161,91999,87426,87430,94309,91008,92003,92007,91274,91122,92011,94313,87955,87439,92795,88016,92015,91282,91450,92019,91012,90694,90534,92406,90542,87449,90698,90546,90702,91126,91286,91130,87453,94159,92079,92664,92083,87681,87685,92946,92050,87689,93368,90550,90749,92092,92096,92100,93372,93376,92584,87697,87701,90649,90875,87709,92722,90753,92109,92588,93932,92592,90721,94168,92736,90725,87780,90762,92113,90766,90770,90774,90778,93380,92117,92121,90729,87789,92740,87793,87797,87801,90733,87195,87805,90625,92596,93384,93388,87199,92600,87203,87819,87207,88030,91134,90568,90577,90737,90581,87216,91777,90658,90662,91781|;1;0,571428571428571;0,4;0,571428571428571;0,4;0,202225923538208;7;7;4;7;7;[M]tau*from*tree|[M]tau*from*tree|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
86795,86800,86771,86875,86615,86641,86672,86693,90824,89220,90923,89346,89351,90928,91307,93461,93466,94911,89692,89485,90933,93471,88964,88850,89237,93480,89384,89313,89242,88977,88982,94928,94752,89509,89095,88898,91607,91612,88109,88114,95783,89543,88573,93566,89514,89519,89461,88991,89701,90887,89706,88582,93614,89731,89815,88923,86892,92764,93619,93833,92846,89552,88123,94012,89593,93838,87925,93624,87930,94874,89470,95047,92525,95052,89475,89480,91084,91617,93575,92851,92808,95388,89620,92860,91089,89606,93645,89662,91459,89611,95397,89647,89671,89625,92613,95406,89630,89652,89657,91622,89004,95907,86928,93946,88128,92865,89791,92874,92817,95513,89796,95518,89752,95057,89757,86959,95012,89768,89805,89810,89773,89778,89939,89835,94384,89968,88600,89952,94091,92879,95029,93666,92899,93671,95537,95542,94096,93959,89882,89982,91240,94397,95042,95070,92643,92904,94122,89999,90134,95678,90139,88431,89126,92909,89131,90152,88249,92914,89915,93680,92919,88141,91567,91358,93685,93154,86976,91572,88152,88157,90161,93166,88386,91379,88391,89086,88396,93740,94105,93745,90301,87005,90060,88440,95192,90312,90317,90069,88413,90179,89190,93982,89199,91577,95695,88422,90326,87593,93987,87598,90188,88511,95152,88520,88166,90331,87058,93758,88537,87071,88542,93782,88650,88655,90237,95800,88875,92712,95169,90344,90353,88674,95805,90366,90371,90376,95814,95325,93695,94176,90381,92924,90456,93704,92929,93799,88270,88563,90390,92717,90395,93709,88568,87732,93714,88287,92786,93804,88880,88885,90408,88691,91497,93723,88696,90483,88701,95283,90461,90488,90501,95296,90466,90510,93913,90471,92317,95495,92534,91502,96192,95468,94971,94976,94655,96197,91507,92678,90841,88605,93497,93404,95197,93502,87457,87462,93690,95411,95920,95423,87849,87854,95481,95486,95615,95107,88216,95500,92240,91528,91168,91173,92422,95766,93851,87492,94526,92427,87639,91533,94531,94189,95882,87497,92543,92278,94245,92683,94672,94250,95887,94255,87291,91186,91191,91332,92287,95132,87300,88336,88750,92300,94317,96023,91337,92966,88618,88778,96093,96183,88049,95218,96306,96273,95575,95640,87513,91016,91021,93112,95660,93125,95358,95669,95852,92440,94701,93006,95367,95861,87672,93191,95947,88062,88067,87220,95959,96596,91480,94798,93251,93256,96613,93263,96618,96063,93023,95986,96072,94838,93028,92556,96206,94843,96211,90589,90594,91200,96126,96639,93232,96374,96419,93348,87988,87993,94436,96342,93353,93358,94441,96428,87998,96433,96438,96443,93237,93363,93086,91586,93429,90610,93099,93434,93439,88011,92134,96355,96571,86947,96398,93242,93448,92143,92148,96503,96508,92153,92158,92163,87014,87019,94448,94773,93522,92176,94540,94545,96521,91704,91709,91714,91719,93880,96534,87040,87045,94457,92185,92190,93889,93898,90615,92199,93903,93908,94475,92208,94029,94582,94591,94714,94719,91818,92217,94860,94865,87088,87093,94484,94138,92253,94608,94613,87127,91926,94642,87256,87136,90782,91416,94206,91554,92326,91756,91952,92335,94211,87359,91847,91852,87483,87277,87534,91865,92465,87282,93552,93557,91789,92062,90952,91146,91878,94240,91883,87891,90666,87896,87110,91163,90982,94280,94285,94069,93922,94074,90991,90676,90996,87165,91994,91916,91269,87434,91921,91437,92574,87177,87572,90689,91454,92579,90819,92023,92028,92033,90706,92045,91290,90711,92668,87959,94163,87964,90716,90554,92803,87713,90757,88020,92726,87718,90653,90620,92731,87723,87969,87784,92125,87809,91765,87814,87823,87844,88025,87211,90850,93941,93936,92604,90563,90572,88084,88089|;1;0,571428571428571;0,333333333333333;0,571428571428571;0,333333333333333;0,047416925430298;8;8;5;7;7;[M]tau*from*tree|[M]tau*from*tree|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
86809,86739,86764,86840,86776,89494,88102,89532,89932,91225,94131,94054,89049,90476,94981,95747,95416,95925,94511,93507,89167,95892,87384,88759,96028,88627,94338,92979,87753,88787,94361,87415,95592,95952,96220,93049,96448,93537,91901,91770|;1;0,571428571428571;0,25;0,571428571428571;0,25;0,044679164886475;11;10;7;7;7;[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L]Declaration*REJECTED*by*MISSING|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
86720|;1;0,571428571428571;0,166666666666667;0,571428571428571;0,166666666666667;0,037644147872925;14;14;11;7;7;[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Declaration*REJECTED*by*MISSING|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*REJECTED*by*PRE*APPROVER|[M]tau*from*tree|[L]Declaration*REJECTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
86750,86702,86662,91066,86933,89820,89762,89848,95535,89136,88150,89072,95182,90306,88660,90946,96255,87502,94426,95964,93261,96364,93080,94446,93535,94462,94957,94489,90795,90797,92226,91965,87447,91651,99093,104930,102047,108681,97095,99493,104830,109624,105059,100880,109050,99961,101610,96649,105561,101987,105730,102261,97401,110524,106270,96998,108034,101426,108835,109435,109437,98055,104366,108171,103681,103874,108479,104701,111640,115374,115177,121579,115481,122842,121512,116602,123986,115887,113526,113257,116796,113339,117854,117417,126488,126969,120051,120083,120090,114407,118366,119040,119076,119341,118067,118069,121637,113079,122732,113442,111167,120194,111175,128914,141748,134848,130303,129263,135183,139516,135260,141547,140147,135703,135715,142010,139130,133631,133975,136047,142908,132490,130883,143064,143066,132735,132743,142294,132366,138954,128850,141426,139064,140673|;1;0,142857142857143;0,076923076923077;0,142857142857143;0,076923076923077;0,034461975097656;7;7;1;7;7;[L/M]Declaration*SAVED*by*EMPLOYEE|[M]tau*from*tree|[M]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[M]Request*Payment|[M]Payment*Handled|
86604,89290,90912,92510,86564,89279,86952,89961,93159,90445,95708,95936,92344,95649,92367,93341,96335,94464,94823,87249,87170,92038|;1;0,571428571428571;0,25;0,571428571428571;0,25;0,03721809387207;11;10;7;7;7;[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L]Declaration*REJECTED*by*SUPERVISOR|[M]tau*from*tree|[L]Declaration*REJECTED*by*EMPLOYEE|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
86708,89425,89301,90098,89251,91316,93817,88445,89100,91068,94017,89557,91110,89862,90270,87939,90417,91363,88262,90044,95141,88401,93750,87607,95317,93864,90400,92950,94681,95120,92270,94660,94260,95995,92688,88221,94345,87652,93324,96366,93104,96576,94811,96403,87233,96543,94992,94220,94228,91794,91802,91967,91975,90807,90867,87187,90629|;1;0,571428571428571;0,222222222222222;0,571428571428571;0,222222222222222;0,037070035934448;11;11;8;7;7;[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*REJECTED*by*PRE*APPROVER|[M]tau*from*tree|[L]Declaration*REJECTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
86620,90258|;1;0,571428571428571;0,153846153846154;0,571428571428571;0,153846153846154;0,043626070022583;15;15;12;7;7;[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*REJECTED*by*PRE*APPROVER|[L]Declaration*REJECTED*by*EMPLOYEE|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L]Declaration*REJECTED*by*MISSING|[M]tau*from*tree|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
86632,88179,92622,86981,91249,90973,87563|;1;0,571428571428571;0,2;0,571428571428571;0,2;0,039119958877564;12;12;9;7;7;[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L]Declaration*REJECTED*by*MISSING|[M]tau*from*tree|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
93592|;1;0,571428571428571;0,181818181818182;0,571428571428571;0,181818181818182;0,037455797195435;13;13;10;7;7;[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L]Declaration*REJECTED*by*MISSING|[M]tau*from*tree|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*REJECTED*by*SUPERVISOR|[L]Declaration*REJECTED*by*EMPLOYEE|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
