Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
76457,76667,73654,73662,72545,73279,72631,76240,77026,85687,80218,75421,74828,75080,76109,81898,82877,85886,83327,84990,84931,84929,85617,86282,82992,82339,84038,83890,84122,81704,78446,78808,79281,80441,80324,80316|;1;0,416666666666667;0,2;0,416666666666667;0,2;0,060063123703003;15;15;8;12;12;[M]Send*Reminder|[M]Permit*FINAL*APPROVED*by*SUPERVISOR|[L/M]Start*trip|[L/M]End*trip|[M]tau*from*tree|[M]Declaration*SUBMITTED*by*EMPLOYEE|[L]Permit*SUBMITTED*by*EMPLOYEE|[M]tau*join|[L]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
73596,73594,73592,73584,73578,73586,73580,73576,73566,73574,73572,73588,73590,73570,73564,73568|;1;0,333333333333333;0,125;0,333333333333333;0,125;0,059748888015747;18;18;10;12;12;[M]Send*Reminder|[M]Permit*FINAL*APPROVED*by*SUPERVISOR|[L/M]Start*trip|[M]End*trip|[L]Permit*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L]Permit*APPROVED*by*SUPERVISOR|[M]Declaration*SUBMITTED*by*EMPLOYEE|[L]Permit*FINAL*APPROVED*by*DIRECTOR|[M]tau*join|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L]Declaration*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|[L]End*trip|
73582|;1;0,5;0,230769230769231;0,5;0,230769230769231;0,058325052261353;17;16;10;12;12;[L]Start*trip|[M]Send*Reminder|[L]Permit*SUBMITTED*by*EMPLOYEE|[M]Permit*FINAL*APPROVED*by*SUPERVISOR|[L]Permit*APPROVED*by*SUPERVISOR|[M]Start*trip|[L]Permit*FINAL*APPROVED*by*DIRECTOR|[L/M]End*trip|[M]tau*from*tree|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*join|[L/M]Declaration*APPROVED*by*ADMINISTRATION|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
72590,84790,81215|;1;0,333333333333333;0,111111111111111;0,333333333333333;0,111111111111111;0,062150001525879;20;20;12;12;12;[L]Start*trip|[M]Send*Reminder|[L]End*trip|[M]Permit*FINAL*APPROVED*by*SUPERVISOR|[L]Permit*SUBMITTED*by*EMPLOYEE|[M]Start*trip|[L]Permit*APPROVED*by*PRE*APPROVER|[M]End*trip|[L]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*REJECTED*by*EMPLOYEE|[M]tau*join|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]Declaration*APPROVED*by*ADMINISTRATION|[L]Declaration*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
143637,143578,143657,143598,143605,143664,143670,143617,143624,143630,143467,143474,143481,143488,143519,143496,143513,143526,143532,143539,143570,144609,144748,143917,144707,143870,144569,144964,144803,144771,143784,144968,144777,144654,144617,144720,144905,144216,144727,144335,144095,144288,144046,144342,144752,144050,144101,144700,144222,144643,144454,144229,144661,144350,144783,144575,144023,144501,144406,144790,144797,144810,144294,144507,144672,144679,144057,144687,144693,144065,143803,144107,144832,144318,144237,144852,143953,144356,144979,144765,144252,144873,144919,144884,144986,144899,144386,143861,144933,144166,144939,143943,144392,144263,144550,144554,144992,144147,144423,144079,144086,144431,143906,143729,144174,144138,143763,144035,144304,144311,144516|;1;0,083333333333333;0,03030303030303;0,083333333333333;0,03030303030303;0,058464050292969;17;17;6;12;12;[M]Send*Reminder|[M]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]Start*trip|[M]End*trip|[M]tau*from*tree|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*join|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L]Request*Payment|[M]tau*from*tree|[L]Payment*Handled|[M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Start*trip|[M]Request*Payment|[L]End*trip|[M]Payment*Handled|
74628,73981,76001,72573,85327|;1;0,25;0,12;0,25;0,12;0,054481029510498;14;14;5;12;12;[L]Permit*SUBMITTED*by*EMPLOYEE|[M]Send*Reminder|[L/M]Permit*FINAL*APPROVED*by*SUPERVISOR|[L/M]Start*trip|[L/M]End*trip|[M]tau*from*tree|[M]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*join|[M]Declaration*APPROVED*by*ADMINISTRATION|[M]tau*from*tree|[M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[M]Request*Payment|[L]Declaration*SAVED*by*EMPLOYEE|[M]Payment*Handled|
143644|;1;0,333333333333333;0,111111111111111;0,333333333333333;0,111111111111111;0,060415983200073;20;20;12;12;12;[M]Send*Reminder|[M]Permit*FINAL*APPROVED*by*SUPERVISOR|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]Start*trip|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[M]End*trip|[L]Declaration*REJECTED*by*MISSING|[M]tau*from*tree|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[M]tau*join|[L]Declaration*REJECTED*by*MISSING|[M]tau*from*tree|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|[L]Start*trip|[L]End*trip|
72817,76038,76186,77110,77880,73678,75856,76898,72392,72581,77017,76581,73775,76701,73914,74152,73935,76231,73071,73080,73089,74169,74171,77568,73099,72639,74022,77559,72271,82589,79704,85719,81320|;1;0,583333333333333;0,333333333333333;0,583333333333333;0,333333333333333;0,057800769805908;14;14;9;12;12;[L]Permit*SUBMITTED*by*EMPLOYEE|[M]Send*Reminder|[L/M]Permit*FINAL*APPROVED*by*SUPERVISOR|[L/M]Start*trip|[L/M]End*trip|[M]tau*from*tree|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*join|[M]tau*from*tree|[L]Declaration*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
76810,76291,76685,74088,76299,76308,73728,73740,72863,74191,76329,73798,76388,77786,73750,77794,72871,75923,73687,73670,76151,76563,76571,73041,76426,77374,73260,72921,73828,72929,76275,74100,73271,72605,76828,76606,75791,74634,77904,73059,76283,74056,73888,73899,74642,76922,73820,74279,73923,72623,73963,74296,72962,74315,74161,72995,77587,74183,75809,76996,76350,76873,74327,77126,74335,74493,74491,74343,77188,75848,74008,73182,76178,77213,76358,74549,77221,76366,74673,75985,73232,74361,73240,76851,76742,78004,77287,76750,76475,74369,75993,74620,76002,77720,74390,77738,74400,72138,75453,72146,77755,74695,74408,74703,76802,72175,74726,73486,75475,74736,75511,75576,75584,74925,74457,74966,76449,72571,75755,74471,74479,71965,75049,72042,72495,71997,77320,77338,77240,77356,72033,77248,72060,77256,77264,77421,77429,77437,77648,77531,77539,77549,74775,77676,72223,77778,72744,74820,72231,72767,72239,72775,77841,77916,77926,77935,77943,78069,78110,77996,78156,75057,73380,73389,75185,73423,73436,75323,75535,75546,72297,72305,72323,72413,72455,75435,72705,75735,81890,80101,83683,82425,79530,80575,85538,83314,85179,82966,85642,82550,82006,82497,84328,84330,79874,82452,84611,81937,82754,82045,81906,85926,82053,84621,85556,85403,82520,79547,82061,82160,82650,82069,80045,82806,80071,86376,84340,82824,82687,85568,79068,85197,82777,80294,84639,84449,83944,85268,82213,82861,80337,82738,82102,83149,82869,81148,79394,84921,86059,82221,86527,83092,78529,82249,83033,80815,86051,85306,80154,81172,80345,78548,84664,80353,83382,83177,85634,83598,83185,80162,83611,82349,78896,78372,85325,80867,80869,79634,79422,83637,79430,86290,85876,83859,79651,83824,81565,83867,83411,84998,84005,84013,86535,85131,83507,84982,79696,81573,80907,79741,79739,79788,84059,85139,86130,85899,81088,85024,84284,81096,86300,86203,79751,86191,81038,80479,84220,80488,80990,84824,86323,81478,85448,81030,82277,81669,85948,81741,85152,85154,80183,81766,80718,83674,81799,86215,79836,84134,86421,80938,80967,79126,81104,78623,81515,81523,80650,84685,78864,73947,79187,79713,85766,79721,79500,84471,79289,78690,79306,78464,84697,79335,78610,85784,78816,85745,86239,86274,78297,80827,84301|;1;0,583333333333333;0,368421052631579;0,583333333333333;0,368421052631579;0,054440021514893;13;13;8;12;12;[L]Permit*SUBMITTED*by*EMPLOYEE|[M]Send*Reminder|[L/M]Permit*FINAL*APPROVED*by*SUPERVISOR|[L/M]Start*trip|[L/M]End*trip|[M]tau*from*tree|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*join|[M]tau*from*tree|[M]Declaration*APPROVED*by*BUDGET*OWNER|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
73012|;1;0,5;0,176470588235294;0,5;0,176470588235294;0,061594963073731;21;20;14;12;12;[L]Permit*SUBMITTED*by*EMPLOYEE|[L]Permit*APPROVED*by*SUPERVISOR|[M]Send*Reminder|[L]Permit*FINAL*APPROVED*by*DIRECTOR|[M]Permit*FINAL*APPROVED*by*SUPERVISOR|[L/M]Start*trip|[L/M]End*trip|[L/M]Declaration*SUBMITTED*by*EMPLOYEE|[L]Permit*REJECTED*by*MISSING|[L]Permit*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L]Permit*APPROVED*by*PRE*APPROVER|[M]tau*join|[L]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L]Declaration*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
