Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
76455,76665,73652,73660,72543,73277,72629,76238,77024,85685,80216,75419,74826,75078,76107,81896,82875,85884,83325,84988,85614,86280,82990,82337,84036,83888,84120,81702,78444,78806,79279,80439,80314,80322|;1;0,294117647058823;0,142857142857143;0,294117647058823;0,142857142857143;0,090265989303589;20;20;8;17;17;[M]Permit*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[M]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[M]tau*from*tree|[M]tau*from*tree|[M]Permit*REJECTED*by*MISSING|[M]tau*from*tree|[M]Permit*FOR*APPROVAL*by*ADMINISTRATION|[L/M]Start*trip|[L/M]End*trip|[L]Permit*SUBMITTED*by*EMPLOYEE|[M]Permit*FOR*APPROVAL*by*SUPERVISOR|[L]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]Send*Reminder|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
76734,76271,12190|;1;0,125;0,0625;0,125;0,0625;0,079416036605835;17;17;3;16;16;[M]tau*from*tree|[M]Request*For*Payment*SAVED*by*EMPLOYEE|[M]tau*from*tree|[M]tau*from*tree|[M]tau*from*tree|[M]tau*from*tree|[M]tau*from*tree|[M]Permit*SAVED*by*EMPLOYEE|[L/M]Start*trip|[L/M]End*trip|[M]Permit*FOR*APPROVAL*by*SUPERVISOR|[M]Send*Reminder|[M]tau*from*tree|[M]tau*from*tree|[M]Request*Payment|[L]Permit*SAVED*by*EMPLOYEE|[M]tau*from*tree|
73562|;1;0,294117647058823;0,025125628140704;0,294117647058823;0,025125628140704;0,213928937911987;103;102;90;17;17;[L]Start*trip|[L/M]Permit*SUBMITTED*by*EMPLOYEE|[L]Permit*APPROVED*by*SUPERVISOR|[L]Permit*FINAL*APPROVED*by*DIRECTOR|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Request*Payment|[L]Request*Payment|[L]Request*Payment|[L]Payment*Handled|[L]Payment*Handled|[L]Payment*Handled|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Request*Payment|[L]Payment*Handled|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Request*Payment|[L]Request*Payment|[L]Payment*Handled|[L]Payment*Handled|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Request*Payment|[L]Request*Payment|[L]Payment*Handled|[L]Payment*Handled|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*SUBMITTED*by*EMPLOYEE|[L]Declaration*APPROVED*by*PRE*APPROVER|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L]Request*Payment|[L]Request*Payment|[L]Request*Payment|[L]Request*Payment|[L]Request*Payment|[L]Request*Payment|[L]Payment*Handled|[L]Payment*Handled|[L]Payment*Handled|[L]Payment*Handled|[M]tau*from*tree|[L]Payment*Handled|[M]Request*For*Payment*SAVED*by*EMPLOYEE|[L]Payment*Handled|[M]tau*from*tree|[L]Request*Payment|[M]tau*from*tree|[L]Payment*Handled|[M]tau*from*tree|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L]Declaration*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[M]Permit*FOR*APPROVAL*by*ADMINISTRATION|[L]Request*Payment|[M]Start*trip|[L]Payment*Handled|[L/M]End*trip|[M]Permit*FOR*APPROVAL*by*SUPERVISOR|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]Send*Reminder|[L]Declaration*APPROVED*by*ADMINISTRATION|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
72588,83071,84788,81213|;1;0,176470588235294;0,061224489795918;0,176470588235294;0,061224489795918;0,099735975265503;26;26;12;17;17;[M]Permit*SUBMITTED*by*EMPLOYEE|[M]Permit*APPROVED*by*ADMINISTRATION|[M]Permit*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[M]Declaration*SAVED*by*EMPLOYEE|[L]Start*trip|[M]tau*from*tree|[L]End*trip|[M]tau*from*tree|[L]Permit*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L]Permit*APPROVED*by*PRE*APPROVER|[M]Permit*FOR*APPROVAL*by*ADMINISTRATION|[L]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]Start*trip|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]End*trip|[L]Declaration*REJECTED*by*EMPLOYEE|[M]tau*from*tree|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]Send*Reminder|[L]Declaration*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
74626,73979|;1;0,235294117647059;0,125;0,235294117647059;0,125;0,082826137542725;18;18;5;17;17;[L/M]Permit*SUBMITTED*by*EMPLOYEE|[M]Permit*APPROVED*by*ADMINISTRATION|[L/M]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[M]Declaration*SAVED*by*EMPLOYEE|[M]tau*from*tree|[M]tau*from*tree|[M]tau*from*tree|[M]Permit*FOR*APPROVAL*by*ADMINISTRATION|[L/M]Start*trip|[L/M]End*trip|[M]Permit*FOR*APPROVAL*by*SUPERVISOR|[M]tau*from*tree|[M]tau*from*tree|[M]tau*from*tree|[M]tau*from*tree|[L]Declaration*SAVED*by*EMPLOYEE|[M]tau*from*tree|
72815,76036,76184,73676,75854,76896,72390,72579,77015,73772,76699,73912,74150,76229,73069,73078,73087,77566,73096,72637,77557,72268,82587,79702,85717,81318|;1;0,411764705882353;0,225806451612903;0,411764705882353;0,225806451612903;0,087522029876709;19;19;9;17;17;[L/M]Permit*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[M]tau*from*tree|[M]tau*from*tree|[M]Permit*REJECTED*by*MISSING|[M]tau*from*tree|[M]Permit*FOR*APPROVAL*by*ADMINISTRATION|[L/M]Start*trip|[L/M]End*trip|[M]Permit*FOR*APPROVAL*by*SUPERVISOR|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]Send*Reminder|[L]Declaration*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
76679,72399,73814,72613,76915,76172,77120,74485,74541,76372,77278,74890,74718,72169,76879,75761,72523,77771,74781,77693,77704,72811,77990,75105,73106,75119,72833,76145,79600,83213,82626,82458,79062,83736,80053,85975,83906,80330,86009,81154,83526,78320,83123,80359,83191,80363,84079,83985,79860,83448,79460,85062,82260,81663,79573,81856,83873,86223,79772,84128,80194,80853,80198,78573,85237,80300,78770,84691,85476,85713,78650,85751,78992,85485,79228|;1;0,294117647058823;0,161290322580645;0,294117647058823;0,161290322580645;0,081599950790405;18;18;6;17;17;[L/M]Permit*SUBMITTED*by*EMPLOYEE|[M]Permit*APPROVED*by*ADMINISTRATION|[L/M]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[M]tau*from*tree|[M]tau*from*tree|[M]tau*from*tree|[M]tau*from*tree|[M]Permit*FOR*APPROVAL*by*ADMINISTRATION|[L/M]Start*trip|[L/M]End*trip|[M]Permit*FOR*APPROVAL*by*SUPERVISOR|[L/M]Send*Reminder|[M]tau*from*tree|[M]tau*from*tree|[M]tau*from*tree|[L]Send*Reminder|[M]tau*from*tree|
76808,76289,76683,74085,76297,76305,73726,72861,74189,76327,73796,76386,77784,73748,77792,72869,75921,73685,73668,76149,76560,76569,77372,72918,73826,72927,76273,73269,76825,76603,75789,74632,73057,76281,74054,73886,74640,76919,73818,74277,73921,72621,73961,74294,72960,74313,74159,72993,77585,74181,75807,76994,76348,76871,74325,77124,74333,74341,77186,75846,74006,73180,76176,77211,76356,77219,76364,74671,75983,73230,74359,73238,76849,76740,78002,76748,76473,74367,75991,74618,77718,77736,74398,72135,75451,72144,77753,74693,74406,74701,76800,72173,75473,74734,75509,75574,75582,74964,76447,75753,74469,74477,71963,75047,72039,72493,71995,77318,77336,77238,77354,72031,77246,72058,77254,77262,77419,77427,77435,77646,77529,77537,74773,77674,72220,77776,72742,74818,72229,72765,72237,72773,77839,77924,77932,77941,78067,77994,78154,75055,73378,73386,75183,73421,73434,75533,72294,72303,72321,75433,75733,81888,80099,83680,82423,79528,80573,85536,83312,85177,82964,85640,82004,82495,79872,82450,81935,82752,82043,81904,85924,82051,84619,85554,82518,79545,82059,82158,82648,82067,82804,84338,82822,82685,79066,85195,82775,80292,84637,84447,83942,85266,82211,82859,80335,83147,82867,81146,79392,84919,86057,82219,86525,83090,78527,82246,83031,80813,86049,85304,80152,80343,78546,84662,80351,83175,85632,83596,83183,80160,78894,78370,79632,79420,83635,79428,86288,83857,79649,83822,81563,83865,84996,84003,84011,86533,85129,83505,84980,79693,81571,80905,79786,84057,85137,85897,81086,85022,84282,81094,79749,81036,80477,84218,80485,80988,84822,86321,81476,81028,82275,81667,85946,81739,80181,81764,80716,83672,81797,79834,84132,86418,80936,80965,81102,78621,81513,81521,80648,84683,78862,73945,79711,85764,79719,79498,84469,79287,78688,79304,78462,84695,79333,78608,85782,78814,85743,86237,86272,78295,80825,84299|;1;0,411764705882353;0,241379310344828;0,411764705882353;0,241379310344828;0,084284067153931;18;18;8;17;17;[L/M]Permit*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[M]tau*from*tree|[M]tau*from*tree|[M]Permit*REJECTED*by*MISSING|[M]tau*from*tree|[M]Permit*FOR*APPROVAL*by*ADMINISTRATION|[L/M]Start*trip|[L/M]End*trip|[M]Permit*FOR*APPROVAL*by*SUPERVISOR|[M]Send*Reminder|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
73549|;1;0,294117647058823;0,116279069767442;0,294117647058823;0,116279069767442;0,098615884780884;25;24;12;17;17;[L/M]Permit*SUBMITTED*by*EMPLOYEE|[L]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]Permit*APPROVED*by*ADMINISTRATION|[L]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L/M]Request*For*Payment*REJECTED*by*MISSING|[L]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[M]Permit*REJECTED*by*MISSING|[L]Request*Payment|[M]tau*from*tree|[L]Payment*Handled|[M]tau*from*tree|[L/M]Start*trip|[L/M]End*trip|[M]Permit*FOR*APPROVAL*by*SUPERVISOR|[M]tau*from*tree|[M]tau*from*tree|[M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[M]Request*Payment|[L]Permit*REJECTED*by*MISSING|[M]Payment*Handled|
73008|;1;0,294117647058823;0,087719298245614;0,294117647058823;0,087719298245614;0,10714602470398;31;31;19;17;17;[L/M]Permit*SUBMITTED*by*EMPLOYEE|[L]Permit*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L]Permit*FINAL*APPROVED*by*DIRECTOR|[M]Permit*APPROVED*by*PRE*APPROVER|[L]Start*trip|[M]tau*from*tree|[L]End*trip|[M]tau*from*tree|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Permit*REJECTED*by*MISSING|[L]Permit*SUBMITTED*by*EMPLOYEE|[L]Permit*APPROVED*by*PRE*APPROVER|[L]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L]Declaration*APPROVED*by*PRE*APPROVER|[M]Permit*FOR*APPROVAL*by*ADMINISTRATION|[L]Declaration*FINAL*APPROVED*by*SUPERVISOR|[M]Start*trip|[L]Declaration*SUBMITTED*by*EMPLOYEE|[M]End*trip|[L]Request*Payment|[M]Permit*FOR*APPROVAL*by*SUPERVISOR|[L]Payment*Handled|[M]Send*Reminder|[L]Declaration*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Declaration*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
