Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
73550|;1;0,25;0,111111111111111;0,25;0,111111111111111;0,042113065719605;15;15;6;12;12;[M]tau*from*tree|[L]Permit*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[M]Request*For*Payment*REJECTED*by*MISSING|[M]Permit*REJECTED*by*MISSING|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[L]Request*For*Payment*REJECTED*by*MISSING|[M]Request*Payment|[L]Permit*REJECTED*by*MISSING|[M]Payment*Handled|
73552,76613,81997|;1;0,416666666666667;0,217391304347826;0,416666666666667;0,217391304347826;0,035842895507813;14;14;7;12;12;[M]tau*from*tree|[L]Permit*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*SUPERVISOR|[L/M]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[M]Request*For*Payment*REJECTED*by*MISSING|[M]Permit*REJECTED*by*MISSING|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|[L]Permit*REJECTED*by*MISSING|
76316,76650,72154,72156,73337,73339,76073,84647,84649,83335,80204,84023,84021,83425,80380,81435,81820,81677,81679,81807,80736|;1;0,333333333333333;0,153846153846154;0,333333333333333;0,153846153846154;0,04358696937561;15;15;7;12;12;[M]tau*from*tree|[M]tau*from*tree|[M]Permit*FINAL*APPROVED*by*SUPERVISOR|[L]Permit*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L]Permit*APPROVED*by*SUPERVISOR|[M]Request*For*Payment*REJECTED*by*MISSING|[L]Permit*FINAL*APPROVED*by*DIRECTOR|[M]tau*from*tree|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
73536|;1;0,333333333333333;0,142857142857143;0,333333333333333;0,142857142857143;0,038727045059204;16;16;8;12;12;[M]tau*from*tree|[M]Request*For*Payment*APPROVED*by*SUPERVISOR|[M]Permit*FINAL*APPROVED*by*SUPERVISOR|[L]Permit*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L]Permit*APPROVED*by*SUPERVISOR|[M]Request*For*Payment*REJECTED*by*MISSING|[L]Permit*FINAL*APPROVED*by*DIRECTOR|[M]Permit*REJECTED*by*MISSING|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|[L]Permit*REJECTED*by*MISSING|
185372,185417|;1;0,166666666666667;0,083333333333333;0,166666666666667;0,083333333333333;0,035475015640259;13;13;3;12;12;[M]Request*For*Payment*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[M]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[M]Request*For*Payment*REJECTED*by*MISSING|[M]Permit*REJECTED*by*MISSING|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[M]Request*Payment|[L]Request*For*Payment*REJECTED*by*MISSING|[M]Payment*Handled|
76195,73737,73039,76424,76579,74097,72603,77902,73897,73955,74547,77284,74388,74724,73484,74454,76693,77547,77914,78106,78108,75321,75543,72411,72453,72703,76130,76139,79866,82548,82544,82546,84609,85401,80042,80069,86374,85564,85566,82100,86474,80670,80672,80668,81170,83380,83566,83608,83606,82347,85335,85874,83409,83404,83407,83494,84046,86128,78971,86298,86201,86188,85446,86213,78180,79124,79185,79963,84479,84481,84705,84709,84707,78236,78284,78838,84354,78998,78305|;1;0,416666666666667;0,238095238095238;0,416666666666667;0,238095238095238;0,035682916641235;13;13;6;12;12;[M]tau*from*tree|[L]Permit*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[M]Request*For*Payment*REJECTED*by*MISSING|[M]tau*from*tree|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
77107,77877,73258,73932,74020,74017|;1;0,416666666666667;0,217391304347826;0,416666666666667;0,217391304347826;0,037659883499146;14;14;7;12;12;[M]Request*For*Payment*APPROVED*by*PRE*APPROVER|[L]Permit*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Permit*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[M]Request*For*Payment*REJECTED*by*MISSING|[M]Permit*REJECTED*by*MISSING|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[L]Request*For*Payment*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
185391,185377,185342,185354,185346,185368,185350,185381,185360,185364,185422,185400,185408|;1;0,333333333333333;0,2;0,333333333333333;0,2;0,035120964050293;12;12;4;12;12;[M]Request*For*Payment*APPROVED*by*PRE*APPROVER|[M]Request*For*Payment*APPROVED*by*SUPERVISOR|[M]Permit*APPROVED*by*BUDGET*OWNER|[M]tau*from*tree|[M]tau*from*tree|[M]tau*from*tree|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
76211,76213,76396|;1;0,333333333333333;0,142857142857143;0,333333333333333;0,142857142857143;0,043179035186768;16;16;8;12;12;[M]Request*For*Payment*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[M]Permit*FINAL*APPROVED*by*SUPERVISOR|[L]Permit*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L]Permit*APPROVED*by*SUPERVISOR|[M]Request*For*Payment*REJECTED*by*MISSING|[L]Permit*FINAL*APPROVED*by*DIRECTOR|[M]tau*from*tree|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[L]Request*For*Payment*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
76930,76934,76932,76936,76710,76712,71975,72006,80247,82359,84197|;1;0,416666666666667;0,161290322580645;0,416666666666667;0,161290322580645;0,042626857757568;18;18;11;12;12;[L]Permit*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*PRE*APPROVER|[L]Permit*APPROVED*by*PRE*APPROVER|[M]Request*For*Payment*APPROVED*by*SUPERVISOR|[L/M]Permit*FINAL*APPROVED*by*SUPERVISOR|[L]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L]Request*For*Payment*REJECTED*by*PRE*APPROVER|[M]Request*For*Payment*REJECTED*by*MISSING|[L]Request*For*Payment*REJECTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[L]Request*For*Payment*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[L/M]Payment*Handled|
