Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
148214,147886,149145,151504|;1;0,3;0,111111111111111;0,3;0,111111111111111;0,046147108078003;16;15;8;10;10;[M]tau*from*tree|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[L]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[L]Request*For*Payment*REJECTED*by*MISSING|[M]tau*from*tree|[L]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[L]Request*For*Payment*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[L/M]Request*Payment|[M]tau*from*tree|[L/M]Payment*Handled|[M]Request*For*Payment*SAVED*by*EMPLOYEE|
149290,147597,149369,149830,148629,147894,147898,149294,149223,148883,147938,147746,149154,147902,147906,148887,147919,147911,149834,147915,147750,148228,147754,149204,147759,148394,147982,148765,148232,147768,149373,148152,147772,149838,149455,148398,148553,147986,149385,148402,149298,148769,149389,148557,148566,149227,147549,149842,149393,149669,149208,147841,148773,149302,149241,147529,148570,147561,148487,148574,149846,149850,149459,149859,147990,149377,148240,147570,149212,149489,148456,147994,147998,148007,147957,148603,148018,148586,147846,149381,149674,148092,148175,148617,148096,149679,148244,147850,148465,148100,148594,148675,147974,148685,147978,149407,149558,149494,147580,149095,147928,148115,149100,149262,148298,149104,147602,149326,148429,148046,148050,148689,149330,149272,148055,148492,149411,148698,148307,148312,148810,148814,149339,148179,148818,148352,149126,147606,148183,148496,148500,147544,148361,149130,149503,149692,149601,147610,148847,148187,148371,148375,148851,148980,148537,149507,149435,149141,147614,148119,148483,149118,149276,147712,148129,149281,148133,147643,147776,149286,149348,147647,149352,149635,149122,148067,148071,149512,149361,148076,149365,149447,149172,147726,149476,148080,149525,149183,149529,147730,149533,149537,148322,149550,149187,149554,149191,149609,149200,149613,147823,148084,148088,147660,149567,147665,148389,149627,149683,149573,149577,149743,147674,149639,147785,148348,149643,149647,147797,149772,149651,147801,147805,147809,149822,147813,149826,149868,148248,148252,148256,148260,148275,148284,147699,149719,147704,147708,149729,149887,149776,149780,149891,149895,149899,149784,149788,149802,149806,148638,149810,148643,148654,149814,148658,148662,148666,149818,148621,148785,148789,148793,148797,148806,148913,148917,148625,148926,148930,148951,148966,148731,148735,148860,148874,149005,149023,149027,149059,149063,152228,151371,150195,151349,151807,151375,151379,150163,151353,151723,149920,151469,149924,150883,151556,151473,150167,150670,149928,151307,151487,151491,152079,149932,151564,150200,150966,151311,152155,150638,152291,150233,150128,150291,149936,152430,150176,152295,152167,152171,152036,152299,150137,151163,152369,150742,151167,151684,151500,152189,150295,152308,152312,151171,149940,150185,152434,152096,151100,150141,151385,150833,151357,151704,151534,151175,151396,150679,151179,150209,150761,152197,150145,150213,150217,150792,151996,150796,150349,150647,152044,150309,150683,150810,150687,151592,150149,151400,151596,149944,150844,152650,152482,151409,151543,152486,150570,151600,150574,152014,152242,152112,149953,150086,151520,151816,152490,152495,150814,152575,151765,151879,150770,150691,150313,151828,151833,151609,150456,150984,152605,151145,150656,150247,151838,151072,150377,150774,151076,152054,150853,151236,150700,152058,150000,150461,150902,151936,152344,150261,150265,152121,151620,151624,151727,152062,152579,151842,150004,152066,151628,152448,151731,150715,151940,151846,151337,151662,150862,150114,151341,151741,151769,150122,151345,150474,150274,152609,150665,150479,152125,151666,150871,150585,152129,151413,150998,151417,152251,151647,150483,150278,152613,151244,151240,150875,151205,151752,151952,151421,152617,151773,152348,150340,151007,151855,151092,150502,151209,151670,151893,152255,149316,150829,151897,152352,150589,150046,151430,150940,151434,151438,151011,152583,151901,150050,150927,150018,151159,152543,152356,152070,150054,150400,151761,151020,150032,150404,149959,151029,150058,151782,151114,151786,150413,152216,152390,152360,151258,150949,150514,152547,151118,152259,150225,151790,152659,150598,150068,150602,150611,151794,151870,149968,151452,152220,151456,150615,152018,149972,152394,150229,151966,150072,150422,150426,152667,152224,150528,151803,150958,151923,152556,152398,152671,152504,152508,150962,152457,150543,149980,152461,152517,151219,152469,150440,152565,150931,152521,151050,151054,149984,150547,150624,152680,151970,149988,151927,152022,149992,152411,150287,149996,151058,152684,151132,151974,152525,150628,151303,152473,151141,151232|;1;0,4;0,25;0,4;0,25;0,035552024841309;10;10;4;10;10;[M]tau*from*tree|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L/M]Request*Payment|[M]tau*from*tree|[L/M]Payment*Handled|[M]Request*For*Payment*SAVED*by*EMPLOYEE|
149216,149134,147834,149009,149016,149031,149038,152378,149045,150837,151389,149052,150090,151513,150578,151945,151745,150444|;1;0,5;0,3;0,5;0,3;0,034677028656006;13;13;7;12;12;[L]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Request*For*Payment*REJECTED*by*SUPERVISOR|[L/M]Request*For*Payment*REJECTED*by*EMPLOYEE|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L/M]Request*Payment|[M]tau*from*tree|[L/M]Payment*Handled|[M]Request*For*Payment*SAVED*by*EMPLOYEE|
148223,148633,149158,148504,149660,148147,148433,147942,148446,147763,148509,149484,148561,147554,149516,149236,148170,149854,149397,147565,149306,149245,147947,148002,149402,149250,147534,148022,148908,148460,147575,147961,148607,148612,147539,149067,148514,149311,148469,148288,149255,148293,148679,148424,148104,149090,148975,147923,147932,147586,149108,149498,149266,148693,148532,149334,148302,149343,149320,149425,148822,148827,148832,148837,148842,148366,149430,149687,148541,148985,149420,148478,149113,148124,147716,149467,147592,149356,149167,148317,148137,147721,147817,149541,149195,147734,149617,147740,148384,149622,148142,147669,147828,149586,149591,149738,149747,147780,147858,147864,149596,147870,148339,147881,148546,148032,148037,149752,147678,148195,149757,147683,149762,148200,149767,149655,149863,149696,149872,149701,148264,148270,148279,149724,149882,148702,149792,149797,148801,148921,148934,148955,148960,148970,148716,148721,148726,148739,148744,148864,148869,151718,150935,151811,150158,150171,151482,152280,152286,151577,151986,150887,150097,151582,151315,150674,150081,151495,152150,150633,150787,151320,152031,151991,152477,150729,150102,152083,152303,151587,150565,152183,150237,150751,150299,152373,150204,150242,152385,152232,150304,150756,152316,150344,150896,152201,151109,152533,151361,152206,150651,151688,150800,152000,150805,151404,151538,152654,151067,151693,152438,150765,152237,149948,150848,150353,152325,150109,151332,150190,152443,151551,152009,152049,150358,151604,150364,151366,151699,152116,152211,150979,152635,152626,152569,150036,150451,151183,150695,150317,150988,152499,152538,150819,151931,150381,152333,150857,151154,152339,150704,150041,150251,150256,150709,150386,150778,151883,151632,150008,151736,151195,150013,150269,151087,152645,151637,150906,150866,151850,151642,150993,151200,151104,152246,150487,152452,151888,150330,150335,150911,151425,151859,151248,151956,151657,150922,150492,151777,150497,150944,151756,151651,152587,150282,150917,150022,150395,150027,151015,151442,150408,150593,151913,151253,152640,152621,152263,152551,151214,149963,150606,151865,151262,150953,151122,151447,150062,150417,151918,151798,150518,152135,151271,151961,151874,152140,152145,152074,150619,151033,151292,152270,150532,152275,151038,150537,152512,152560,152675,151127,151464,152600,152026,152415,151062,150555,152420,150076,152425|;1;0,4;0,222222222222222;0,4;0,222222222222222;0,034014940261841;11;11;5;10;10;[M]tau*from*tree|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[L]Request*For*Payment*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L/M]Request*Payment|[M]tau*from*tree|[L/M]Payment*Handled|[M]Request*For*Payment*FOR*APPROVAL*by*SUPERVISOR|
149908,147952,148598,148939,148711,150153,151477,150642,150180,150746,150523|;1;0,3;0,142857142857143;0,3;0,142857142857143;0,033422946929932;12;12;5;10;10;[M]tau*from*tree|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[M]tau*from*tree|[L]Request*For*Payment*APPROVED*by*SUPERVISOR|[M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[L]Request*For*Payment*FINAL*APPROVED*by*DIRECTOR|[M]tau*from*tree|[L/M]Request*Payment|[M]tau*from*tree|[L/M]Payment*Handled|[M]Request*For*Payment*SAVED*by*EMPLOYEE|
149913,148990,149712,148944,151325,151080,151188,151043|;1;0,4;0,181818181818182;0,4;0,181818181818182;0,036599159240723;14;13;7;10;10;[M]tau*from*tree|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[L]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[L]Request*For*Payment*REJECTED*by*MISSING|[M]tau*from*tree|[L]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L/M]Request*Payment|[M]tau*from*tree|[L/M]Payment*Handled|[M]tau*from*tree|
148749,148438,148757,148891,148578,152088|;1;0,285714285714286;0,133333333333333;0,285714285714286;0,133333333333333;0,036620855331421;17;17;7;14;14;[M]Request*For*Payment*APPROVED*by*PRE*APPROVER|[L]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*REJECTED*by*MISSING|[L/M]Request*For*Payment*REJECTED*by*PRE*APPROVER|[M]Request*For*Payment*REJECTED*by*SUPERVISOR|[L/M]Request*For*Payment*REJECTED*by*EMPLOYEE|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L]Request*For*Payment*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[M]Request*Payment|[M]tau*from*tree|[M]Payment*Handled|[L]Request*For*Payment*REJECTED*by*MISSING|[M]Request*For*Payment*SAVED*by*EMPLOYEE|
149163,149463,149521,148326,147854,148344,150879,150892,152529,152100,150118,150783,151003,151096|;1;0,2;0,1;0,2;0,1;0,030318021774292;11;11;3;10;10;[M]tau*from*tree|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[M]Request*Payment|[M]tau*from*tree|[M]Payment*Handled|[L]Request*For*Payment*REJECTED*by*MISSING|[M]Request*For*Payment*FOR*APPROVAL*by*SUPERVISOR|
148157,148406,148777,147966,148524,147618,149439,147635,148059,147627,148330,147789,148997,150734,152159,152175,152104,150971,150369,151820,150322,150506,151905,152592|;1;0,454545454545455;0,217391304347826;0,454545454545455;0,217391304347826;0,0380539894104;14;14;8;11;11;[L]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[L]Request*For*Payment*REJECTED*by*PRE*APPROVER|[M]Request*For*Payment*REJECTED*by*ADMINISTRATION|[L/M]Request*For*Payment*REJECTED*by*EMPLOYEE|[L/M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[L]Request*For*Payment*APPROVED*by*PRE*APPROVER|[M]tau*from*tree|[L/M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[L/M]Request*Payment|[M]tau*from*tree|[L/M]Payment*Handled|[M]Request*For*Payment*SAVED*by*EMPLOYEE|
149665,148452,148590,149480,147652,149546,149605,147656,149451,148191,150133,151680,152040,152193,152631,149976,151460,150551|;1;0,166666666666667;0,083333333333333;0,166666666666667;0,083333333333333;0,031842947006226;13;13;3;12;12;[L]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]tau*from*tree|[L/M]Request*For*Payment*REJECTED*by*SUPERVISOR|[L/M]Request*For*Payment*REJECTED*by*EMPLOYEE|[M]Request*For*Payment*SUBMITTED*by*EMPLOYEE|[M]Request*For*Payment*APPROVED*by*ADMINISTRATION|[M]tau*from*tree|[M]Request*For*Payment*FINAL*APPROVED*by*SUPERVISOR|[M]tau*from*tree|[M]Request*Payment|[M]tau*from*tree|[M]Payment*Handled|[M]Request*For*Payment*FOR*APPROVAL*by*SUPERVISOR|
