Case_id,Replayed,Model_Fitness_Initial,Model_Fitness _Final,Time,|Alignment| Initial,|Alignment| Final,|Trace|,|Parikh_Trace|,|Model's Move|,Alignment
291|,1,0.465116279069768,0.65625,0.261999845504761,54,42,31,32,32,[L]B|[M]A|[L/M]C|[L/M]X|[M]AT|[M]AV|[L/M]Z|[L]AT|[M]AG|[L/M]AK|[M]AU|[L/M]AN|[L]AG|[M]AI|[L/M]AL|[L/M]AY|[L/M]AR|[L/M]AP|[L/M]AB|[L/M]AD|[L]AV|[L/M]AM|[L/M]AF|[L/M]AS|[L/M]AJ|[L/M]AE|[M]AQ|[L]AU|[M]AZ|[L/M]AC|[L/M]AH|[L/M]AO|[L]AI|[L]AQ|[M]t51t24|[L]AZ|[M]AA|[L/M]Y|[L]A|[L/M]D|[L]AA|[M]B|
294|,1,0.488888888888889,0.78125,0.371999979019165,54,38,31,32,32,[L/M]A|[L/M]C|[L/M]X|[L/M]Z|[L/M]AB|[L/M]AT|[M]AX|[L/M]AG|[L/M]AN|[L/M]AU|[L]Y|[L/M]AL|[L]AX|[L]D|[L/M]AD|[L]AO|[M]AP|[L/M]AF|[L/M]AK|[L/M]AI|[L/M]AR|[L/M]AM|[L/M]AJ|[M]AS|[L/M]AQ|[L/M]AE|[L/M]AC|[L/M]AY|[L/M]AZ|[M]AO|[L/M]AH|[L]AS|[M]t51t24|[L/M]AA|[M]Y|[L]AP|[M]D|[L/M]B|
290|,1,0.545454545454546,0.78125,0.73799991607666,79,66,59,36,32,[L/M]A|[L]BF|[L/M]C|[L/M]X|[L/M]AN|[L/M]AT|[L]AO|[L/M]Z|[L/M]AR|[L]AW|[M]AG|[L/M]AP|[L/M]AK|[L/M]AB|[L]BB|[L/M]AQ|[L/M]AS|[L]BB|[L/M]AI|[L/M]AV|[L]AM|[L]AY|[L/M]AE|[L/M]AD|[L/M]AF|[L/M]AJ|[L/M]AC|[L/M]AH|[L]AZ|[L]BA|[L]AA|[L]Y|[L]BE|[L]BB|[L]AT|[L]AG|[L]AU|[L]AY|[L]AZ|[L]BD|[L]BB|[L]AT|[L]AV|[M]AL|[L/M]AU|[L/M]AY|[L/M]AZ|[L]BA|[L]BC|[L]AW|[L]BA|[L]BD|[L]AU|[L]BA|[L]AT|[M]AM|[L]AL|[M]AO|[L]AU|[M]t51t24|[L]AY|[M]AA|[L]AZ|[M]Y|[L/M]D|[L/M]B|
295|,1,0.592592592592593,0.80952380952381,0.33299994468689,31,24,20,21,21,[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L]Q|[M]M|[L/M]H|[L]V|[L/M]O|[M]Q|[L/M]T|[L/M]I|[L/M]P|[L]M|[M]V|[L/M]W|[L/M]L|[L/M]J|[M]t15t13|[L/M]U|[L/M]N|[L/M]F|[L/M]D|[L/M]B|
297|,1,0.543478260869565,0.8125,0.516999959945679,60,45,39,32,32,[L/M]A|[L]AY|[M]C|[L/M]X|[L/M]Z|[L/M]AN|[L/M]AL|[L/M]AT|[L/M]AG|[L]AW|[M]AV|[L/M]AB|[L/M]AR|[L]AT|[M]AU|[L/M]AD|[L/M]AK|[L/M]AP|[L/M]AQ|[L/M]AI|[L/M]AE|[M]AY|[L/M]AJ|[L/M]AS|[L/M]AF|[L/M]AO|[L]C|[L]BB|[L/M]AH|[L/M]AM|[L]AU|[L/M]AZ|[L]BA|[L]BE|[L]AA|[L/M]AC|[L]AV|[L]AU|[L]AY|[M]t51t24|[L]AZ|[M]AA|[L/M]Y|[L/M]D|[L/M]B|
296|,1,0.485714285714286,0.655172413793103,0.569999933242798,46,38,28,29,29,[L/M]A|[L/M]C|[L]O|[L/M]E|[L/M]G|[L/M]M|[M]O|[L]R|[M]Q|[L/M]H|[L/M]I|[L]O|[L/M]T|[L/M]L|[M]W|[L/M]P|[L]D|[M]S|[L/M]V|[M]O|[L]P|[M]R|[L/M]J|[L]S|[M]P|[L/M]S|[L]R|[L/M]O|[M]R|[L/M]U|[L]Q|[L/M]P|[M]t15t13|[L/M]N|[L/M]F|[L]W|[M]D|[L/M]B|
299|,1,0.486486486486487,0.666666666666667,0.5,51,43,32,33,33,[L/M]A|[L]O|[M]C|[L/M]E|[L]N|[L/M]M|[M]G|[L/M]O|[L/M]Q|[L/M]T|[L/M]H|[L/M]I|[M]V|[L/M]W|[L/M]P|[L/M]L|[L]B|[L]F|[L/M]U|[L/M]S|[L]C|[M]O|[L]R|[M]Q|[L/M]P|[L/M]S|[L]G|[M]O|[L]Q|[M]R|[L/M]P|[L/M]S|[L/M]O|[L/M]R|[L/M]P|[L]V|[M]t15t13|[L]O|[M]N|[L/M]J|[M]F|[L/M]D|[M]B|
298|,1,0.531914893617021,0.78125,0.68500018119812,53,38,31,32,32,[L/M]A|[L/M]C|[L/M]X|[L/M]AN|[L/M]AT|[L/M]Z|[L/M]AP|[L]Y|[M]AX|[L/M]AQ|[L]AS|[M]AU|[L/M]AG|[L]AX|[L/M]AB|[L/M]AY|[L/M]AL|[L/M]AI|[L]AO|[M]AR|[L/M]AJ|[L/M]AE|[L/M]AK|[L/M]AF|[L]AU|[L/M]AM|[M]AS|[L/M]AD|[L/M]AZ|[L/M]AH|[M]AO|[L/M]AC|[M]t51t24|[L/M]AA|[L]AR|[M]Y|[L/M]D|[L/M]B|
172|,1,0.522727272727273,0.621621621621622,0.932999849319458,57,50,36,37,37,[L/M]A|[L/M]C|[L]O|[M]E|[L/M]G|[L/M]M|[L/M]O|[L/M]T|[L]I|[M]Q|[L/M]P|[M]H|[L]Q|[M]I|[L/M]V|[L/M]W|[L/M]U|[L/M]S|[M]O|[L/M]K|[M]Q|[L]S|[M]P|[L/M]J|[M]S|[L/M]O|[L/M]R|[L]H|[L/M]P|[L/M]S|[L/M]O|[L]N|[M]R|[L/M]P|[L]D|[M]S|[L/M]O|[L/M]R|[L/M]P|[L]S|[L]Q|[L]B|[M]t15t13|[L]P|[M]N|[L]R|[L/M]F|[M]D|[L]E|[M]B|
70|,1,0.555555555555556,0.78125,0.983999967575073,71,58,51,36,32,[L/M]A|[L/M]C|[L/M]X|[L/M]Z|[L/M]AN|[L/M]AT|[L/M]AB|[L/M]AL|[L/M]AR|[L/M]AD|[L/M]AE|[M]AV|[L/M]AM|[L/M]AG|[L/M]AS|[L]BA|[L]AQ|[L]AO|[L/M]AU|[L/M]AI|[L]AC|[L]BF|[L]AX|[L]AY|[L/M]AJ|[L]AH|[L]AZ|[L]AA|[L]BA|[L]AT|[L]BC|[L]BB|[L]AV|[L]BE|[L/M]AY|[L/M]AP|[L/M]AZ|[L/M]AF|[L]AU|[L]BB|[L/M]AK|[L]BA|[L]AT|[L]BB|[M]AH|[L]BC|[M]AQ|[L]AV|[M]AC|[L]AU|[M]AO|[L]AY|[M]t51t24|[L]AZ|[M]AA|[L/M]Y|[L/M]D|[L/M]B|
