Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
291|;1;0,269005847953216;0,089494163424125;0,286549707602339;0,097029702970297;8,80170798301697;290;277;155;171;171;[L/M]A|[L/M]C|[L/M]E|[L/M]BS|[L/M]P|[L]DK|[L/M]Q|[L]DX|[L/M]R|[L]DU|[L]EE|[L]EL|[L]DZ|[L/M]T|[L/M]U|[L/M]V|[L]EG|[L]EK|[L]ED|[M]S|[L]DS|[L]D|[M]t70t114|[L]S|[M]DK|[L]EF|[M]DM|[L]EI|[M]DT|[L]EA|[M]DX|[L/M]F|[M]DQ|[L]EE|[M]DR|[L]EE|[L/M]W|[M]DS|[L]EH|[M]DV|[L/M]AG|[L/M]AM|[L]EF|[M]DW|[L/M]AQ|[L/M]AO|[M]DU|[L]DY|[M]DP|[L/M]AP|[M]DN|[L/M]DL|[L/M]AN|[L]EA|[M]AH|[L]FB|[M]t115t144|[L]DX|[M]EO|[L/M]X|[M]EQ|[L]EX|[M]ES|[L]EV|[M]ER|[L/M]EP|[L]DK|[M]t145t114|[L]DX|[M]DK|[L]EE|[M]DM|[L]EJ|[M]DX|[L/M]DT|[L]DZ|[M]DQ|[L]EM|[M]DR|[L]EH|[M]DS|[L]EK|[M]DV|[L]EF|[M]DW|[L]ED|[M]DU|[L]EA|[M]DP|[L]EI|[M]DN|[L]EE|[M]DL|[L]EH|[M]t115t144|[L]EF|[M]EO|[L]EI|[M]EQ|[L]EE|[M]ET|[L]EH|[M]ER|[L]EF|[M]EP|[L]EI|[M]t145t114|[L]EE|[M]DK|[L]EH|[M]DM|[L]EF|[M]DT|[L]EI|[M]DX|[L]EE|[M]DQ|[L]EG|[M]DR|[L]EF|[M]DS|[L]EI|[M]DV|[L]EE|[M]DW|[L]EH|[M]DU|[L]EF|[M]DP|[L]DY|[M]DN|[L/M]DL|[M]t115t144|[L/M]EO|[L/M]EY|[L]AH|[M]FA|[L/M]EZ|[L/M]EP|[M]t145t114|[L/M]DK|[L/M]DX|[M]EE|[M]EG|[L/M]EJ|[M]EF|[L/M]DZ|[M]EI|[L/M]EE|[L]EN|[M]EG|[L/M]EB|[M]EF|[L]EH|[M]EI|[L]EK|[M]EE|[L]EO|[M]EH|[L/M]EF|[L/M]EI|[M]EE|[L/M]EH|[L/M]EF|[M]EI|[L]DY|[M]EE|[L]DL|[M]EH|[L]EO|[M]EF|[L]EQ|[M]EI|[L]ET|[M]EE|[L]ER|[M]EH|[L]EP|[M]EF|[L]DK|[M]EI|[L]DM|[M]EE|[L]DX|[M]EH|[L]DT|[M]EF|[L]DS|[M]EI|[L]DQ|[M]EE|[L]DR|[M]EH|[L]DW|[M]EF|[L]DV|[M]EL|[L]DP|[M]EK|[L]EJ|[M]t135t128|[L]DN|[M]EA|[L]DN|[M]DY|[L/M]DL|[M]t115t144|[L/M]EO|[L/M]EY|[L]FA|[M]FB|[L/M]EZ|[L/M]EP|[M]t145t114|[L/M]DK|[M]DX|[M]EE|[L]DM|[M]DZ|[L]DT|[M]EH|[L]EU|[M]EJ|[L]DV|[M]ED|[L]DR|[M]EF|[L]DL|[M]EM|[L]DW|[M]EK|[L]DS|[M]t135t128|[L]DU|[M]EA|[L]DP|[M]DY|[L]DN|[M]DL|[L]DQ|[M]t115t144|[L/M]EO|[L]EQ|[M]EU|[L]ES|[M]EX|[L]ER|[M]EV|[L/M]EP|[M]t145t114|[L/M]DK|[M]DX|[M]EE|[M]DZ|[M]EH|[L]DM|[M]EJ|[L]DX|[M]ED|[L]DR|[M]EF|[L]DV|[M]EN|[L]DQ|[M]EK|[L]DW|[M]t135t128|[L]DP|[M]EA|[L]DU|[M]DY|[L/M]DL|[M]t115t71|[M]t23t3|[L/M]BT|[M]D|[L/M]B|
294|;1;0,371134020618557;0,137931034482759;0,381443298969072;0,143410852713178;7,497398853302;313;295;175;194;194;[L/M]A|[L/M]C|[L/M]BS|[L/M]E|[L/M]G|[L]DK|[M]I|[L/M]L|[L]DM|[M]J|[L]DT|[M]K|[L]J|[M]I|[L]DX|[M]J|[L/M]O|[L]DV|[L/M]K|[L]DR|[L]DW|[M]I|[L]DQ|[M]J|[L]DS|[M]t9t7|[L]I|[L/M]M|[M]H|[L]DU|[M]F|[L]DP|[M]W|[L]J|[M]t70t114|[L]DN|[M]DK|[L]K|[M]t22t43|[L]I|[M]DM|[L]DL|[M]AR|[L]J|[M]DT|[L]EO|[M]DX|[L]H|[M]AS|[L]EY|[M]AT|[L]F|[M]DQ|[L]FA|[M]DR|[L]W|[M]DS|[L/M]AR|[L]EZ|[M]DV|[L/M]AS|[M]DW|[L]EP|[M]DU|[L/M]AT|[M]DP|[L]DK|[M]DN|[L]AR|[M]DL|[L]B|[M]t115t144|[L]I|[M]EO|[L]DM|[M]EQ|[L]AT|[M]ES|[L]EO|[M]ER|[L]DX|[M]EP|[L]DT|[M]FC|[L]EP|[M]FE|[L/M]AX|[M]FF|[L]DQ|[M]FG|[L]DR|[M]FD|[L/M]AW|[M]EO|[L]DS|[M]EQ|[L/M]ET|[L]DV|[M]ER|[L]DP|[M]EP|[L/M]AV|[M]t145t114|[L]DU|[M]DK|[L]DN|[M]DM|[L/M]X|[M]DT|[L]DL|[M]DX|[L]EO|[M]DQ|[L]EQ|[M]DR|[L]ET|[M]DS|[L]ER|[M]DV|[L]EP|[M]DW|[L]DK|[M]DU|[L]FE|[M]DP|[L]FF|[M]DN|[L]FG|[M]DL|[L]FD|[M]t115t144|[L/M]EO|[L/M]EQ|[L/M]ET|[L/M]ER|[M]EP|[M]t145t114|[L/M]DK|[L]DX|[M]DM|[L]DZ|[M]DT|[L]EJ|[M]DX|[L]EE|[M]DQ|[L]ED|[M]DR|[L]EL|[M]DS|[L]EG|[M]DV|[L]EK|[M]DW|[L]EA|[M]DU|[L]EF|[M]DP|[L]DY|[M]DN|[L/M]DL|[M]t115t144|[L/M]EO|[M]EQ|[L]EY|[M]ET|[L]FB|[M]ER|[L]EZ|[M]EP|[L]DS|[M]t145t114|[L]FC|[M]DK|[L/M]DM|[L/M]DT|[L/M]DX|[L/M]DR|[L/M]DV|[L/M]DW|[L/M]DS|[L/M]DQ|[L/M]DU|[L]EA|[L/M]DP|[L]EH|[L/M]DN|[L]DQ|[L/M]DL|[M]t115t144|[L]DV|[M]EO|[L]EU|[M]EY|[L]EW|[M]FA|[L]EV|[M]EZ|[L/M]EP|[M]t145t114|[L/M]DK|[L/M]DM|[L/M]DT|[L/M]DX|[L/M]DS|[M]DQ|[L/M]DR|[L/M]DW|[L/M]DV|[L/M]DU|[L/M]DP|[L/M]DN|[L/M]DL|[M]t115t144|[L/M]EO|[L]EQ|[M]EY|[L]ES|[M]FB|[L]ER|[M]EZ|[L/M]EP|[M]t145t114|[L/M]DK|[L/M]DX|[L/M]DZ|[L/M]EE|[M]EG|[L/M]EJ|[L/M]EC|[M]EF|[L]EM|[M]EI|[L]EK|[M]EE|[L]DK|[M]EG|[L/M]EF|[L/M]EI|[L/M]EE|[L/M]EG|[L/M]EF|[L/M]EI|[L/M]EE|[L/M]EG|[L/M]EF|[L]DR|[L]EI|[M]EL|[L]EE|[M]EK|[L]EG|[M]t135t128|[L]EF|[M]EA|[L/M]DY|[L/M]DL|[M]t115t144|[L/M]EO|[L]EQ|[M]EU|[L]DW|[M]EW|[L]ER|[M]EV|[L/M]EP|[M]t145t114|[L]DM|[M]DK|[L/M]DX|[M]EE|[M]DZ|[M]EH|[M]EJ|[L]DT|[M]ED|[L]DQ|[M]EF|[L]EP|[M]EM|[L]DW|[M]EK|[L]DU|[M]t135t128|[L]DP|[M]EA|[L]DN|[M]DY|[L/M]DL|[M]t115t71|[M]t23t3|[L/M]BT|[L/M]D|[L]AS|[M]B|
290|;1;0,343065693430657;0,12401055408971;0,35036496350365;0,127659574468085;2,97299194335937;224;212;123;137;137;[L/M]A|[L/M]C|[L/M]BS|[L/M]E|[L]DK|[L/M]G|[L]DX|[L/M]I|[L]DZ|[M]L|[L/M]J|[M]K|[L]EE|[M]I|[L]EJ|[M]J|[L/M]K|[L]EC|[M]I|[L/M]O|[L]EG|[L]AC|[M]J|[L]EL|[M]K|[L/M]I|[L]ER|[M]J|[L]EF|[M]t9t7|[L]EK|[M]M|[L]EA|[M]H|[L]M|[M]F|[L]J|[M]W|[L]K|[M]t22t24|[L]DY|[M]t70t114|[L]L|[M]DK|[L]I|[M]DM|[L]J|[M]Y|[L]DL|[M]DT|[L]K|[M]DX|[L]EO|[M]DR|[L]I|[M]DQ|[L]EY|[M]Z|[L]J|[M]DS|[L]H|[M]DV|[L]FB|[M]DW|[L]EZ|[M]AA|[L]F|[M]DP|[L]EP|[M]AB|[L]W|[M]AC|[L]DK|[M]AE|[L]Y|[M]AF|[L]DM|[M]AD|[L]Z|[L/M]DU|[M]Y|[L]FC|[M]Z|[L/M]AA|[L]DQ|[M]DN|[L]DV|[M]DL|[L]DS|[M]t115t144|[L/M]AB|[M]EO|[L]DR|[M]EQ|[L]DW|[M]ES|[L]DP|[M]ER|[L]DT|[M]EP|[L]AE|[M]FC|[L]DN|[M]FE|[L]AF|[M]FF|[L]DL|[M]FG|[L]AD|[M]FD|[L/M]EO|[L]Y|[L/M]EQ|[M]ET|[L]Z|[M]ER|[L]AA|[M]EP|[L]ES|[M]t145t114|[L]AB|[M]DK|[L]EP|[M]DM|[L]X|[M]DT|[L/M]DX|[M]DQ|[M]DR|[M]DS|[M]DV|[M]DW|[M]DU|[L]FE|[M]DP|[L]FG|[M]DN|[L]FF|[M]DL|[L]FD|[M]t115t144|[L/M]EO|[L]EQ|[M]EY|[L]ET|[M]FB|[L]ER|[M]EZ|[L/M]EP|[M]t145t114|[L/M]DK|[L/M]DX|[L/M]EJ|[L/M]EE|[L/M]EL|[L/M]DZ|[L/M]EG|[L/M]EK|[L/M]EF|[L/M]EB|[L/M]EI|[L/M]EA|[L/M]EE|[L/M]EG|[L/M]EF|[L/M]EI|[L/M]EE|[L]EH|[M]EG|[L/M]EF|[M]t135t128|[L/M]DY|[L/M]DL|[M]t115t144|[L/M]EO|[L/M]EU|[L/M]EX|[L/M]EV|[L/M]EP|[M]t145t114|[L/M]DK|[M]DX|[L]DM|[M]EE|[L]DX|[M]DZ|[L]DT|[M]EH|[L]DS|[M]EJ|[L]DR|[M]EC|[L]DQ|[M]EF|[L]DV|[M]EL|[L]DW|[M]EA|[L]DP|[M]EK|[L]DU|[M]t135t128|[L]DN|[M]DY|[L/M]DL|[M]t27t23|[M]t115t71|[M]X|[M]t23t3|[L/M]BT|[L/M]D|[L/M]B|
295|;1;0,189393939393939;0,05800464037123;0,181818181818182;0,055299539170507;3,99808382987976;234;229;121;132;132;[L/M]A|[M]C|[M]E|[M]P|[M]Q|[M]R|[L/M]T|[M]U|[M]V|[M]S|[M]F|[L]AB|[M]W|[L]E|[M]t22t24|[L/M]BS|[L]EV|[M]t70t114|[L/M]DK|[L]Q|[L/M]DX|[L/M]EE|[L]R|[M]Y|[L/M]DZ|[L/M]EJ|[L]T|[L/M]EM|[L/M]EG|[L]ED|[M]EB|[L]U|[M]Z|[L]V|[L/M]EF|[M]AA|[L/M]EK|[L/M]EA|[L]S|[M]t135t128|[L/M]DY|[L]F|[M]AB|[L]W|[M]AC|[L]BT|[M]AE|[L/M]DL|[L]BK|[M]AF|[L]Y|[M]AD|[L]EO|[M]Y|[L/M]Z|[L/M]AA|[L]EU|[L/M]AB|[L]EW|[M]t115t144|[L]AC|[M]EO|[L]EV|[M]EQ|[L]AE|[M]ES|[L]AF|[M]ER|[L/M]EP|[L]P|[M]FC|[L]AD|[M]FE|[L/M]FF|[M]FG|[M]FD|[M]EO|[L]FE|[M]EQ|[L]Y|[M]ES|[L]Z|[M]ER|[L]AA|[M]EP|[L]FD|[M]FC|[L]EO|[M]FE|[L]C|[M]FF|[L/M]FG|[M]FD|[M]EO|[L/M]EU|[L]X|[M]EW|[L]EX|[M]EV|[L]AY|[M]EP|[L]P|[M]FC|[L]EP|[M]FE|[L]BO|[M]FF|[L]FC|[M]FG|[L]BG|[M]FD|[L]FE|[M]EO|[L]BP|[M]EU|[L]BN|[M]EX|[L]BJ|[M]EV|[L]FF|[M]EP|[L]FG|[M]t145t114|[L]BM|[M]DK|[L]BI|[M]DX|[L]BF|[M]EE|[L]BL|[M]DZ|[L]BE|[M]EH|[L]BH|[M]EJ|[L]BD|[M]ED|[L]FD|[M]EF|[L]EO|[M]EM|[L]BB|[M]EA|[L]AZ|[M]EK|[L]EQ|[M]t135t128|[L]E|[M]DY|[L]ES|[M]DL|[L]FC|[M]t27t23|[L]ER|[M]t115t71|[L]Q|[M]X|[L]EP|[M]AY|[L]FC|[M]BO|[L]R|[M]BG|[L]FF|[M]BK|[L]FE|[M]BP|[L]V|[M]BM|[L]FG|[M]BN|[L]U|[M]BE|[L]FD|[M]BF|[L]S|[M]BI|[L]EO|[M]BJ|[L]EQ|[M]BL|[L]F|[M]BH|[L]ES|[M]BD|[L]W|[M]BB|[L]ER|[M]AZ|[L]Y|[M]E|[L]EP|[M]P|[L]Z|[M]Q|[L]DK|[M]R|[L]AA|[M]T|[L]DX|[M]U|[L]AB|[M]V|[L]EJ|[M]S|[L]DZ|[M]F|[L]EE|[M]W|[L]X|[M]t22t24|[L]EM|[M]Y|[L]EK|[M]Z|[L]EA|[M]AA|[L]EB|[M]AB|[L]EF|[M]t27t23|[L]EH|[M]X|[L]DY|[M]t23t3|[L]DL|[M]BT|[L/M]D|[L/M]B|
297|;1;0,630434782608696;0,311827956989247;0,739130434782609;0,435897435897436;0,524721145629883;78;56;44;46;46;[L/M]A|[L/M]C|[L/M]E|[L/M]BS|[L/M]P|[L/M]CO|[L/M]Q|[M]R|[L/M]DB|[L/M]CX|[L]CU|[L]R|[M]U|[L/M]CU|[L/M]CV|[L/M]CZ|[M]V|[L]CT|[L/M]T|[M]S|[L]BT|[L/M]CW|[L]V|[L]U|[L/M]CY|[L]S|[M]CS|[L/M]CU|[L/M]F|[L/M]CV|[L/M]W|[L/M]CW|[M]CU|[L/M]AG|[M]CV|[L/M]AM|[M]CW|[L/M]CU|[L/M]AP|[L/M]AO|[L/M]AQ|[M]CT|[L/M]CV|[L/M]AN|[L]CW|[M]t99t95|[L/M]AH|[L]CS|[L]CV|[L/M]X|[M]t23t3|[L/M]CR|[L/M]CP|[M]BT|[L/M]D|[L/M]B|
296|;1;0,346938775510204;0,120567375886525;0,36734693877551;0,130434782608696;0,72446084022522;86;78;47;49;49;[L/M]A|[M]C|[L]AG|[M]E|[L]CY|[M]P|[L/M]BS|[L]E|[M]Q|[L]P|[M]R|[L]AM|[M]T|[L]DB|[M]U|[L]Q|[M]V|[L]CX|[M]S|[L]V|[M]F|[L]CU|[M]W|[L]DA|[M]AG|[L]R|[M]CO|[L]CT|[M]DB|[L]CV|[M]CU|[L]D|[M]CX|[L]T|[M]AM|[L/M]CS|[L]U|[M]CV|[L/M]CW|[M]CU|[L]S|[M]CV|[L]CU|[M]CW|[L]F|[M]CU|[L/M]CV|[L]W|[L/M]CW|[M]CU|[L]C|[M]CV|[L]CO|[M]CW|[L/M]CU|[L/M]CV|[L/M]AO|[L/M]AQ|[L]CW|[M]DA|[L/M]AP|[L/M]AN|[L]CU|[M]CT|[L]CV|[M]t99t95|[L/M]AH|[L/M]X|[L]CW|[L]CU|[M]CY|[L]CV|[L/M]CR|[M]t23t3|[L/M]CP|[L/M]BT|[M]D|[L/M]B|
299|;1;0,488372093023256;0,207920792079208;0,569767441860465;0,270718232044199;1,13619494438171;141;115;78;86;86;[L/M]A|[L/M]C|[L/M]E|[L/M]BS|[L/M]P|[L]DK|[L/M]Q|[L/M]R|[M]T|[M]U|[L]DN|[M]V|[L]DM|[M]S|[L]DX|[M]F|[L]T|[M]W|[L]DT|[M]t70t114|[L]U|[M]DK|[L]DR|[M]t22t43|[L]V|[M]DM|[L]DS|[M]AR|[L]DQ|[M]DT|[L/M]DW|[M]DX|[L/M]DV|[L]S|[M]AS|[L]DP|[M]AT|[L/M]DU|[L]F|[M]AR|[L]DN|[M]AS|[L]W|[M]AT|[L]DL|[M]DQ|[L]EU|[L/M]AR|[M]DR|[L]EO|[M]DS|[L/M]AS|[L/M]AT|[M]DP|[L]EQ|[M]DN|[L]AR|[M]DL|[L]X|[M]t115t144|[L]ET|[M]EO|[L]AS|[M]EQ|[L]ER|[M]ET|[L]AT|[M]ER|[L/M]EP|[L]AR|[M]t145t114|[L/M]DK|[L]AS|[L]AT|[L/M]DM|[L/M]AW|[L/M]AX|[L/M]DT|[L/M]DX|[L/M]AV|[L/M]DQ|[L/M]DS|[L/M]DR|[L/M]DW|[L/M]DV|[L/M]DP|[L/M]DU|[M]DN|[L/M]DL|[M]t115t144|[L/M]EO|[M]EU|[L/M]EW|[L/M]EV|[L/M]EP|[M]t145t114|[L/M]DK|[L/M]DM|[L/M]DT|[L/M]DX|[L/M]DW|[L/M]DV|[L/M]DQ|[L/M]DS|[L/M]DU|[L/M]DR|[L/M]DP|[L/M]DN|[L/M]DL|[M]t115t71|[M]X|[M]t23t3|[L/M]BT|[L/M]D|[L/M]B|
298|;1;0,242718446601942;0,076687116564417;0,242718446601942;0,076687116564417;8,26289701461792;355;351;195;206;206;[L/M]A|[L/M]C|[L/M]BS|[L]AO|[L]P|[M]E|[L]DK|[M]G|[L]Q|[M]I|[L]DX|[M]L|[L]R|[M]J|[L]DZ|[M]K|[L]X|[M]I|[L]EE|[M]J|[L]T|[M]K|[L]V|[M]I|[L]EM|[M]J|[L]U|[M]K|[L]EC|[M]I|[L]EG|[M]J|[L]W|[M]K|[L]S|[M]I|[L]EF|[M]J|[L]EK|[M]K|[L]EI|[M]I|[L]EA|[M]J|[L]F|[M]K|[L]W|[M]I|[L]EE|[M]J|[L]AR|[M]K|[L]EH|[M]I|[L]AT|[M]J|[L]EF|[M]O|[L]AW|[M]t9t7|[L]J|[M]M|[L]AX|[M]H|[L]AV|[M]F|[L]EI|[M]W|[L]EJ|[M]t70t114|[L]EG|[M]DK|[L]AY|[M]t22t43|[L]EF|[M]DM|[L]EI|[M]AR|[L]BO|[M]DT|[L]BG|[M]DX|[L]AY|[M]AS|[L]BP|[M]DQ|[L]BK|[M]DR|[L]EE|[M]DS|[L]BM|[M]DV|[L]BJ|[M]DW|[L]BN|[M]DU|[L]BP|[M]AT|[L]L|[M]DP|[L]BF|[M]AW|[L]EG|[M]AX|[L]BH|[M]DN|[L]BE|[M]DL|[L]BL|[M]t115t144|[L]BD|[M]EO|[L]EF|[M]EQ|[L]EI|[M]ET|[L]BB|[M]ER|[L]AZ|[M]EP|[L]EE|[M]t145t114|[L]E|[M]DK|[L]EH|[M]DX|[L]G|[M]EE|[L]EF|[M]EG|[L]DY|[M]DZ|[L]L|[M]EJ|[L]I|[M]EC|[L]O|[M]EF|[L]DL|[M]EI|[L]J|[M]EE|[L]EO|[M]EG|[L]M|[M]EF|[L]EQ|[M]EI|[L]H|[M]EE|[L]ET|[M]EG|[L]F|[M]EF|[L]ER|[M]EI|[L]AS|[M]EE|[L]W|[M]EH|[L]EP|[M]EF|[L]AG|[M]EI|[L]DK|[M]EE|[L]AI|[M]EH|[L]DM|[M]EF|[L]AL|[M]EM|[L]DT|[M]EK|[L]AK|[M]t135t128|[L]DX|[M]EA|[L]AJ|[M]DY|[L]DW|[M]DL|[L]DQ|[M]AV|[L]DS|[M]t115t71|[L]DR|[M]X|[L]AH|[M]AY|[L]DV|[M]BO|[L]DU|[M]BG|[L]X|[M]BK|[L]DP|[M]BP|[L]DN|[M]BM|[L]AY|[M]BN|[L]BO|[M]BE|[L]DL|[M]BF|[L/M]BI|[L/M]BT|[M]BJ|[L]BQ|[M]BL|[L]BR|[M]BH|[L]AZ|[M]BD|[L]E|[M]BB|[L]G|[M]AZ|[L]I|[M]E|[L]J|[M]P|[L]K|[M]Q|[L]I|[M]R|[L]O|[M]T|[L]J|[M]U|[L]M|[M]V|[L]H|[M]S|[L/M]F|[L/M]W|[L/M]AG|[L]AM|[L]E|[M]AI|[L]AP|[M]AK|[L]AQ|[M]AL|[L]AN|[M]AJ|[L/M]AH|[L/M]X|[M]AY|[L/M]BO|[L/M]BP|[L/M]BQ|[L/M]BR|[L/M]AZ|[L/M]E|[L/M]G|[L/M]L|[L/M]I|[L/M]J|[L/M]O|[M]t9t7|[L/M]M|[L/M]H|[L/M]F|[L/M]W|[L/M]AG|[L]AM|[L]AO|[M]AI|[L]AP|[M]AK|[L]AQ|[M]AL|[L]AN|[M]AJ|[L/M]AH|[L/M]X|[L/M]AY|[L/M]BO|[L/M]BP|[L/M]BQ|[L/M]BR|[L/M]AZ|[L/M]E|[L/M]G|[L/M]I|[L/M]L|[L/M]J|[L]K|[L/M]O|[L]I|[M]t9t7|[L/M]M|[M]H|[M]F|[M]W|[M]AG|[M]AM|[L]J|[M]AO|[L]K|[M]AP|[L]I|[M]AQ|[L]J|[M]AN|[L]K|[M]AH|[L]I|[M]X|[L]J|[M]AY|[L]K|[M]BO|[L]I|[M]BP|[L]J|[M]BQ|[L]K|[M]BR|[L]I|[M]AZ|[L]EE|[M]E|[L]K|[M]G|[L/M]I|[M]L|[L/M]J|[M]O|[M]t9t7|[M]M|[L/M]H|[L/M]F|[M]W|[L/M]AG|[M]AM|[L]AI|[M]AO|[L]AK|[M]AP|[L]AL|[M]AQ|[L]AJ|[M]AN|[L/M]AH|[L/M]X|[M]t23t3|[L/M]D|[L/M]B|
172|;1;0,325;0,115044247787611;0,325;0,115044247787611;0,472321033477783;66;63;36;40;40;[L/M]A|[L/M]C|[L/M]BS|[L/M]E|[L/M]P|[L/M]Q|[L]DX|[L/M]R|[L]DZ|[L]EE|[M]U|[L]EJ|[M]V|[L/M]T|[L]EC|[M]S|[L]V|[M]F|[L]U|[M]W|[L]EN|[M]t70t114|[L]EG|[M]DK|[L]EF|[M]DX|[L]S|[M]EE|[L]EK|[M]AG|[L]EA|[M]DZ|[L]F|[M]EG|[L]DY|[M]EJ|[L]W|[M]AI|[L]AG|[M]EC|[L/M]AK|[L]DL|[M]EF|[L]AI|[M]EN|[L]BT|[M]EA|[L]DK|[M]EK|[L/M]AL|[M]t135t128|[M]DY|[L/M]AJ|[M]AH|[M]DL|[L]B|[M]t115t71|[L/M]X|[M]t23t3|[M]BT|[L/M]D|[L]AH|[M]B|
70|;1;0,301775147928994;0,100990099009901;0,301775147928994;0,100990099009901;4,54881811141968;284;278;160;169;169;[L/M]A|[L/M]C|[L]EY|[L/M]E|[L/M]G|[L]DK|[L/M]I|[L/M]L|[L/M]J|[M]K|[M]I|[L]DX|[M]J|[L/M]K|[L]EE|[M]I|[L]DZ|[M]J|[L/M]O|[M]K|[L/M]I|[L]EJ|[M]J|[L]EC|[M]K|[L]AG|[M]I|[L/M]J|[L]EM|[M]K|[L]AV|[M]I|[L]EK|[M]J|[L]EF|[M]t9t7|[L]K|[M]M|[L]EA|[M]H|[L]I|[M]F|[L]DY|[M]W|[L]J|[M]BS|[L]K|[M]t70t114|[L]J|[M]DK|[L]DL|[M]t22t43|[L]I|[M]DM|[L]EO|[M]AR|[L]J|[M]DT|[L]EQ|[M]DX|[L]K|[M]AS|[L]ES|[M]DQ|[L]I|[M]DR|[L]J|[M]DS|[L]ER|[M]DV|[L]K|[M]DW|[L]EP|[M]DU|[L]I|[M]AT|[L]FC|[M]DP|[L]J|[M]AW|[L]H|[M]AX|[L]FF|[M]DN|[L]FE|[M]DL|[L]FG|[M]t115t144|[L]F|[M]EO|[L]W|[M]EQ|[L]FD|[M]ES|[L]AG|[M]ER|[L]EO|[M]EP|[L]BS|[M]FC|[L]AI|[M]FE|[L]FA|[M]FF|[L]AK|[M]FG|[L]T|[M]FD|[L]EZ|[M]EO|[L]AJ|[M]EY|[L]BI|[M]FA|[L]AH|[M]EZ|[L]DK|[M]EP|[L]X|[M]t145t114|[L]DM|[M]DK|[L/M]DX|[M]EE|[L]AY|[M]EG|[L]BO|[M]DZ|[L]DQ|[M]EJ|[L]P|[M]EC|[L]BO|[M]EF|[L]DR|[M]EM|[L]DS|[M]EK|[L]V|[M]t135t128|[L]DW|[M]EA|[L]BP|[M]DY|[L]BG|[M]DL|[L]DV|[M]AV|[L]BK|[M]t115t71|[L]BJ|[M]X|[L]DP|[M]AY|[L]BF|[M]BO|[L]BM|[M]BG|[L]EP|[M]BK|[L]BQ|[M]BP|[L/M]BE|[M]BM|[L/M]BN|[L]DU|[M]BF|[L]DN|[M]BI|[L]BH|[L/M]BD|[M]BJ|[L/M]BL|[L]DL|[M]BH|[L/M]BB|[L/M]BT|[L/M]AZ|[L]W|[M]E|[L]Q|[M]P|[L]BR|[M]Q|[L/M]R|[L]AL|[M]T|[L/M]U|[M]V|[L/M]S|[L/M]F|[L/M]W|[L/M]AG|[L]AM|[L]AO|[M]AI|[L]AP|[M]AK|[L]AQ|[M]AL|[L]AS|[M]AJ|[L/M]AH|[L/M]X|[L/M]AY|[L/M]BO|[L/M]BP|[L/M]BQ|[L/M]BR|[L/M]AZ|[L/M]E|[M]P|[L]G|[M]Q|[L]I|[M]R|[L]L|[M]T|[L]N|[M]U|[L]M|[M]V|[L]H|[M]S|[L/M]F|[L/M]W|[L]EG|[M]AG|[L/M]AM|[L/M]AQ|[L/M]AO|[L/M]AP|[L/M]AN|[L/M]AH|[L/M]X|[L/M]AY|[L]DT|[M]BO|[L/M]BP|[M]BQ|[M]BR|[L/M]AZ|[L/M]E|[M]G|[L]P|[M]I|[L]Q|[M]L|[L]R|[M]J|[L]T|[M]N|[L]V|[M]t9t7|[L]U|[M]M|[L]S|[M]H|[L/M]F|[M]W|[L]E|[M]AG|[L]AR|[M]AM|[L]AN|[M]AO|[L]AT|[M]AP|[L]AW|[M]AQ|[L]AX|[M]AN|[L]M|[M]AH|[L/M]X|[M]t23t3|[L/M]D|[L/M]B|
