Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
455|;1;0,954545454545455;0,84;1;1;0,85917592048645;60;44;44;44;44;[L/M]A|[L/M]C|[L/M]CN|[L/M]CP|[L/M]CR|[L/M]CT|[L/M]CS|[L/M]CQ|[L/M]CX|[L/M]DD|[L/M]CZ|[L/M]DE|[L/M]DC|[L/M]DB|[L/M]DA|[L/M]CY|[L/M]CO|[L/M]DX|[L/M]EI|[L/M]ER|[L/M]ET|[L/M]EU|[L/M]EV|[L/M]ES|[L/M]EJ|[L/M]DY|[L/M]EW|[L/M]FH|[L/M]EY|[L/M]FL|[L/M]FJ|[L/M]FB|[L/M]FK|[L/M]EZ|[L/M]FI|[L/M]FC|[L/M]FM|[L/M]FG|[L/M]FO|[L/M]FD|[L/M]FN|[L/M]EX|[L/M]D|[L/M]B|
145|;1;0,959183673469388;0,854545454545455;1;1;0,87673282623291;65;49;49;49;49;[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]J|[L/M]I|[L/M]K|[L/M]H|[L/M]L|[L/M]O|[L/M]M|[L/M]P|[L/M]R|[L/M]T|[L/M]S|[L/M]Q|[L/M]F|[L/M]BH|[L/M]BJ|[L/M]BN|[L/M]BP|[L/M]BM|[L/M]BQ|[L/M]BO|[L/M]BK|[L/M]BI|[L/M]BR|[L/M]BT|[L/M]BX|[L/M]BV|[L/M]BY|[L/M]BU|[L/M]BS|[L/M]BZ|[L/M]CD|[L/M]CB|[L/M]CF|[L/M]CG|[L/M]CC|[L/M]CE|[L/M]CA|[L/M]CH|[L/M]CI|[L/M]CJ|[L/M]CL|[L/M]CM|[L/M]CK|[L/M]D|[L/M]B|
649|;1;1;1;1;1;0,823792934417725;57;44;44;44;44;[L/M]A|[L/M]C|[L/M]CN|[L/M]CP|[L/M]CR|[L/M]CU|[L/M]CS|[L/M]CQ|[L/M]CX|[L/M]CZ|[L/M]DD|[L/M]DE|[L/M]DB|[L/M]DC|[L/M]DA|[L/M]CY|[L/M]CO|[L/M]DX|[L/M]EI|[L/M]ER|[L/M]EU|[L/M]EV|[L/M]ET|[L/M]ES|[L/M]EJ|[L/M]DY|[L/M]EW|[L/M]FH|[L/M]EY|[L/M]FL|[L/M]FJ|[L/M]FK|[L/M]FA|[L/M]FI|[L/M]FM|[L/M]EZ|[L/M]FQ|[L/M]FC|[L/M]FN|[L/M]FF|[L/M]FD|[L/M]EX|[L/M]D|[L/M]B|
258|;1;0,914285714285714;0,727272727272727;1;1;0,731696128845215;47;35;35;35;35;[L/M]A|[L/M]C|[L/M]FR|[L/M]FT|[L/M]GT|[L/M]GX|[L/M]HB|[L/M]GV|[L/M]HA|[L/M]GW|[L/M]HC|[L/M]GZ|[L/M]GY|[L/M]GU|[L/M]FU|[L/M]HD|[L/M]HN|[L/M]HF|[L/M]HJ|[L/M]HP|[L/M]HH|[L/M]HR|[L/M]HT|[L/M]HS|[L/M]HM|[L/M]HI|[L/M]HL|[L/M]HK|[L/M]HQ|[L/M]HO|[L/M]HG|[L/M]HE|[L/M]FS|[L/M]D|[L/M]B|
706|;1;0,96875;0,885714285714286;1;1;0,683545827865601;43;32;32;32;32;[L/M]A|[L/M]C|[L/M]FR|[L/M]FT|[L/M]FV|[L/M]FZ|[L/M]FX|[L/M]FY|[L/M]FW|[L/M]GA|[L/M]GD|[L/M]GC|[L/M]GB|[L/M]FU|[L/M]HD|[L/M]HN|[L/M]HF|[L/M]HU|[L/M]HJ|[L/M]HH|[L/M]HW|[L/M]HM|[L/M]HI|[L/M]HL|[L/M]HV|[L/M]HK|[L/M]HO|[L/M]HG|[L/M]HE|[L/M]FS|[L/M]D|[L/M]B|
742|;1;0,976190476190476;0,911111111111111;1;1;0,788045167922974;54;42;42;42;42;[L/M]A|[L/M]C|[L/M]CN|[L/M]CP|[L/M]CV|[L/M]CW|[L/M]CQ|[L/M]CX|[L/M]DD|[L/M]DE|[L/M]CZ|[L/M]DB|[L/M]DC|[L/M]DA|[L/M]CY|[L/M]CO|[L/M]DX|[L/M]DZ|[L/M]EB|[L/M]EA|[L/M]ED|[L/M]EH|[L/M]EE|[L/M]DY|[L/M]EW|[L/M]FH|[L/M]EY|[L/M]FJ|[L/M]FA|[L/M]FK|[L/M]FL|[L/M]FI|[L/M]EZ|[L/M]FM|[L/M]FC|[L/M]FO|[L/M]FE|[L/M]FN|[L/M]FD|[L/M]EX|[L/M]D|[L/M]B|
18|;1;0,96;0,857142857142857;1;1;0,86368203163147;60;50;50;50;50;[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]I|[L/M]J|[L/M]K|[L/M]H|[L/M]L|[L/M]N|[L/M]M|[L/M]P|[L/M]AA|[L/M]AC|[L/M]AD|[L/M]AB|[L/M]Q|[L/M]F|[L/M]BH|[L/M]BN|[L/M]BJ|[L/M]BP|[L/M]BO|[L/M]BL|[L/M]BQ|[L/M]BK|[L/M]BI|[L/M]BR|[L/M]BT|[L/M]BX|[L/M]BY|[L/M]BW|[L/M]BU|[L/M]BS|[L/M]BZ|[L/M]CD|[L/M]CB|[L/M]CF|[L/M]CG|[L/M]CC|[L/M]CE|[L/M]CA|[L/M]CH|[L/M]CI|[L/M]CJ|[L/M]CM|[L/M]CL|[L/M]CK|[L/M]D|[L/M]B|
831|;1;0,964285714285714;0,870967741935484;1;1;0,641443014144897;39;28;28;28;28;[L/M]A|[L/M]C|[L/M]FR|[L/M]FT|[L/M]GE|[L/M]GP|[L/M]GS|[L/M]GQ|[L/M]GF|[L/M]FU|[L/M]HD|[L/M]HN|[L/M]HF|[L/M]HU|[L/M]HH|[L/M]HJ|[L/M]HX|[L/M]HL|[L/M]HM|[L/M]HI|[L/M]HV|[L/M]HK|[L/M]HO|[L/M]HG|[L/M]HE|[L/M]FS|[L/M]D|[L/M]B|
915|;1;0,959183673469388;0,854545454545455;1;1;1,2966890335083;61;49;49;49;49;[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]I|[L/M]K|[L/M]J|[L/M]H|[L/M]L|[L/M]N|[L/M]M|[L/M]P|[L/M]R|[L/M]V|[L/M]S|[L/M]Q|[L/M]F|[L/M]BH|[L/M]BJ|[L/M]BN|[L/M]BP|[L/M]BL|[L/M]BO|[L/M]BQ|[L/M]BK|[L/M]BI|[L/M]BR|[L/M]BT|[L/M]BX|[L/M]BY|[L/M]BV|[L/M]BU|[L/M]BS|[L/M]BZ|[L/M]CD|[L/M]CB|[L/M]CF|[L/M]CG|[L/M]CC|[L/M]CE|[L/M]CA|[L/M]CH|[L/M]CI|[L/M]CJ|[L/M]CL|[L/M]CM|[L/M]CK|[L/M]D|[L/M]B|
209|;1;0,953488372093023;0,836734693877551;1;1;0,852006912231445;56;43;43;43;43;[L/M]A|[L/M]C|[L/M]CN|[L/M]CP|[L/M]CR|[L/M]CU|[L/M]CS|[L/M]CQ|[L/M]CX|[L/M]CZ|[L/M]DD|[L/M]DE|[L/M]DB|[L/M]DC|[L/M]DA|[L/M]CY|[L/M]CO|[L/M]DX|[L/M]DZ|[L/M]EB|[L/M]EA|[L/M]ED|[L/M]EG|[L/M]EE|[L/M]DY|[L/M]EW|[L/M]FH|[L/M]EY|[L/M]FL|[L/M]FB|[L/M]FJ|[L/M]FK|[L/M]EZ|[L/M]FI|[L/M]FC|[L/M]FM|[L/M]FG|[L/M]FO|[L/M]FD|[L/M]FN|[L/M]EX|[L/M]D|[L/M]B|
