Case_id,Replayed,Model_Fitness_Initial,Model_Fitness _Final,Time,|Alignment| Initial,|Alignment| Final,|Trace|,|Parikh_Trace|,|Model's Move|,Alignment
455|,1,0.5,0.714285714285714,1.2979998588562,59,45,35,35,35,[L/M]A|[L]HD|[L]HE|[M]C|[L/M]FR|[L/M]FT|[L]HA|[M]GT|[L]HN|[M]HB|[L/M]GV|[M]GX|[L/M]GW|[L]GU|[L/M]HC|[M]HA|[L/M]GZ|[L]GX|[L/M]GY|[M]GU|[L/M]FU|[L]HB|[M]HD|[L/M]HF|[L/M]HH|[M]HN|[L/M]HJ|[L/M]HP|[L/M]HT|[L/M]HS|[L/M]HL|[L/M]HM|[L/M]HR|[L/M]HI|[L/M]HK|[L/M]HQ|[L/M]HG|[L]GT|[L]FS|[L/M]HO|[M]HE|[L]C|[M]FS|[L/M]D|[L/M]B|
145|,1,0.507042253521127,0.627118644067797,2.86999988555908,94,81,59,59,59,[L/M]A|[L/M]C|[L]AS|[M]E|[L]AQ|[M]AE|[L]CF|[L/M]AL|[M]AQ|[L/M]AR|[L]BO|[L/M]AN|[M]AG|[L/M]AI|[L/M]AK|[L/M]AJ|[L/M]AM|[L/M]AH|[L/M]AF|[L]E|[L]AZ|[L]BD|[M]AS|[L]AT|[L/M]AU|[M]AZ|[L/M]BB|[L/M]AX|[M]BD|[L/M]BF|[L/M]BE|[L/M]BA|[L/M]AV|[L]AE|[M]AT|[L/M]F|[L]BI|[L/M]BH|[L]CE|[L/M]BP|[M]BN|[L]BV|[M]BJ|[L/M]BM|[M]BO|[L/M]BQ|[L/M]BK|[L]CH|[M]BI|[L]BT|[M]BR|[L/M]BX|[L]BJ|[M]BT|[L/M]BY|[M]BV|[L/M]BU|[L/M]BS|[L/M]BZ|[M]CB|[L]D|[M]CC|[L/M]CD|[L]CB|[M]CF|[L/M]CG|[L]CJ|[L]BN|[L]AG|[M]CE|[L/M]CA|[L]BR|[M]CH|[L/M]CI|[L]CC|[M]CJ|[L/M]CL|[L/M]CM|[L/M]CK|[M]D|[L/M]B|
258|,1,0.527777777777778,0.694915254237288,2.20900011062622,93,77,59,59,59,[L/M]A|[L]AM|[L/M]C|[L/M]E|[L/M]AE|[L]F|[L/M]AG|[L/M]AQ|[L/M]AR|[L/M]AL|[M]AK|[L/M]AI|[L/M]AP|[L]CF|[M]AJ|[L]BL|[L/M]AH|[M]AM|[L/M]AF|[L]B|[M]AS|[L/M]AZ|[M]AU|[L/M]BD|[L/M]BC|[L/M]AX|[L/M]BA|[L]AU|[L/M]BG|[L/M]BE|[L/M]AV|[L/M]AT|[L]CL|[M]F|[L]CG|[M]BH|[L/M]BJ|[L/M]BP|[L]AJ|[M]BN|[L/M]BO|[L/M]BQ|[M]BL|[L/M]BK|[L/M]BI|[L/M]BR|[L]BV|[L]CJ|[L]CE|[M]BT|[L/M]BX|[L/M]BY|[M]BV|[L/M]BU|[L/M]BS|[L]CB|[L/M]BZ|[M]CB|[L/M]CD|[L]BN|[L/M]CC|[M]CF|[L]AK|[M]CG|[L]BT|[M]CE|[L/M]CA|[L/M]CH|[L/M]CI|[L]BH|[M]CJ|[L/M]CM|[M]CL|[L/M]CK|[L/M]D|[L]AS|[M]B|
18|,1,0.530612244897959,0.651162790697675,1.7960000038147,66,58,43,43,43,[L/M]A|[L/M]C|[L/M]CN|[L/M]CP|[L/M]CR|[L/M]CU|[L]CQ|[M]CS|[L]EA|[M]CQ|[L]CZ|[M]CX|[L/M]DD|[L]DB|[M]CZ|[L]EY|[L/M]DE|[M]DB|[L]FE|[M]DC|[L]EG|[M]DA|[L/M]CY|[L/M]CO|[L/M]DX|[L]DY|[M]DZ|[L/M]EB|[L]CX|[M]EA|[L/M]ED|[L]DA|[M]EG|[L/M]EE|[L]FI|[M]DY|[L/M]EW|[L/M]FH|[L]CS|[M]EY|[L/M]FB|[L/M]FL|[L/M]FJ|[L/M]EZ|[L/M]FK|[L/M]FC|[L]DZ|[L]DC|[M]FI|[L]FD|[L/M]FM|[M]FE|[L/M]FO|[L/M]FN|[M]FD|[L/M]EX|[L/M]D|[L/M]B|
478|,1,0.492957746478873,0.593220338983051,2.43099999427795,95,83,59,59,59,[L/M]A|[L]CK|[L]AV|[L/M]C|[L/M]E|[L]BZ|[L]AF|[M]AE|[L/M]AG|[L/M]AQ|[L/M]AL|[L/M]AK|[L/M]AJ|[L]BM|[L/M]AR|[L/M]AN|[L/M]AI|[L/M]AM|[L/M]AH|[L]BE|[M]AF|[L]AU|[M]AS|[L]BI|[M]AU|[L/M]AZ|[L/M]BD|[L]CF|[M]BB|[L/M]AX|[L/M]BF|[L]BX|[L]AS|[M]BE|[L/M]BA|[L]AT|[M]AV|[L]BR|[M]AT|[L]CI|[M]F|[L/M]BH|[L]BK|[L]B|[M]BN|[L]CJ|[M]BJ|[L/M]BP|[L/M]BO|[M]BM|[L]BB|[M]BK|[L/M]BQ|[M]BI|[L]F|[M]BR|[L/M]BT|[L]BY|[M]BX|[L]CL|[M]BY|[L/M]BW|[L/M]BU|[L/M]BS|[L]AE|[M]BZ|[L/M]CB|[L/M]CD|[L/M]CG|[L/M]CC|[L]BJ|[M]CF|[L/M]CE|[L/M]CA|[L/M]CH|[M]CI|[L]BN|[M]CJ|[L/M]CM|[M]CL|[M]CK|[L/M]D|[M]B|
209|,1,0.647058823529412,0.647058823529412,0.66700005531311,23,23,17,17,17,[L/M]A|[L]HZ|[L]LB|[M]C|[L/M]FR|[L/M]HY|[L/M]KN|[L/M]KX|[L/M]LA|[L/M]KY|[L]LD|[M]LB|[L/M]LE|[M]LD|[L/M]LC|[L/M]KO|[L]C|[M]HZ|[L]B|[M]FS|[L/M]D|[L]FS|[M]B|
274|,1,0.549019607843137,0.674418604651163,1.71199989318848,66,57,43,43,43,[L/M]A|[L]EO|[L/M]C|[M]CN|[L/M]DF|[L/M]DH|[L/M]DJ|[L/M]DM|[L/M]DN|[L]EZ|[L]FN|[L]D|[M]DQ|[L/M]DL|[L/M]DP|[L/M]DO|[L/M]DK|[L/M]DI|[L/M]DG|[L/M]CO|[L/M]DX|[L/M]EI|[L/M]EK|[L]EY|[L]CN|[M]EO|[L/M]EN|[L]FG|[M]EM|[L/M]EL|[L/M]EJ|[L/M]DY|[L/M]EW|[L]EM|[M]EY|[L/M]FH|[L/M]FB|[L/M]FJ|[L/M]FL|[M]FK|[M]FI|[M]FM|[L]DQ|[M]FO|[L]FK|[M]FN|[L]FC|[M]EZ|[L]FI|[M]FC|[L]FM|[M]FG|[L/M]FD|[L]FO|[L/M]EX|[M]D|[L/M]B|
283|,1,0.555555555555556,0.588235294117647,0.700999975204468,25,24,17,17,17,[L]C|[L]LB|[L]LC|[L/M]A|[M]C|[L/M]FR|[L/M]HY|[L/M]KN|[L/M]KX|[L]LD|[M]KZ|[L/M]KY|[M]LB|[L/M]LE|[M]LD|[L]KZ|[M]LC|[L/M]KO|[L]D|[M]HZ|[L/M]FS|[L]HZ|[M]D|[L/M]B|
59|,1,0.666666666666667,0.731707317073171,1.33899998664856,56,52,41,41,41,[L]CN|[L]EP|[L]FL|[M]A|[L/M]C|[L]FE|[M]CN|[L/M]CP|[L/M]CR|[L]FB|[M]CT|[L/M]CS|[L/M]CQ|[L/M]CX|[L/M]DD|[L/M]CZ|[L]D|[M]DE|[L/M]DB|[L/M]DC|[L/M]DA|[L/M]CY|[L/M]CO|[L/M]DX|[L/M]EI|[M]EP|[L/M]EQ|[L/M]EJ|[L/M]DY|[L]EZ|[L/M]EW|[M]EY|[L/M]FH|[L]CT|[M]FB|[L/M]FJ|[L/M]FK|[L]EY|[M]FL|[L/M]FI|[L/M]FM|[L/M]FP|[L]A|[M]EZ|[L/M]FC|[L/M]FN|[M]FE|[L/M]FD|[L/M]EX|[L]DE|[M]D|[L/M]B|
426|,1,0.611111111111111,0.647058823529412,0.651999950408936,24,23,17,17,17,[L/M]A|[L]HY|[M]C|[L/M]FR|[L]C|[L]KX|[M]HY|[L]LC|[L/M]KN|[M]KX|[L]FS|[M]KZ|[L/M]KY|[L/M]LB|[L/M]LE|[L/M]LD|[M]LC|[L/M]KO|[L/M]HZ|[L]KZ|[M]FS|[L/M]D|[L/M]B|
