Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
455|;1;0,795918367346939;0,493670886075949;0,948979591836735;0,823008849557522;3,04851293563843;166;103;98;98;98;[L]A|[M]B|[L/M]C|[L/M]E|[L/M]I|[L/M]K|[L/M]L|[L/M]M|[L/M]J|[L/M]F|[L/M]N|[L/M]P|[L/M]O|[L/M]S|[L/M]T|[L/M]U|[L/M]W|[L/M]AD|[L/M]X|[L/M]AH|[L/M]Y|[L/M]AJ|[L/M]AB|[L/M]AC|[L/M]AI|[L/M]AA|[L/M]Z|[L/M]AE|[L/M]V|[L/M]D|[L/M]ET|[L/M]EV|[L/M]GU|[L/M]FL|[L/M]EX|[L/M]FN|[L/M]GW|[L/M]FW|[L/M]EY|[L/M]IZ|[L/M]GE|[L/M]ID|[L/M]HJ|[L/M]JA|[L/M]EZ|[L/M]FP|[L/M]FY|[L/M]HL|[L/M]JB|[L/M]IJ|[L/M]IF|[L/M]GG|[L/M]FQ|[L/M]HM|[L/M]JE|[L/M]GP|[L/M]FZ|[L/M]FA|[L/M]FO|[L/M]GK|[L/M]II|[L/M]IH|[M]GM|[L/M]GJ|[M]GO|[L/M]JC|[M]GN|[L/M]HK|[L/M]IK|[L/M]GT|[L/M]GS|[L/M]GR|[L/M]FB|[L]GM|[L/M]GH|[L]GN|[L]GO|[L/M]FX|[L/M]IG|[L/M]JF|[L/M]GX|[L/M]FF|[L/M]GQ|[L/M]GL|[L/M]IE|[L/M]FG|[L/M]JL|[L/M]GF|[L/M]FC|[L/M]IL|[L/M]JN|[L/M]FM|[L/M]EW|[L/M]JM|[L/M]IU|[L/M]JG|[L/M]IY|[L/M]IV|[L/M]IM|[L/M]GV|[L/M]EU|[L]B|[M]A|
145|;1;0,658823529411765;0,325581395348837;0,882352941176471;0,652173913043478;2,23479604721069;154;95;85;85;85;[L]A|[M]B|[L/M]C|[L/M]CM|[L/M]DA|[L/M]DR|[L/M]DY|[L/M]DT|[L/M]DZ|[L/M]DX|[L/M]DV|[L/M]DW|[L/M]DU|[L/M]DS|[L/M]DB|[L/M]CN|[L/M]D|[L/M]ET|[L/M]GU|[L/M]EV|[M]GW|[L/M]EX|[M]HJ|[L/M]IZ|[L/M]FL|[L/M]EY|[L/M]ID|[L/M]JA|[L]GW|[L/M]EZ|[L/M]IJ|[L/M]JB|[L/M]FN|[M]FW|[L]HJ|[M]FY|[L/M]IF|[L/M]JE|[L/M]GE|[L/M]FA|[L]FW|[L/M]FP|[L/M]HS|[L/M]IK|[L/M]IH|[L/M]II|[L/M]JC|[L/M]GG|[L/M]GP|[L/M]FQ|[L/M]FB|[L]FY|[L/M]GK|[L/M]JF|[M]GM|[L/M]FO|[M]GO|[L/M]HT|[M]GN|[L/M]FF|[L/M]IG|[L/M]FZ|[M]GR|[L/M]GT|[L/M]GS|[L/M]GI|[L]GR|[L/M]JH|[L]GO|[L/M]FG|[L/M]JJ|[L]GM|[L/M]HK|[L/M]IE|[L/M]JK|[L/M]FX|[L/M]GQ|[L]GN|[L/M]GX|[L/M]GH|[L/M]FC|[L/M]IL|[L/M]GL|[L/M]JI|[L/M]IS|[L/M]GF|[L/M]JG|[L/M]IT|[L/M]FM|[L/M]IM|[L/M]EW|[L/M]GV|[L/M]EU|[L]B|[M]A|
649|;1;0,693181818181818;0,36094674556213;0,977272727272727;0,914893617021277;2,22596001625061;157;90;88;88;88;[L]A|[M]B|[L/M]C|[L/M]CM|[L/M]DA|[L/M]DK|[L/M]DL|[L/M]DM|[L/M]DQ|[L/M]DN|[L/M]DB|[L/M]CN|[L/M]D|[L/M]ET|[L/M]EV|[L/M]FL|[L/M]GU|[L/M]EX|[L/M]EY|[L/M]GE|[L/M]IZ|[L/M]ID|[L/M]FW|[L/M]FN|[L/M]JA|[L/M]GW|[L/M]EZ|[L/M]IJ|[L/M]GA|[L/M]GK|[L/M]IF|[L/M]JB|[L/M]GP|[L/M]GG|[L/M]FP|[L/M]FA|[L/M]GY|[L/M]GD|[L/M]FQ|[L/M]IK|[L/M]JD|[L/M]GM|[L/M]IH|[L/M]FO|[L/M]GI|[L/M]GS|[L/M]HC|[L/M]GN|[L/M]II|[L/M]HH|[L/M]GO|[L/M]FB|[L/M]JC|[L/M]GB|[L/M]GT|[L/M]GR|[L/M]FH|[L/M]GL|[L/M]IG|[L/M]JF|[L/M]HI|[L/M]HE|[L/M]FX|[L/M]HA|[L/M]HB|[L/M]GH|[L/M]HD|[L/M]GQ|[L/M]JL|[L/M]FK|[L/M]IE|[L/M]FJ|[L/M]GF|[L/M]GZ|[L/M]JO|[L/M]FM|[L/M]FI|[L/M]GX|[L/M]IL|[L/M]JM|[L/M]FC|[L/M]IS|[L/M]EW|[L/M]JG|[L/M]IT|[L/M]IM|[L/M]GV|[L/M]EU|[L]B|[M]A|
258|;1;0,696969696969697;0,365079365079365;0,94949494949495;0,824561403508772;2,70796608924866;176;104;99;99;99;[L]A|[M]B|[L/M]C|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[L/M]N|[L/M]Q|[L/M]O|[L/M]S|[L/M]T|[L/M]U|[L/M]W|[L/M]AD|[L/M]X|[L/M]AF|[L/M]AG|[L/M]Y|[L/M]AE|[L/M]AB|[L/M]AC|[L/M]AA|[L/M]Z|[L/M]V|[L/M]D|[L/M]ET|[L/M]GU|[L/M]EV|[L/M]EX|[L/M]FL|[L/M]EY|[L/M]ID|[L/M]IZ|[L/M]GW|[L/M]GE|[L/M]JA|[M]FW|[L/M]EZ|[L/M]IF|[L/M]FN|[L/M]GY|[L/M]IJ|[L]FW|[L/M]JB|[L/M]FR|[L/M]GP|[L/M]FA|[L/M]JE|[L/M]HH|[L/M]IH|[L/M]GK|[L/M]II|[L/M]GG|[L/M]HC|[L/M]FY|[L/M]HA|[L/M]FV|[L/M]IK|[L/M]FB|[L/M]JC|[L/M]FZ|[M]GM|[L/M]GS|[L/M]GI|[L/M]JF|[M]GN|[L/M]HB|[L/M]GT|[L/M]GO|[L/M]HI|[L/M]IG|[L/M]FF|[L/M]HF|[L/M]FS|[L]GN|[L/M]JL|[L]GM|[L/M]FX|[L/M]HD|[L/M]GH|[L/M]GR|[L/M]FG|[L/M]GQ|[L/M]IE|[L/M]FO|[L/M]GL|[L/M]JO|[L/M]GZ|[L/M]FC|[L/M]GF|[L/M]IL|[L/M]JM|[L/M]GX|[L/M]FM|[L/M]IS|[L/M]JG|[L/M]EW|[L/M]IT|[L/M]IM|[L/M]GV|[L/M]EU|[L]B|[M]A|
706|;1;0,675675675675676;0,342465753424658;0,972972972972973;0,9;3,18131303787231;196;114;111;111;111;[L]A|[M]B|[L/M]C|[L/M]AL|[L/M]BI|[L/M]AN|[L/M]BX|[L/M]AP|[L/M]BK|[L/M]CD|[L/M]AR|[L/M]CG|[L/M]AV|[L/M]BV|[L/M]BQ|[L/M]CF|[L/M]BM|[L/M]AU|[L/M]BW|[L/M]AY|[L/M]AX|[L/M]CE|[L/M]BO|[L/M]BU|[L/M]BT|[L/M]BP|[L/M]AS|[L/M]BS|[L/M]AW|[L/M]BY|[L/M]BR|[L/M]BN|[L/M]AQ|[L/M]BL|[L/M]AO|[L/M]BJ|[L/M]AM|[L/M]D|[L/M]ET|[L/M]EV|[L/M]EX|[L/M]FL|[L/M]GU|[L/M]EY|[L/M]ID|[L/M]IZ|[L/M]GW|[L/M]EZ|[L/M]JA|[L/M]IJ|[L/M]FN|[L/M]FW|[L/M]JB|[L/M]IF|[L/M]GE|[L/M]GY|[L/M]FA|[L/M]FR|[L/M]JE|[L/M]FY|[L/M]IK|[L/M]HC|[L/M]JC|[L/M]GK|[L/M]GP|[L/M]FB|[L/M]II|[L/M]HH|[L/M]GG|[L/M]FT|[L/M]HA|[L/M]JF|[L/M]HF|[L/M]FD|[L/M]IH|[L/M]FZ|[L/M]FS|[L/M]GO|[L/M]GN|[L/M]GM|[L/M]GS|[L/M]HD|[L/M]GJ|[L/M]HB|[M]GR|[L/M]JL|[L/M]GT|[L/M]FX|[L/M]HI|[L/M]IG|[L/M]FE|[L]GR|[L/M]FO|[L/M]GH|[L/M]GL|[L/M]JO|[L/M]GZ|[L/M]IE|[L/M]GQ|[L/M]FC|[L/M]JM|[L/M]GF|[L/M]JG|[L/M]GX|[L/M]IL|[L/M]FM|[L/M]EW|[L/M]IS|[L/M]IT|[L/M]IM|[L/M]GV|[L/M]EU|[L]B|[M]A|
742|;1;0,633928571428571;0,302127659574468;0,910714285714286;0,71830985915493;3,47245502471924;207;122;112;112;112;[L]A|[M]B|[L/M]C|[L/M]AL|[L/M]AN|[L/M]AZ|[L/M]BI|[L/M]BX|[L/M]BK|[L/M]BC|[L/M]BB|[L/M]BZ|[L/M]BV|[L/M]BM|[L/M]BA|[L/M]BW|[L/M]BQ|[L/M]CC|[L/M]BU|[L/M]BP|[L/M]BO|[L/M]BS|[L/M]BT|[L/M]BD|[L/M]CA|[L/M]BF|[L/M]BR|[L/M]BG|[L/M]BY|[L/M]BH|[L/M]BN|[L/M]BL|[L/M]BE|[L/M]BJ|[L/M]AO|[L/M]AM|[L/M]D|[L/M]ET|[L/M]GU|[L/M]EV|[L/M]EX|[L/M]IZ|[L/M]FL|[L/M]GW|[L/M]EY|[L/M]ID|[L/M]JA|[L/M]GY|[M]FW|[L/M]EZ|[M]GA|[L/M]JB|[L/M]GE|[L/M]FN|[M]GD|[L]FW|[L/M]IJ|[L/M]IF|[M]GP|[L/M]FR|[M]GS|[L/M]HA|[L/M]JE|[L/M]HC|[L/M]FA|[L/M]HH|[L]GA|[L]GP|[L/M]II|[L/M]GK|[L/M]IK|[L/M]GG|[L]GD|[L/M]JC|[L/M]HB|[L/M]IH|[L/M]FB|[M]GM|[L/M]HF|[M]GO|[L/M]FV|[M]GN|[L/M]HI|[L/M]GR|[L/M]GT|[L]GO|[L/M]GB|[L/M]JF|[L]GN|[L/M]FD|[L]GS|[L/M]GI|[L]GM|[L/M]IG|[L/M]HD|[L/M]FX|[L/M]FS|[L/M]FE|[L/M]GQ|[L/M]JH|[L/M]GL|[L/M]GZ|[L/M]IE|[L/M]GH|[L/M]FO|[L/M]JJ|[L/M]GX|[L/M]FC|[L/M]GF|[L/M]JK|[L/M]IL|[L/M]FM|[L/M]JI|[L/M]IS|[L/M]EW|[L/M]IT|[L/M]JG|[L/M]IM|[L/M]GV|[L/M]EU|[L]B|[M]A|
18|;1;0,699029126213592;0,36734693877551;0,83495145631068;0,558441558441559;2,81870412826538;181;120;103;103;103;[L]A|[M]B|[L/M]C|[L/M]E|[L/M]I|[L/M]M|[L/M]L|[L/M]K|[L/M]J|[L/M]F|[L/M]N|[L/M]Q|[L/M]O|[L/M]S|[L/M]T|[L/M]U|[L/M]W|[L/M]AD|[L/M]X|[L/M]AH|[L/M]Y|[L/M]AJ|[L/M]AB|[L/M]AC|[L/M]AI|[L/M]AA|[L/M]Z|[L/M]AE|[L/M]V|[L/M]D|[L/M]ET|[L/M]GU|[L/M]EV|[L/M]EX|[L/M]IZ|[M]FL|[L/M]ID|[M]FN|[L]FL|[M]FR|[L/M]JA|[M]FU|[L/M]EY|[L/M]GW|[M]FW|[L/M]JB|[M]GA|[L/M]EZ|[L/M]IJ|[L/M]IF|[M]GD|[L/M]GE|[L/M]HU|[L/M]JE|[M]GP|[L]FN|[M]GS|[L]FW|[M]GT|[L/M]IB|[L/M]JC|[L/M]FA|[L]FR|[M]GG|[L/M]HW|[L/M]II|[L/M]IH|[L/M]GK|[L]GP|[M]GM|[L]GG|[M]GO|[L/M]IK|[M]GN|[L/M]JF|[L]GA|[L/M]IC|[L/M]HZ|[M]GR|[L/M]FB|[L/M]IG|[L]FU|[L/M]FF|[L]GN|[L]GS|[L]GR|[L/M]GI|[L/M]HX|[L/M]FS|[L]GM|[L/M]JH|[L]GD|[L/M]FG|[L]GO|[L/M]IE|[L/M]JJ|[L]GT|[L/M]JK|[L/M]HV|[L/M]FO|[L/M]GL|[L/M]GQ|[L/M]GB|[L/M]GH|[L/M]FC|[L/M]GX|[L/M]IL|[L/M]FX|[L/M]JI|[L/M]IS|[L/M]GF|[L/M]JG|[L/M]IT|[L/M]FM|[L/M]IM|[L/M]EW|[L/M]GV|[L/M]EU|[L]B|[M]A|
831|;1;0,648148148148148;0,315315315315315;0,87037037037037;0,626666666666667;3,20650911331177;197;122;108;108;108;[L]A|[M]B|[L/M]C|[L/M]AL|[L/M]BI|[L/M]AN|[L/M]BX|[L/M]AP|[L/M]BK|[L/M]CH|[L/M]AV|[L/M]AR|[L/M]BV|[L/M]BM|[L/M]BQ|[L/M]CL|[L/M]AX|[L/M]CJ|[L/M]BW|[L/M]AU|[L/M]AY|[L/M]BP|[L/M]CK|[L/M]BO|[L/M]BS|[L/M]BT|[L/M]AW|[L/M]BN|[L/M]BU|[L/M]AS|[L/M]CI|[L/M]BY|[L/M]BR|[L/M]AQ|[L/M]BL|[L/M]AO|[L/M]BJ|[L/M]AM|[L/M]D|[L/M]ET|[M]GU|[L/M]EV|[M]GW|[L]GU|[M]HJ|[L/M]EX|[L/M]FL|[L/M]EY|[L/M]IZ|[L]GW|[L/M]EZ|[L/M]ID|[L/M]FW|[L/M]JA|[L]HJ|[L/M]FN|[L/M]FA|[L/M]IJ|[L/M]IF|[L/M]FP|[L/M]GE|[L/M]JB|[L/M]HS|[M]GP|[L/M]FY|[M]GS|[L/M]FB|[M]GT|[L/M]JE|[L/M]FH|[L/M]FQ|[L/M]IK|[M]GG|[L/M]GK|[L/M]IH|[L/M]FZ|[M]GJ|[L/M]II|[L]GP|[M]GM|[L/M]FO|[M]GO|[L/M]HT|[M]GN|[L/M]JC|[L]GG|[L/M]FK|[M]GR|[L/M]FJ|[L]GN|[L/M]IG|[L/M]JF|[L]GM|[L/M]FX|[L/M]HK|[L]GO|[L]GJ|[L]GT|[L]GS|[L/M]FI|[L]GR|[L/M]GL|[L/M]JL|[L/M]GH|[L/M]GX|[L/M]IE|[L/M]FC|[L/M]GQ|[L/M]GF|[L/M]IL|[L/M]JN|[L/M]FM|[L/M]JM|[L/M]IS|[L/M]EW|[L/M]IT|[L/M]JG|[L/M]IM|[L/M]GV|[L/M]EU|[L]B|[M]A|
915|;1;0,710280373831776;0,38;0,934579439252336;0,78125;2,89948201179504;191;114;107;107;107;[L]A|[M]B|[L/M]C|[L/M]AL|[L/M]BI|[L/M]AN|[L/M]BX|[L/M]AP|[L/M]BK|[L/M]CD|[L/M]AR|[L/M]CG|[L/M]AV|[L/M]BV|[L/M]CF|[L/M]BM|[L/M]BQ|[L/M]AU|[L/M]BW|[L/M]BO|[L/M]BP|[L/M]AY|[L/M]BS|[L/M]CE|[L/M]AS|[L/M]BU|[L/M]AX|[L/M]BT|[L/M]BN|[L/M]BY|[L/M]BR|[L/M]AW|[L/M]AQ|[L/M]BL|[L/M]AO|[L/M]BJ|[L/M]AM|[L/M]D|[L/M]ET|[L/M]EV|[L/M]GU|[L/M]EX|[M]GW|[L/M]FL|[M]HJ|[L/M]EY|[L/M]ID|[L/M]IZ|[L/M]EZ|[L/M]IJ|[L]GW|[L/M]FW|[L/M]FN|[L/M]IF|[L/M]JA|[L/M]FA|[M]FY|[L/M]GE|[L/M]FP|[L]HJ|[L/M]JB|[L/M]IK|[L]FY|[L/M]GP|[L/M]GG|[L/M]GK|[L/M]JE|[L/M]IH|[L/M]FB|[L/M]FQ|[L/M]HS|[L/M]II|[L/M]JC|[L/M]GI|[L/M]FF|[L/M]FZ|[M]GM|[L/M]FO|[L/M]GS|[M]GN|[L/M]GO|[L/M]GR|[L/M]GT|[L/M]JF|[L]GM|[L/M]IG|[L]GN|[L/M]FG|[L/M]HT|[L/M]FX|[L/M]GH|[L/M]JH|[L/M]GL|[L/M]GQ|[L/M]JJ|[L/M]FC|[L/M]HK|[L/M]IE|[L/M]JK|[L/M]GF|[L/M]GX|[L/M]IL|[L/M]FM|[L/M]JI|[L/M]IN|[L/M]EW|[L/M]JG|[L/M]IR|[L/M]IO|[L/M]IM|[L/M]GV|[L/M]EU|[L]B|[M]A|
209|;1;0,707547169811321;0,376884422110553;0,915094339622642;0,729323308270677;2,80606985092163;176;115;106;106;106;[L]A|[M]B|[L/M]C|[L/M]E|[L/M]I|[L/M]L|[L/M]M|[L/M]K|[L/M]J|[L/M]F|[L/M]N|[L/M]Q|[L/M]O|[L/M]S|[L/M]T|[L/M]U|[L/M]AD|[L/M]W|[L/M]X|[L/M]AF|[L/M]Y|[L/M]AG|[L/M]AE|[L/M]AC|[L/M]AB|[L/M]AA|[L/M]Z|[L/M]V|[L/M]D|[L/M]ET|[M]GU|[L/M]EV|[M]GW|[L]GU|[M]GY|[L/M]EX|[L/M]FL|[L/M]EY|[L/M]IZ|[L/M]GE|[L/M]EZ|[M]FW|[L/M]JA|[M]GA|[L/M]ID|[L/M]FN|[L]FW|[M]GC|[L]GW|[L/M]JB|[L/M]IJ|[L/M]FA|[L/M]FR|[L/M]GK|[L/M]IF|[L/M]JE|[L/M]GG|[L/M]GP|[L]GA|[M]HC|[L]GY|[L/M]JC|[L/M]FV|[L/M]IK|[L/M]FB|[L/M]IH|[L/M]GM|[L/M]II|[L/M]HA|[L/M]GI|[L/M]GN|[L/M]GS|[L/M]FH|[L/M]JF|[L]GC|[L/M]GT|[L/M]GO|[L/M]GR|[L]HC|[L/M]FS|[L/M]IG|[L/M]HH|[L/M]HB|[L/M]FJ|[L/M]GL|[L/M]GH|[L/M]JL|[L/M]GQ|[L/M]FO|[L/M]FK|[L/M]GB|[L/M]HE|[L/M]HI|[L/M]IE|[L/M]FI|[L/M]FX|[L/M]JN|[L/M]GF|[L/M]HD|[L/M]FC|[L/M]JM|[L/M]FM|[L/M]IL|[L/M]EW|[L/M]GZ|[L/M]JG|[L/M]IU|[L/M]GX|[L/M]IW|[L/M]IV|[L/M]IM|[L/M]GV|[L/M]EU|[L]B|[M]A|
