Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
455|;1;0,595890410958904;0,269349845201238;0,705479452054794;0,374545454545455;7,63349890708923;262;189;146;146;146;[L/M]A|[L/M]C|[L/M]HT|[L/M]DL|[L/M]E|[L/M]G|[L/M]DN|[L/M]M|[L/M]IT|[L/M]EF|[L/M]O|[L/M]JC|[L/M]IX|[L/M]N|[M]JB|[L/M]IV|[M]JA|[L/M]JE|[M]IZ|[L/M]EL|[M]IY|[L/M]IW|[L/M]H|[L/M]JG|[L/M]JF|[L]JA|[M]JD|[L/M]EM|[L]JB|[M]IU|[L/M]F|[L]IZ|[L/M]AN|[L]JD|[M]JH|[L/M]EG|[M]JK|[L]IY|[M]JL|[L/M]DO|[M]JJ|[L/M]BC|[M]JI|[L/M]AP|[M]JM|[L]IU|[M]JP|[L/M]FD|[M]JN|[L/M]BE|[M]HU|[L/M]BJ|[M]JQ|[L/M]AR|[M]KR|[L/M]BI|[M]KT|[L/M]BH|[M]LI|[L]JH|[M]LT|[L/M]BM|[M]LK|[L/M]FN|[M]LO|[L/M]AU|[M]LV|[L/M]FF|[M]LW|[L/M]BG|[L]JK|[M]LM|[L/M]FP|[M]LD|[L]JL|[M]LH|[L]JJ|[L/M]AS|[L/M]FH|[M]LS|[L/M]BF|[L/M]FT|[L/M]BK|[L/M]FJ|[L]JI|[L/M]FV|[L/M]AQ|[L/M]FI|[L/M]FW|[L/M]FR|[L/M]BD|[L/M]FS|[L/M]FU|[L]JM|[L/M]FM|[L/M]FL|[L/M]AO|[L]JP|[L/M]FQ|[L/M]BO|[L/M]FK|[L]JN|[L/M]FO|[L]HU|[L]BX|[L]JQ|[L]BQ|[L/M]BV|[L]CA|[L/M]FG|[L/M]BZ|[L/M]FE|[L]KR|[L]BT|[L]BW|[M]CE|[L]BU|[M]CL|[L/M]BS|[L]LI|[L]BY|[L/M]DM|[L]KT|[L]LK|[M]CA|[L]BR|[M]BU|[L]LO|[M]CG|[L]LD|[M]CH|[L]LM|[M]CI|[L]LT|[M]CD|[L/M]BP|[L]LS|[L/M]LL|[L]LH|[L]LW|[L]LV|[L/M]LP|[L/M]CB|[L/M]LE|[L]CD|[L/M]LU|[L]CI|[L/M]CM|[L/M]KU|[L]CP|[M]BW|[L/M]CQ|[L/M]LJ|[L/M]CO|[M]CP|[L]CF|[L]CL|[M]BT|[L]CJ|[M]BR|[L]CE|[M]BX|[L/M]KS|[L/M]CN|[M]BQ|[L/M]JR|[M]BY|[L/M]CC|[L/M]CR|[L/M]CU|[L/M]CT|[L/M]CS|[L/M]CV|[L/M]CY|[L/M]CX|[L/M]CW|[L/M]CZ|[L/M]DH|[L/M]DB|[L/M]DD|[L/M]DG|[L/M]DF|[L/M]DC|[L/M]DE|[L/M]DK|[L/M]DI|[L/M]DA|[L/M]D|[L/M]B|
145|;1;0,567375886524823;0,246913580246914;0,737588652482269;0,412698412698413;6,65972805023193;258;178;141;141;141;[L/M]A|[L/M]C|[L/M]DL|[L/M]E|[L/M]HT|[L/M]G|[L/M]FX|[L/M]M|[L/M]IT|[L/M]FZ|[L/M]O|[L/M]GD|[L/M]N|[L/M]IX|[L/M]JC|[L/M]IV|[L/M]GF|[L/M]JG|[L/M]H|[L/M]JE|[L/M]JF|[L/M]IW|[L/M]JB|[L/M]GE|[L/M]IZ|[M]GA|[L/M]F|[L/M]JA|[M]FY|[L/M]JD|[M]GQ|[L]GA|[M]HF|[L/M]AN|[L/M]IY|[L/M]AP|[L]FY|[L/M]BC|[L/M]IU|[L/M]AY|[L]GQ|[L/M]BE|[L/M]BJ|[L/M]JH|[L]HF|[L/M]BH|[L/M]GS|[L/M]HH|[M]JK|[L/M]BG|[M]JL|[L/M]JJ|[L/M]HR|[L/M]BB|[M]JI|[L]JL|[M]JM|[L/M]BL|[M]JO|[L/M]BI|[M]JN|[L]JK|[M]HU|[L/M]HL|[M]JQ|[L/M]HM|[M]JS|[L/M]BA|[M]JU|[L/M]HJ|[M]KF|[L/M]HS|[M]KH|[L/M]GU|[M]KK|[L/M]AZ|[L/M]HK|[M]JW|[L/M]BK|[M]JY|[L/M]HO|[L]JI|[L/M]BF|[L/M]AQ|[L/M]HQ|[L/M]HP|[L/M]GV|[L/M]BD|[L]JM|[L/M]HI|[L/M]AO|[L/M]HN|[L/M]GT|[L/M]BO|[L]JO|[L/M]HG|[L/M]BV|[L]BQ|[L]BX|[L]BW|[L]JN|[L/M]GR|[L/M]BZ|[L]CA|[L]BT|[L]BU|[L]BS|[L]HU|[L/M]DM|[L]BY|[L]JQ|[L]BR|[L]BP|[M]CE|[L]JS|[M]CL|[L]CB|[M]BS|[L]KF|[M]CA|[L]JU|[M]BU|[L]KH|[M]CG|[L/M]CI|[L]CM|[M]CH|[L/M]CD|[L]JW|[L]KK|[L]CO|[M]BP|[L]CP|[M]CB|[L]CL|[M]BW|[L/M]CQ|[L]JY|[M]CP|[L/M]KI|[M]CO|[L]CF|[M]BT|[L/M]CJ|[L/M]CN|[L/M]KG|[M]CM|[L/M]JX|[M]BX|[L]CE|[M]BQ|[L]CC|[M]BY|[L/M]JV|[L/M]JT|[M]CC|[L/M]CR|[L/M]CT|[L/M]CU|[L/M]JR|[L/M]CS|[L/M]CV|[L/M]CY|[L/M]CX|[L/M]CW|[L/M]CZ|[L/M]DD|[L/M]DB|[L/M]DH|[L/M]DG|[L/M]DF|[L/M]DC|[L/M]DJ|[L/M]DE|[L/M]DI|[L/M]DA|[L/M]D|[L/M]B|
649|;1;0,611464968152866;0,282352941176471;0,745222929936306;0,422382671480144;7,81742095947266;287;197;157;157;157;[L/M]A|[L/M]C|[L/M]HT|[L/M]E|[L/M]IT|[L/M]AC|[L/M]DL|[L/M]AE|[L/M]JC|[L/M]DN|[L/M]IV|[L/M]IX|[L/M]AI|[L/M]AG|[L/M]JE|[L/M]JF|[L/M]JG|[L/M]AF|[L/M]IW|[L/M]ES|[L/M]AH|[L/M]AL|[L/M]JB|[L/M]AK|[M]JA|[L/M]IZ|[M]IY|[L/M]AM|[L/M]JD|[L]JA|[M]IU|[L/M]EZ|[L/M]AJ|[M]JH|[L/M]FC|[M]JK|[L/M]EU|[L]IY|[M]JL|[L/M]FB|[M]JJ|[L/M]EX|[L/M]EV|[M]JI|[L/M]AD|[M]JM|[L]IU|[M]JO|[L/M]FA|[M]JN|[L/M]F|[M]HU|[L]JH|[M]JQ|[L/M]ET|[M]KR|[L/M]AN|[M]KT|[L]JL|[M]LI|[L]JK|[M]LT|[L]JJ|[M]LK|[L/M]DO|[M]LO|[L/M]AP|[M]LV|[L/M]FD|[M]LW|[L/M]BC|[L]JI|[M]LN|[L/M]FN|[M]KZ|[L/M]BJ|[M]LB|[L/M]AW|[M]LC|[L]JM|[L/M]FF|[L/M]BE|[M]LR|[L/M]FT|[L/M]BN|[L/M]BI|[L/M]FH|[L/M]FV|[L/M]FJ|[L]JO|[L/M]FP|[L/M]BG|[L/M]BH|[L/M]BK|[L/M]AX|[M]FL|[L/M]FW|[L/M]FI|[L/M]FM|[L/M]FR|[L]JN|[L/M]FS|[L/M]FU|[L]FL|[L/M]BF|[L/M]AQ|[L]HU|[L/M]BD|[L/M]FQ|[L]JQ|[L/M]FK|[L/M]FO|[L/M]AO|[L]KR|[L/M]FG|[L/M]BO|[L]LI|[L]KT|[L]BQ|[L/M]FE|[L/M]BV|[L]LK|[L]KZ|[L]BX|[L]LO|[L/M]DM|[L]BT|[L]LT|[L]LB|[L/M]BZ|[L]BW|[L]BU|[L]LN|[L]LC|[M]CE|[L/M]CA|[L/M]BS|[L]LR|[L/M]LA|[L/M]LL|[L]BY|[M]CL|[L]LV|[M]BU|[L]BR|[M]CG|[L/M]KU|[L/M]LP|[M]CI|[L]LW|[M]CH|[L]BP|[M]CD|[L/M]LU|[M]BP|[L/M]CB|[L/M]LJ|[L/M]CM|[L]CD|[M]BW|[L/M]CP|[L/M]KS|[L]CI|[L/M]CQ|[L]CH|[M]BT|[L/M]CO|[L/M]JR|[L/M]CK|[L/M]CN|[M]BX|[L]CJ|[M]BQ|[L]CE|[M]BY|[L/M]CC|[L/M]CR|[L/M]CT|[L/M]CU|[L/M]CS|[L/M]CV|[L/M]CX|[L/M]CY|[L/M]CW|[L/M]CZ|[L/M]DH|[L/M]DD|[L/M]DB|[L/M]DG|[L/M]DF|[L/M]DJ|[L/M]DC|[L/M]DE|[L/M]DI|[L/M]DA|[L/M]D|[L/M]B|
258|;1;0,588235294117647;0,263157894736842;0,779411764705882;0,469026548672566;6,66028809547424;249;166;136;136;136;[L/M]A|[L/M]C|[L/M]E|[L/M]DL|[L/M]HT|[L/M]G|[L/M]FX|[L/M]M|[L/M]HV|[L/M]FZ|[L/M]P|[L/M]GB|[L/M]II|[L/M]N|[L/M]GC|[L/M]IK|[L/M]GA|[L/M]H|[L/M]IO|[M]FY|[L/M]IN|[M]GQ|[L/M]IM|[L]FY|[M]HF|[L/M]F|[L/M]AN|[L/M]IL|[L]GQ|[L/M]AP|[L]HF|[L/M]BC|[L/M]GS|[L/M]HM|[L/M]BE|[L/M]IJ|[L/M]BJ|[L/M]HW|[L/M]AY|[L/M]HH|[L/M]GW|[L/M]HR|[L/M]HP|[L/M]BG|[L/M]BI|[L/M]HO|[M]HU|[L/M]BH|[L/M]HS|[L/M]HQ|[M]JQ|[L/M]HK|[M]KR|[L/M]GY|[M]KT|[L/M]BN|[L/M]BB|[M]LI|[L/M]HL|[L]HU|[M]LT|[L/M]HJ|[M]LK|[L/M]BA|[L]JQ|[M]LO|[L/M]GX|[M]LV|[L/M]BK|[M]LW|[L/M]HN|[L/M]BF|[L/M]AZ|[M]LM|[L/M]AQ|[M]KV|[L/M]HI|[L/M]GT|[M]KY|[L/M]BD|[L/M]AO|[M]KX|[L]KR|[L/M]HG|[L/M]BO|[L]KT|[L]LI|[M]LS|[L/M]GR|[L]KV|[L/M]DM|[L/M]BV|[L]BQ|[L]LO|[L]BX|[L]KX|[L]LT|[L]KY|[L]LS|[L]LK|[L]BW|[L/M]BZ|[L]BS|[M]CE|[L]BT|[M]CL|[L]LM|[M]BS|[L/M]CA|[L]LW|[L/M]KW|[L/M]BU|[L/M]LP|[L]LV|[L/M]LL|[M]CG|[L]BY|[L/M]KU|[M]CI|[L]BR|[M]CH|[L/M]LU|[M]CD|[L/M]BP|[L/M]LJ|[L/M]CB|[L/M]KS|[L]CI|[L]CD|[M]BW|[L/M]CM|[L/M]JR|[L/M]CO|[L]CL|[L/M]CQ|[L]CH|[M]BT|[L/M]CP|[M]BX|[L/M]CJ|[L/M]CN|[M]BQ|[L]CE|[M]BY|[L/M]CC|[L/M]CR|[L/M]CT|[L/M]CU|[L/M]CS|[L/M]CV|[L/M]CX|[L/M]CY|[L/M]CW|[L/M]CZ|[L/M]DH|[L/M]DD|[L/M]DB|[L/M]DG|[L/M]DF|[L/M]DJ|[L/M]DC|[L/M]DE|[L/M]DI|[L/M]DA|[L/M]D|[L/M]B|
706|;1;0,618705035971223;0,288590604026846;0,81294964028777;0,52073732718894;5,99838209152222;250;165;139;139;139;[L/M]A|[L/M]C|[L/M]HT|[L/M]DL|[L/M]E|[L/M]Q|[L/M]HV|[L/M]FX|[L/M]FZ|[L/M]HX|[L/M]S|[M]IE|[L/M]X|[L/M]GB|[L/M]W|[L/M]HZ|[L/M]GC|[L/M]Z|[L/M]U|[L]IE|[L/M]V|[L/M]AB|[L/M]AA|[L/M]IC|[L/M]GA|[L/M]T|[L/M]IB|[M]FY|[L/M]IH|[M]GQ|[L/M]Y|[L/M]ID|[M]HF|[L/M]IF|[L]FY|[L/M]R|[L/M]IA|[L]GQ|[L/M]F|[L/M]HY|[L]HF|[L/M]GS|[L/M]AN|[L/M]HR|[L/M]HW|[L/M]HM|[M]HU|[L/M]HH|[M]JQ|[L/M]HS|[M]JS|[L/M]GU|[M]JU|[L/M]HJ|[M]KF|[L/M]HK|[M]KM|[L/M]HL|[M]JW|[L]HU|[M]JZ|[L/M]AP|[L/M]HQ|[L/M]HP|[M]KQ|[L/M]BC|[M]KP|[L/M]GV|[M]KO|[L]JQ|[L/M]HO|[L/M]HI|[L/M]BE|[L/M]BJ|[L/M]AY|[L]JS|[L/M]BG|[L/M]GT|[L/M]HN|[L/M]BI|[L/M]BH|[L/M]BL|[L/M]BB|[L/M]HG|[L]KF|[L/M]BA|[L]JU|[L/M]BK|[L]KM|[L/M]GR|[L/M]BF|[L/M]AZ|[L/M]BD|[L/M]AQ|[L]JW|[L/M]DM|[L]KP|[L]JZ|[L]KQ|[L/M]AO|[L]KO|[L/M]JX|[L/M]BO|[L/M]KN|[L]BX|[L/M]BV|[L/M]JV|[L]BQ|[M]CE|[L/M]KG|[L/M]CA|[M]CL|[L]BW|[L/M]BZ|[L]BT|[L/M]JT|[M]CG|[L/M]BS|[L]BY|[M]CI|[L/M]BU|[L/M]JR|[M]CH|[L]BR|[M]CD|[L/M]BP|[L/M]CB|[L/M]CM|[L]CI|[L]CD|[M]BW|[L/M]CP|[L/M]CO|[L/M]CQ|[M]BT|[L/M]CF|[L]CK|[M]BR|[L/M]CN|[L]CJ|[M]BQ|[L]CE|[M]BY|[L/M]CC|[L/M]CR|[L/M]CU|[L/M]CT|[L/M]CS|[L/M]CV|[L/M]CX|[L/M]CY|[L/M]CW|[L/M]CZ|[L/M]DD|[L/M]DH|[L/M]DB|[L/M]DG|[L/M]DF|[L/M]DJ|[L/M]DC|[L/M]DE|[L/M]DI|[L/M]DA|[L/M]D|[L/M]B|
742|;1;0,608695652173913;0,28;0,760869565217391;0,443037974683544;6,17351889610291;252;171;138;138;138;[L/M]A|[L/M]C|[L/M]E|[L/M]HT|[L/M]DL|[L/M]AC|[L/M]HV|[L/M]DN|[L/M]AI|[L/M]II|[L/M]AG|[L/M]ES|[L/M]AE|[L/M]IK|[L/M]AK|[L/M]AM|[L/M]AL|[L/M]AH|[L/M]EU|[L/M]EZ|[L/M]AF|[M]IM|[L/M]IN|[L/M]IO|[M]IL|[L/M]FB|[M]IJ|[L/M]AJ|[M]HW|[L/M]EW|[M]HU|[L]IM|[M]JQ|[L/M]FC|[M]JS|[L/M]EV|[M]JU|[L/M]FA|[M]KF|[L]IL|[M]KH|[L/M]AD|[M]KJ|[L/M]ET|[L/M]F|[M]KA|[L]IJ|[M]KC|[L/M]AN|[M]KD|[L/M]DO|[M]KE|[L]HW|[L/M]FD|[L/M]AP|[L]HU|[L/M]BC|[L/M]FN|[L/M]AW|[L]JQ|[L/M]BJ|[L/M]FF|[L/M]BE|[M]FJ|[L/M]FP|[M]FL|[L/M]FH|[L/M]BI|[L/M]FT|[M]FM|[L]JS|[M]FK|[L/M]BH|[L/M]BL|[L/M]AX|[L]FJ|[L/M]FV|[L/M]BG|[L/M]FS|[L/M]FR|[L/M]FW|[L]JU|[M]FQ|[L]KF|[L/M]FI|[L/M]FU|[L/M]BK|[L]FM|[L/M]AQ|[L/M]BF|[L]KH|[L]FQ|[L]FL|[L/M]BD|[L]KA|[L]KJ|[L/M]FO|[L]FK|[L/M]AO|[L]KD|[L/M]BO|[L]KE|[L]KC|[L/M]KI|[L/M]FG|[L/M]KB|[L/M]BV|[L]BX|[L/M]KG|[L]BQ|[M]CE|[L]BW|[L/M]FE|[M]CL|[L/M]JV|[M]BS|[L/M]CA|[L/M]BZ|[L/M]DM|[L/M]JT|[L]BY|[L]BT|[M]CG|[L/M]BU|[L]BS|[M]CI|[L/M]JR|[M]CH|[L]BR|[M]CD|[L/M]BP|[L/M]CB|[L/M]CM|[L]CD|[L]CI|[M]BW|[L/M]CO|[L]CF|[L/M]CP|[M]BT|[L/M]CQ|[L]CK|[M]BR|[L]CE|[M]BX|[L]CJ|[M]BQ|[L/M]CN|[M]BY|[L/M]CC|[L/M]CR|[L/M]CT|[L/M]CU|[L/M]CS|[L/M]CV|[L/M]CY|[L/M]CX|[L/M]CW|[L/M]CZ|[L/M]DD|[L/M]DG|[L/M]DH|[L/M]DB|[L/M]DF|[L/M]DE|[L/M]DC|[L/M]DK|[L/M]DI|[L/M]DA|[L/M]D|[L/M]B|
18|;1;0,56;0,241379310344828;0,7;0,368421052631579;7,36123418807983;274;195;150;150;150;[L/M]A|[L/M]C|[L/M]E|[L/M]DL|[L/M]G|[L/M]HT|[L/M]M|[L/M]P|[L/M]DN|[L/M]IT|[L/M]N|[L/M]EF|[L/M]IX|[L/M]H|[M]JB|[L/M]JC|[M]JA|[L/M]IV|[M]IZ|[L/M]EN|[M]IY|[L/M]JG|[M]IW|[L/M]F|[L]JB|[M]JF|[L/M]JE|[L]IZ|[M]JD|[L]JF|[M]IU|[L]JA|[L]IW|[L/M]EQ|[L/M]AN|[L/M]EP|[M]JH|[L]JD|[M]JK|[L/M]ER|[M]JL|[L/M]EO|[L]IY|[M]JJ|[L/M]BC|[M]JI|[L/M]AP|[M]JM|[L/M]EG|[M]JO|[L/M]AR|[M]JN|[L/M]DO|[M]HU|[L]IU|[M]JQ|[L/M]BJ|[M]KR|[L/M]BE|[M]KT|[L/M]AU|[M]LI|[L/M]BH|[M]LT|[L/M]FD|[M]LK|[L/M]BG|[M]LO|[L]JH|[M]LV|[L/M]AS|[M]LW|[L/M]BN|[L/M]BI|[M]LN|[L/M]BK|[M]KZ|[L]JL|[M]LB|[L/M]FN|[M]LC|[L/M]AQ|[L/M]FF|[L]JK|[M]LS|[L/M]BF|[L]JJ|[L/M]FT|[L/M]FH|[L/M]FP|[L/M]FJ|[L/M]BD|[L]JI|[L/M]FV|[L/M]FW|[L/M]FI|[L/M]FM|[L/M]AO|[L]JM|[L/M]FS|[L/M]FL|[L/M]FR|[L/M]FU|[L/M]BO|[L/M]FK|[L/M]FQ|[L]JO|[L/M]FO|[L/M]FG|[L]BQ|[L]JN|[L/M]BV|[L]BX|[L/M]FE|[L]HU|[L/M]BZ|[M]CE|[L]BW|[M]CL|[L/M]BS|[L/M]CA|[L]BT|[L/M]DM|[L]JQ|[L/M]BU|[L]BY|[L]BR|[L]KR|[L]BP|[L]LI|[L]KT|[L]CB|[L]LK|[L]KZ|[L]LO|[L]LC|[L]LN|[L]LB|[L]LT|[L]CD|[L]LS|[L]CM|[L/M]LA|[L]LW|[M]CG|[L/M]CI|[L]LV|[M]CH|[L/M]LL|[M]CD|[L/M]LP|[M]BP|[L]CF|[M]CB|[L/M]KU|[L]CO|[M]BW|[L/M]LU|[M]CO|[L/M]CP|[L/M]CQ|[M]BT|[L/M]CK|[L]CE|[M]CM|[L]CJ|[M]BX|[L/M]LJ|[L/M]CN|[M]BQ|[L/M]KS|[M]BY|[L/M]CC|[L/M]JR|[L/M]CR|[L/M]CU|[L/M]CT|[L/M]CS|[L/M]CV|[L/M]CY|[L/M]CX|[L/M]CW|[L/M]CZ|[L/M]DH|[L/M]DD|[L/M]DB|[L/M]DG|[L/M]DF|[L/M]DJ|[L/M]DC|[L/M]DE|[L/M]DI|[L/M]DA|[L/M]D|[L/M]B|
831|;1;0,602739726027397;0,275;0,773972602739726;0,461224489795918;6,73070192337036;264;179;146;146;146;[L/M]A|[L/M]C|[L/M]DL|[L/M]HT|[L/M]E|[L/M]DN|[L/M]HV|[L/M]Q|[L/M]ES|[L/M]X|[L/M]S|[L/M]II|[L/M]W|[L/M]EZ|[L/M]V|[L/M]EU|[L/M]U|[L/M]IK|[M]IN|[L/M]AA|[M]IO|[L/M]FC|[M]IM|[L/M]Z|[M]IL|[L/M]FB|[M]IJ|[L/M]T|[M]HW|[L/M]AB|[M]HU|[L/M]EX|[M]JQ|[L]IO|[M]KR|[L]IM|[M]KT|[L]IN|[M]LI|[L/M]EV|[M]LT|[L/M]FA|[M]LK|[L/M]Y|[M]LO|[L/M]R|[M]LV|[L]IL|[M]LW|[L/M]ET|[L]IJ|[M]LN|[L/M]DO|[M]LD|[L/M]F|[M]LH|[L/M]FD|[L]HW|[L/M]AN|[M]LS|[L]HU|[L/M]FF|[L/M]BC|[L]JQ|[L/M]FN|[L/M]FJ|[L/M]AP|[L/M]FH|[L/M]BE|[L/M]FP|[L/M]FT|[L]KR|[L/M]BJ|[L/M]FI|[L/M]FL|[L/M]AY|[L/M]FV|[L/M]FW|[M]FR|[L/M]BG|[L/M]BH|[L/M]BI|[L/M]FM|[L/M]FS|[L]LI|[L/M]FK|[L]FR|[L]KT|[L/M]BN|[L/M]FU|[L/M]BB|[L/M]FQ|[L/M]BF|[L]LO|[L]LD|[L/M]BA|[L/M]BK|[L/M]FG|[L]LK|[L]LT|[L/M]AZ|[L/M]FO|[L]LS|[L]LN|[L]LH|[L/M]AQ|[L/M]BD|[L/M]LP|[L/M]AO|[L]LV|[L/M]FE|[L/M]LE|[L/M]LL|[L]LW|[L/M]BO|[L/M]DM|[L/M]KU|[L/M]LU|[L]BQ|[L]BX|[M]CE|[L/M]BV|[L/M]LJ|[M]CL|[L]BT|[M]BS|[L/M]CA|[L/M]BU|[L]BW|[M]CG|[L/M]BZ|[L]BS|[L/M]KS|[L]BY|[M]CI|[L/M]JR|[M]CH|[L]BR|[M]CD|[L/M]BP|[L/M]CB|[L]CD|[L]CI|[M]BW|[L/M]CM|[L]CG|[L/M]CQ|[L/M]CO|[M]BT|[L]CK|[M]BX|[L/M]CP|[L]CE|[M]BQ|[L/M]CJ|[L/M]CN|[M]BY|[L/M]CC|[L/M]CR|[L/M]CU|[L/M]CT|[L/M]CS|[L/M]CV|[L/M]CX|[L/M]CY|[L/M]CW|[L/M]CZ|[L/M]DH|[L/M]DD|[L/M]DG|[L/M]DB|[L/M]DK|[L/M]DF|[L/M]DE|[L/M]DI|[L/M]DC|[L/M]DA|[L/M]D|[L/M]B|
915|;1;0,624113475177305;0,293333333333333;0,851063829787234;0,588235294117647;6,52019691467285;254;162;141;141;141;[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]DL|[L/M]HT|[L/M]M|[L/M]HV|[L/M]FX|[L/M]P|[L/M]GI|[L/M]HX|[L/M]N|[L/M]GK|[L/M]GO|[L/M]HZ|[L/M]H|[L/M]IE|[L/M]IC|[L/M]F|[L/M]GN|[L/M]ID|[L/M]IG|[L/M]GP|[L/M]IB|[L/M]IF|[L/M]AN|[L/M]GL|[L/M]IA|[L/M]AP|[L/M]HY|[L/M]BC|[L/M]GJ|[L/M]AR|[M]FY|[L/M]BJ|[M]GQ|[L/M]HW|[L/M]BE|[M]HF|[L/M]AV|[L]FY|[L/M]BL|[L/M]HU|[L/M]AS|[L/M]BG|[L/M]JQ|[L/M]BK|[L/M]BI|[L]GQ|[L/M]AQ|[L/M]BH|[L/M]GS|[L/M]KR|[L]HF|[L/M]BF|[L/M]HA|[L/M]LI|[L/M]HR|[L/M]HM|[M]LT|[L/M]KT|[L/M]HS|[L/M]BD|[M]LV|[L/M]HH|[M]LW|[L/M]KZ|[L/M]LO|[M]LU|[L/M]AO|[L/M]HE|[L/M]HJ|[L/M]LB|[L/M]HL|[L/M]HQ|[L/M]LC|[L/M]LK|[L/M]HK|[L/M]HO|[L/M]BO|[L]LT|[M]LA|[L/M]HP|[L/M]HB|[L/M]LR|[L]LA|[M]LP|[L/M]LM|[M]LL|[L/M]HN|[L/M]HI|[L]BQ|[L]BX|[L/M]GT|[L/M]BV|[L]LL|[L/M]KU|[L]LV|[L]LW|[L]LP|[L]BW|[M]CE|[L]BT|[M]CL|[L/M]BS|[L/M]HG|[L/M]CA|[L]LU|[L/M]BU|[L/M]BZ|[L/M]LJ|[M]CG|[L/M]GR|[L]BY|[M]CI|[L]BR|[M]CH|[L/M]KS|[M]CD|[L/M]BP|[L/M]DM|[L/M]JR|[L/M]CB|[L]CI|[L/M]CM|[L]CD|[M]BW|[L/M]CP|[L/M]CO|[L]CH|[M]BT|[L]CL|[M]BX|[L/M]CQ|[L]CE|[M]BQ|[L/M]CJ|[L/M]CN|[M]BY|[L/M]CC|[L/M]CR|[L/M]CT|[L/M]CU|[L/M]CS|[L/M]CV|[L/M]CY|[L/M]CX|[L/M]CW|[L/M]CZ|[L/M]DB|[L/M]DD|[L/M]DH|[L/M]DG|[L/M]DF|[L/M]DE|[L/M]DC|[L/M]DK|[L/M]DI|[L/M]DA|[L/M]D|[L/M]B|
209|;1;0,609929078014184;0,281045751633987;0,730496453900709;0,403921568627451;6,30566811561585;262;179;141;141;141;[L/M]A|[L/M]C|[L/M]E|[L/M]DL|[L/M]HT|[L/M]Q|[L/M]DN|[L/M]HV|[L/M]S|[L/M]X|[M]II|[L/M]W|[L/M]EF|[L/M]U|[L/M]V|[L/M]Z|[M]IK|[L]II|[M]IN|[L/M]T|[M]IO|[L/M]AB|[M]IM|[L/M]AA|[M]IL|[L/M]EL|[M]IJ|[L]IK|[M]HW|[L/M]Y|[M]HU|[L/M]EM|[M]JQ|[L]IM|[M]KR|[L/M]R|[M]KT|[L]IO|[M]LI|[L/M]EG|[M]LT|[L]IN|[M]LK|[L/M]DO|[M]LO|[L/M]F|[M]LV|[L]IL|[M]LW|[L/M]FD|[L/M]AN|[M]LM|[L/M]FN|[M]KZ|[L]IJ|[M]LB|[L/M]FF|[M]LC|[L/M]AP|[L/M]FT|[L/M]FP|[M]LR|[L/M]BC|[L/M]FH|[L/M]FJ|[L/M]FV|[L/M]FW|[L]HW|[L/M]AR|[L/M]FR|[L/M]BE|[M]FL|[L/M]FS|[L/M]BJ|[L/M]FU|[M]FM|[L/M]BI|[L/M]BG|[L]HU|[L/M]FI|[L]FM|[L/M]BH|[L/M]BN|[L/M]AT|[L]FL|[L]JQ|[L/M]FQ|[L/M]FO|[L/M]FK|[L/M]AS|[L/M]BK|[L/M]BF|[L]KR|[L/M]AQ|[L/M]FG|[L]KT|[L]LI|[L/M]BD|[L/M]AO|[L/M]FE|[L]KZ|[L]LO|[L]LK|[L/M]BO|[L]LC|[L]LT|[L]LB|[L]LM|[L]LR|[L/M]DM|[L/M]LL|[L/M]LA|[L/M]LP|[L/M]KU|[L]LV|[L]LW|[L/M]BV|[L]BQ|[L]BX|[L]BW|[L]CA|[L/M]LU|[M]CE|[L/M]BZ|[L]BT|[M]CL|[L/M]BS|[M]CA|[L/M]BU|[L]BY|[M]CG|[L/M]LJ|[M]CI|[L]BR|[M]CH|[L/M]KS|[M]CD|[L/M]BP|[L/M]JR|[L/M]CB|[L/M]CM|[L]CI|[M]BW|[L/M]CQ|[L/M]CP|[L]CD|[L/M]CO|[L]CH|[M]BT|[L]CK|[M]BR|[L/M]CN|[M]BX|[L]CJ|[M]BQ|[L]CE|[M]BY|[L/M]CC|[L/M]CR|[L/M]CT|[L/M]CU|[L/M]CS|[L/M]CV|[L/M]CY|[L/M]CX|[L/M]CW|[L/M]CZ|[L/M]DD|[L/M]DH|[L/M]DG|[L/M]DB|[L/M]DF|[L/M]DJ|[L/M]DE|[L/M]DC|[L/M]DI|[L/M]DA|[L/M]D|[L/M]B|
