Result of replaying M2.tpn on Process 13 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"instance_185",1,Yes,"13,753.00","27.00","374.00","52.00","4,646.00","0.80","0.60","67.00","0.63","52.00","5,846.00",[M-REAL]A|[M-REAL]C|[L]S|[L]R|[L]R|[L/M]E|[M-REAL]G|[L/M]K|[L/M]Q|[L/M]L|[L/M]J|[L/M]R|[L]R|[L]R|[L]Q|[L/M]S|[M-REAL]I|[L/M]H|[M-REAL]Q|[L]S|[L]I|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L]Q|[L]G|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L]A|[L]Q|[L]C|[L/M]S|[L/M]Q|[M-REAL]R|[L]Q|[L]S|[L/M]S|[L/M]Q|[L/M]R|[L]R|[L/M]S|[L]M|[L/M]Q|[L/M]P|[M-REAL]M|[L/M]R|[M-REAL]t17t5|[L]Q|[L]S|[L/M]F|[L/M]D|[L/M]B
2,"instance_249",1,Yes,"13,591.00","22.00","403.00","43.00","4,435.00","0.76","0.62","58.00","0.72","43.00","5,058.00",[L/M]A|[M-REAL]C|[M-REAL]E|[M-REAL]Q|[L/M]R|[L/M]S|[L/M]G|[L/M]I|[L/M]L|[L/M]K|[L]S|[L]Q|[L/M]J|[L/M]N|[L/M]M|[L]E|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[L]Q|[L]C|[L/M]S|[L/M]Q|[L]R|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[M-REAL]Q|[L/M]R|[L/M]S|[L]S|[L]F|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[L]B|[L/M]S|[L]R|[L/M]Q|[L]Q|[L/M]R|[M-REAL]t17t5|[L/M]H|[M-REAL]F|[L/M]D|[M-REAL]B|[L]S
3,"instance_284",1,Yes,"9,445.00","17.00","283.00","40.00","2,762.00","0.78","0.69","55.00","0.80","40.00","3,676.00",[L]S|[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]K|[L/M]Q|[M-REAL]L|[L]B|[L/M]N|[L/M]R|[M-REAL]S|[L/M]I|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[L/M]S|[L]S|[L/M]Q|[L]D|[L]R|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]J|[L/M]H|[L]Q|[L/M]M|[L/M]S|[M-REAL]Q|[L]J|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]t17t5|[L/M]F|[M-REAL]D|[M-REAL]B|[L]L
4,"instance_130",1,Yes,"9,877.00","19.00","273.00","34.00","3,104.00","0.71","0.61","49.00","0.74","34.00","3,586.00",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[L/M]Q|[L/M]R|[L/M]O|[M-REAL]S|[L/M]Q|[M-REAL]G|[L/M]J|[L/M]R|[L/M]M|[L/M]S|[M-REAL]Q|[L/M]R|[L]H|[L]R|[L]R|[L/M]S|[L/M]Q|[L]Q|[L/M]R|[L]S|[L/M]I|[L/M]S|[M-REAL]Q|[L]B|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]t17t5|[M-REAL]K|[M-REAL]H|[L]G|[L/M]F|[L/M]D|[M-REAL]B|[L]K|[L]Q
5,"instance_370",1,Yes,"11,737.00","20.00","276.00","34.00","3,644.00","0.72","0.59","49.00","0.68","34.00","4,400.00",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[M-REAL]Q|[L/M]R|[L/M]S|[L]H|[L/M]Q|[M-REAL]N|[L/M]M|[M-REAL]G|[L/M]J|[L/M]I|[M-REAL]R|[L]G|[L/M]S|[L]B|[L/M]Q|[L]Q|[L/M]R|[L/M]S|[L/M]Q|[L]S|[L/M]R|[M-REAL]S|[L/M]Q|[L]Q|[L/M]R|[L/M]S|[L]O|[L]R|[L]R|[L/M]K|[M-REAL]H|[L/M]Q|[L/M]R|[M-REAL]t17t5|[L]D|[L/M]F|[M-REAL]D|[M-REAL]B|[L]S
6,"instance_183",1,Yes,"9,016.00","21.00","264.00","34.00","2,995.00","0.72","0.57","49.00","0.62","34.00","3,485.00",[L]P|[L/M]A|[L/M]C|[M-REAL]E|[L/M]Q|[L/M]G|[L]Q|[L]S|[L/M]L|[L]R|[L/M]I|[M-REAL]N|[L/M]M|[L]H|[L]F|[L/M]R|[L]R|[L/M]J|[M-REAL]S|[L/M]Q|[L/M]R|[L]S|[L]E|[L/M]S|[M-REAL]Q|[L/M]R|[L/M]K|[L]Q|[L/M]S|[M-REAL]H|[L]R|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]t17t5|[M-REAL]F|[L]Q|[L]S|[L/M]D|[L/M]B
7,"instance_211",1,Yes,"5,377.00","15.00","181.00","34.00","1,563.00","0.77","0.69","49.00","0.79","34.00","2,217.00",[L/M]A|[L/M]C|[M-REAL]E|[L]S|[L]F|[L/M]G|[L/M]L|[L/M]Q|[L/M]J|[L/M]R|[L/M]K|[L/M]I|[L/M]N|[L]R|[L/M]M|[L/M]S|[L]S|[L/M]H|[L/M]Q|[M-REAL]R|[L/M]S|[L]S|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L]B|[L/M]R|[M-REAL]t17t5|[M-REAL]F|[L/M]D|[M-REAL]B|[L]E
8,"instance_146",1,Yes,"6,685.00","22.00","192.00","28.00","2,337.00","0.59","0.49","43.00","0.68","28.00","2,705.00",[M-REAL]A|[M-REAL]C|[M-REAL]E|[L/M]Q|[L/M]R|[L]C|[L/M]S|[M-REAL]L|[L/M]O|[L/M]G|[L]B|[L/M]J|[L/M]Q|[L]Q|[L/M]M|[M-REAL]R|[L]A|[L]H|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[L]D|[L/M]Q|[L]E|[L/M]K|[L/M]R|[L/M]S|[M-REAL]Q|[L/M]R|[L/M]S|[M-REAL]Q|[L]F|[L/M]I|[M-REAL]H|[L/M]R|[M-REAL]t17t5|[M-REAL]F|[M-REAL]D|[M-REAL]B|[L]L
9,"instance_449",1,Yes,"8,531.00","17.00","254.00","34.00","2,561.00","0.79","0.65","49.00","0.68","34.00","3,112.00",[L/M]A|[L/M]C|[L/M]E|[L/M]Q|[L/M]G|[L/M]R|[L]B|[L/M]S|[L/M]K|[L]S|[L/M]I|[L/M]Q|[M-REAL]J|[L]Q|[L/M]H|[M-REAL]R|[L/M]S|[L/M]Q|[L]R|[L/M]R|[M-REAL]L|[M-REAL]N|[L/M]M|[L]Q|[L]P|[L]J|[L/M]S|[L/M]Q|[L]S|[L]R|[L]R|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]t17t5|[L/M]F|[L/M]D|[M-REAL]B|[L]L
10,"instance_11",1,Yes,"6,662.00","20.00","206.00","31.00","2,141.00","0.69","0.57","46.00","0.65","31.00","2,753.00",[M-REAL]A|[L/M]C|[M-REAL]E|[L]M|[L]R|[L/M]G|[L/M]Q|[L]S|[L/M]K|[L]D|[L/M]I|[L/M]R|[M-REAL]L|[L/M]P|[M-REAL]M|[L/M]J|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]H|[L]R|[L/M]S|[L/M]Q|[M-REAL]R|[L]Q|[L]E|[L/M]S|[L/M]Q|[L]A|[L]L|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]t17t5|[L/M]F|[M-REAL]D|[L]S|[L]R|[L/M]B
11,"instance_499",1,Yes,"9,218.00","17.00","195.00","34.00","2,762.00","0.79","0.65","49.00","0.68","34.00","3,372.00",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[L/M]Q|[L/M]R|[M-REAL]G|[L/M]K|[L/M]S|[L/M]O|[L]R|[L/M]Q|[L]Q|[L]F|[L/M]R|[M-REAL]S|[L]H|[L/M]Q|[L]G|[L/M]R|[L/M]S|[L]D|[L/M]Q|[L]Q|[L/M]R|[L]S|[L]S|[L/M]S|[L/M]Q|[L/M]M|[L]S|[L/M]J|[L/M]I|[M-REAL]H|[L/M]R|[M-REAL]t17t5|[M-REAL]F|[M-REAL]D|[L/M]B|[L]R
