Result of replaying M4.tpn on Process 3 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"instance_83|instance_314",2,Yes,"47.00","4.00","1.00","11.00","18.00","0.77","0.81","21.00","0.91","11.00","48.00",[L/M]A|[L/M]C|[L/M]AA|[M-REAL]t26t28|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L]AB|[L/M]AD|[M-REAL]t29t27|[M-REAL]AB|[L/M]D|[L/M]B
2,"instance_128|instance_454",2,Yes,"32.00","4.00","1.00","8.00","12.00","0.70","0.78","18.00","0.88","8.00","32.00",[L]AD|[L/M]A|[L/M]C|[L/M]AA|[M-REAL]t26t28|[L/M]AC|[M-REAL]AD|[M-REAL]t29t27|[L/M]AB|[L/M]D|[L/M]B
3,"instance_389|instance_378",2,Yes,"32.00","4.00","0.00","8.00","12.00","0.70","0.78","18.00","0.88","8.00","32.00",[L/M]A|[L/M]C|[L/M]AA|[M-REAL]t26t28|[L]AD|[L/M]AC|[M-REAL]AD|[M-REAL]t29t27|[L/M]AB|[L/M]D|[L/M]B
4,"instance_407|instance_0",2,Yes,"32.00","2.00","0.00","8.00","11.00","0.80","0.89","18.00","1.00","8.00","33.00",[L/M]A|[L/M]C|[L/M]AA|[M-REAL]t26t28|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[L/M]AB|[L/M]D|[L/M]B
5,"instance_380",1,Yes,"6,922.00","144.00","584.00","176.00","5,565.00","0.67","0.23","186.00","0.36","176.00","5,724.00",[L/M]A|[M-REAL]C|[L/M]AA|[M-REAL]t26t31|[L/M]AF|[M-REAL]AH|[L/M]AG|[M-REAL]t32t27|[M-REAL]AB|[L]H|[L]L|[L]AO|[L/M]D|[L/M]AK|[L/M]AN|[M-REAL]AL|[L/M]AO|[L]AO|[L/M]AR|[L/M]AP|[L/M]C|[M-REAL]t2t4|[L]AA|[L]O|[L]AF|[L]AP|[L]M|[L]AI|[L]S|[L]AB|[L]AB|[L]AN|[L]G|[L]AL|[L]G|[L]C|[L]AQ|[L/M]E|[M-REAL]t4t6|[L]AL|[L]AF|[L]AI|[L]AH|[L]L|[L/M]G|[M-REAL]I|[L]F|[L]H|[L/M]H|[M-REAL]t7t5|[L/M]F|[L/M]W|[L]Y|[L]X|[L]Z|[L]I|[L]E|[L]G|[L]I|[L]AC|[L]L|[L]AL|[L/M]Z|[L]J|[L]C|[L]AL|[L]D|[L]I|[L]Z|[L]J|[L]AH|[L]R|[L/M]Y|[L/M]X|[M-REAL]E|[M-REAL]M|[L]G|[L]AG|[L/M]O|[L/M]N|[M-REAL]F|[M-REAL]t5t3|[L]G|[L/M]D|[L/M]AK|[L/M]AM|[M-REAL]AL|[L]H|[L/M]AO|[L/M]AR|[L]D|[L]C|[L/M]AP|[M-REAL]C|[M-REAL]AA|[M-REAL]t26t28|[L]P|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[L/M]AB|[M-REAL]D|[L/M]AK|[L]F|[L/M]AN|[L]W|[L/M]AL|[L]D|[L]E|[L]AP|[L]F|[L]AP|[L]E|[L]F|[L]AQ|[L]AE|[L]AF|[L]AG|[L]AB|[L]T|[L]AN|[L]AK|[L]AC|[L/M]AO|[L/M]AQ|[L]M|[L/M]AP|[L/M]C|[M-REAL]t2t4|[L]W|[L]E|[L]U|[L]AK|[L]AN|[L]Y|[L]X|[L/M]E|[L/M]M|[M-REAL]O|[L]AD|[L/M]N|[L/M]F|[L/M]W|[L/M]Y|[L/M]Z|[L/M]X|[L/M]E|[M-REAL]t4t6|[L]F|[L]J|[L/M]G|[L]L|[L]AN|[L/M]I|[L/M]H|[M-REAL]t7t5|[M-REAL]F|[M-REAL]t5t3|[L]L|[L]AR|[L]W|[L]H|[L/M]D|[L/M]AK|[M-REAL]AM|[L]G|[L/M]AL|[L/M]AO|[L/M]AQ|[M-REAL]AP|[M-REAL]C|[L/M]AA|[M-REAL]t26t28|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[L]AE|[L]C|[L]H|[L]H|[L]AP|[L]AJ|[L/M]AB|[L]D|[L]F|[L]AL|[L]AO|[L]Z|[L]K|[L]AG|[L]AA|[L]AA|[L]R|[L]S|[L]AK|[L]C|[L]Y|[L]AD|[L]X|[L]E|[L]C|[L]N|[L/M]D|[L/M]B
6,"instance_102",1,Yes,"6,573.00","152.00","556.00","168.00","5,512.00","0.62","0.15","178.00","0.24","168.00","5,667.00",[L/M]A|[L]F|[L]N|[L]AA|[L]AC|[L]AD|[L]AL|[L]D|[L]O|[L]AK|[L]AB|[L]AL|[L]AE|[L]AO|[L]D|[L]N|[L]AL|[L]AO|[L/M]C|[M-REAL]t2t4|[L]AQ|[L]AR|[L]AC|[L]I|[L]S|[L]H|[L]M|[L]W|[L]AK|[L]Z|[L]Z|[L/M]E|[L]AO|[L/M]R|[M-REAL]T|[M-REAL]S|[L]AK|[L]AP|[L]AL|[L/M]F|[L/M]W|[L]AQ|[L/M]Z|[M-REAL]Y|[L/M]X|[L]AO|[L]E|[L/M]E|[L/M]M|[L/M]P|[M-REAL]N|[L]D|[L]F|[L]S|[L]AA|[L]X|[L]X|[L]R|[L]V|[L/M]F|[L]D|[L/M]W|[M-REAL]Z|[L]AN|[L]AL|[L/M]Y|[M-REAL]X|[M-REAL]E|[L/M]M|[L]AD|[L]AQ|[L]AC|[L]C|[L]C|[L]E|[L]G|[L/M]P|[L/M]N|[L/M]F|[M-REAL]W|[L]AG|[L]X|[L]X|[L/M]Y|[L]AL|[L/M]Z|[M-REAL]X|[L]E|[L/M]E|[M-REAL]M|[L]AQ|[L]AM|[L/M]O|[M-REAL]N|[L]AK|[L]F|[L]M|[L]AO|[L]Y|[L]E|[L]X|[L]E|[L/M]F|[L]W|[L]F|[L]H|[L]F|[L/M]W|[L]Y|[L]AP|[L/M]Z|[L]AR|[L]AA|[L]D|[L]AK|[L]AL|[L]AB|[L]C|[L]AB|[L]Y|[L]AA|[L]AD|[L]AE|[L]AC|[L]AB|[L]AM|[L]AK|[L/M]Y|[L]AB|[L]AP|[L]C|[L/M]X|[M-REAL]E|[L]AC|[L]AD|[L]AK|[L]D|[L/M]M|[M-REAL]O|[L]U|[L/M]N|[L]AP|[L]Z|[L/M]F|[M-REAL]t5t3|[M-REAL]D|[M-REAL]AK|[L]AP|[L]C|[L]E|[L]M|[L]N|[L]B|[L]W|[L]Y|[L]E|[L]W|[L]AM|[L]J|[L]C|[L/M]AN|[M-REAL]AL|[L/M]AO|[L]O|[L/M]AR|[L/M]AP|[L]P|[L]AH|[L]AF|[L]D|[L]Z|[L]AC|[L]D|[L]G|[L/M]C|[L/M]AA|[M-REAL]t26t28|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L]AP|[L]AD|[L]AN|[L/M]AD|[M-REAL]t29t27|[M-REAL]AB|[M-REAL]D|[M-REAL]B|[L]AO|[L]N|[L]AN
7,"instance_413",1,Yes,"6,151.00","117.00","462.00","156.00","4,715.00","0.73","0.30","166.00","0.39","156.00","4,892.00",[L/M]A|[L/M]C|[M-REAL]t2t4|[L/M]E|[M-REAL]M|[L]X|[L]AD|[L]AH|[L]AG|[L]G|[L]AB|[L]D|[L]AK|[L]AL|[L/M]Q|[L/M]N|[L]E|[L]M|[L]AQ|[L]N|[L/M]F|[M-REAL]W|[L]AK|[L/M]Y|[L/M]Z|[L/M]X|[L/M]E|[L/M]R|[M-REAL]T|[L]N|[L]Z|[L/M]S|[L/M]F|[L/M]W|[L]AL|[L/M]Y|[L/M]Z|[L/M]X|[L/M]E|[M-REAL]t4t6|[L/M]G|[L]AG|[L]AP|[L]AC|[L]G|[L/M]K|[L]AB|[L/M]H|[L]D|[L]P|[L]AL|[L]AK|[L]D|[L]AL|[L]AO|[L]W|[L]D|[L]AP|[L]C|[L]I|[L]X|[L/M]L|[M-REAL]G|[L]AF|[L]F|[L/M]I|[L/M]H|[L/M]L|[L/M]G|[L/M]I|[L/M]H|[M-REAL]t7t5|[L/M]F|[M-REAL]W|[M-REAL]Z|[L/M]Y|[L/M]X|[L/M]E|[L]G|[L/M]M|[M-REAL]O|[L]AR|[L/M]N|[L/M]F|[L]C|[L/M]W|[L/M]Y|[M-REAL]Z|[L]AP|[L/M]X|[L/M]E|[M-REAL]t4t6|[M-REAL]G|[L/M]J|[L/M]H|[M-REAL]t7t5|[L/M]F|[L]D|[L/M]W|[L]AM|[L/M]Y|[L]AR|[L]AL|[L]M|[L]O|[L]W|[L]C|[L]AQ|[L]D|[L/M]Z|[M-REAL]X|[L]AP|[L]AF|[L]AA|[L]F|[L]U|[L]S|[L]AK|[L]AM|[L]AR|[L]M|[L]AO|[L/M]E|[L]Q|[L]S|[L]I|[L/M]R|[L]W|[L]L|[L]AN|[L]AO|[L]H|[L]AP|[L]F|[L]C|[L]E|[L]AO|[L]AN|[L/M]T|[M-REAL]S|[L]E|[L]R|[L/M]F|[M-REAL]t5t3|[M-REAL]D|[L]H|[L/M]AK|[L/M]AM|[M-REAL]AL|[L]E|[L]AA|[L/M]AO|[L/M]AQ|[L/M]AP|[L/M]C|[L]F|[L]Y|[L]AI|[L]AL|[L]D|[L]AK|[L]Z|[L]G|[L]AO|[L]Z|[L/M]AA|[M-REAL]t26t31|[L]C|[L]T|[L]AJ|[L/M]AF|[L/M]AH|[L/M]AG|[M-REAL]t32t27|[L/M]AB|[M-REAL]D|[L]AN|[L/M]B
8,"instance_188",1,Yes,"5,345.00","108.00","445.00","137.00","4,150.00","0.67","0.27","147.00","0.41","137.00","4,286.00",[L]AK|[L]G|[L/M]A|[L]W|[L/M]C|[L/M]AA|[M-REAL]t26t31|[L/M]AF|[L/M]AH|[L]E|[L/M]AG|[M-REAL]t32t27|[L/M]AB|[L]Z|[L/M]D|[M-REAL]AK|[L]AO|[L]J|[L/M]AM|[M-REAL]AL|[M-REAL]AO|[L]W|[L]AK|[L]M|[L/M]AQ|[M-REAL]AP|[L]X|[L]H|[L/M]C|[M-REAL]t2t4|[L/M]E|[M-REAL]M|[L]Z|[L]X|[L/M]Q|[L/M]N|[L/M]F|[L]Y|[L/M]W|[L]Y|[L/M]Y|[L/M]Z|[L/M]X|[L/M]E|[M-REAL]R|[L]AE|[L/M]U|[M-REAL]S|[L/M]F|[L/M]W|[L]E|[L/M]Y|[M-REAL]Z|[L/M]X|[L/M]E|[L]E|[L]K|[L]H|[L]H|[L]AA|[L]D|[L]Z|[L]AC|[L]H|[L]H|[L]AN|[L/M]R|[L]Z|[L/M]T|[M-REAL]S|[L]AP|[L]C|[L]E|[L]AC|[L]AD|[L]AO|[L]R|[L]AD|[L]AE|[L]M|[L]AB|[L/M]F|[M-REAL]t5t3|[L/M]D|[L/M]AK|[L/M]AM|[L]AL|[L/M]AL|[M-REAL]AO|[M-REAL]AQ|[L/M]AP|[L]X|[L/M]C|[M-REAL]t2t4|[L/M]E|[L/M]R|[M-REAL]T|[L/M]S|[L]AQ|[L/M]F|[M-REAL]W|[L/M]Z|[L/M]Y|[L]W|[L/M]X|[M-REAL]E|[M-REAL]t4t6|[L]AL|[L]AC|[L]W|[L]J|[L]N|[L]W|[L/M]G|[L]F|[L]Y|[L/M]J|[L]T|[L/M]H|[L]F|[L]N|[L]X|[L]G|[L]G|[L/M]L|[M-REAL]G|[L/M]I|[L]L|[L]AR|[L]L|[L]M|[L/M]H|[M-REAL]t7t5|[L]Z|[L]O|[L]F|[L]AO|[L]X|[L]E|[L]J|[L]AP|[L]Y|[L/M]F|[L]AD|[L]G|[L]Y|[L/M]W|[L]G|[L]F|[L]S|[L]S|[L/M]Z|[M-REAL]Y|[M-REAL]X|[L/M]E|[M-REAL]M|[L]J|[L]G|[L/M]Q|[M-REAL]N|[L/M]F|[M-REAL]t5t3|[L/M]D|[L/M]B
9,"instance_71",1,Yes,"4,784.00","103.00","429.00","125.00","3,783.00","0.70","0.24","135.00","0.30","125.00","3,925.00",[M-REAL]A|[L/M]C|[M-REAL]t2t4|[L]AB|[L/M]E|[M-REAL]M|[M-REAL]O|[M-REAL]N|[L]D|[L]AB|[L/M]F|[L/M]W|[L]C|[L/M]Y|[L/M]Z|[L/M]X|[L/M]E|[M-REAL]t4t6|[L]G|[L]AC|[L]H|[L]Y|[L]K|[L]F|[L]W|[L]F|[L/M]G|[L]E|[L]G|[L/M]K|[L]F|[L]S|[L/M]H|[L/M]L|[L]AO|[L/M]G|[L/M]K|[L]AR|[L/M]H|[L/M]L|[L]AL|[L]W|[L]K|[L]AP|[L]H|[L]R|[L]F|[L]D|[L]AL|[L]Z|[L]AM|[L]AR|[L]H|[L]AC|[L]U|[L]AP|[L]AA|[L]AE|[L]AD|[L]AE|[L]AC|[L]K|[L]AL|[L]AM|[L]AD|[L]AK|[L]D|[L]AK|[L]AM|[L]R|[L]Y|[L]H|[L]AR|[L]Y|[L]AD|[L/M]G|[L]C|[L]X|[L]AA|[L/M]I|[L]X|[L]D|[L]G|[L]L|[L/M]H|[M-REAL]t7t5|[L/M]F|[L/M]W|[L]A|[L/M]Z|[M-REAL]Y|[L/M]X|[L]E|[L]Y|[L]G|[L]B|[L]AE|[L]E|[L/M]E|[L/M]M|[L/M]Q|[L/M]N|[L]AD|[L]AC|[L]C|[L]Z|[L/M]F|[M-REAL]t5t3|[L]X|[L]E|[L]S|[L]AO|[L]AL|[L]Z|[L/M]D|[L/M]AK|[L/M]AN|[M-REAL]AL|[L]AC|[L]AH|[L/M]AO|[L/M]AQ|[L/M]AP|[L/M]C|[L/M]AA|[M-REAL]t26t31|[L/M]AF|[M-REAL]AH|[L]AK|[L]AB|[L]AD|[L/M]AG|[M-REAL]t32t27|[M-REAL]AB|[M-REAL]D|[M-REAL]B|[L]K|[L]AO|[L]AP|[L]W|[L]U
10,"instance_36",1,Yes,"4,023.00","90.00","344.00","107.00","3,085.00","0.63","0.23","117.00","0.38","107.00","3,229.00",[L/M]A|[L/M]C|[M-REAL]t2t4|[L/M]E|[L/M]M|[L]AC|[L]AN|[L/M]P|[L]AF|[L/M]N|[M-REAL]F|[M-REAL]t5t3|[L/M]D|[L/M]AK|[L]AD|[L]AG|[L]AI|[L]AR|[L]AQ|[L]AP|[L]AH|[L]AA|[L]AF|[L]C|[L]AG|[L]AB|[L]D|[L]W|[L/M]AN|[L/M]AL|[L]AO|[L/M]AO|[L]AP|[L]AB|[L]AL|[L]AA|[L]AI|[L]AN|[L]D|[L]AB|[L]AK|[L]AK|[L]AF|[L/M]AR|[L]AM|[L]Z|[L/M]AP|[M-REAL]C|[L/M]AA|[M-REAL]t26t31|[M-REAL]AF|[L]AR|[L/M]AH|[L/M]AG|[M-REAL]t32t27|[L/M]AB|[M-REAL]D|[L]AB|[L/M]AK|[L]C|[L]AA|[L]P|[L/M]AN|[M-REAL]AL|[L]AC|[L/M]AO|[M-REAL]AQ|[L/M]AP|[L]R|[L/M]C|[M-REAL]t2t4|[L/M]E|[M-REAL]R|[L]B|[L]AF|[L/M]U|[L/M]S|[L/M]F|[M-REAL]W|[M-REAL]Z|[M-REAL]Y|[L]AK|[L/M]X|[L/M]E|[L/M]M|[M-REAL]O|[L/M]N|[L]AK|[L/M]F|[M-REAL]t5t3|[L/M]D|[M-REAL]AK|[L]AL|[L/M]AM|[L/M]AL|[L]AO|[L]AQ|[L]AA|[L]AN|[L]D|[L]C|[L]D|[L]D|[L]AR|[L/M]AO|[L]AL|[L/M]AQ|[L]C|[L]AP|[L]C|[L]AP|[L]AD|[L]AO|[L]D|[L]AK|[L]Y|[L]AL|[L]AO|[L/M]AP|[L]AL|[L/M]C|[L/M]AA|[M-REAL]t26t31|[M-REAL]AF|[M-REAL]AH|[L/M]AG|[M-REAL]t32t27|[L/M]AB|[M-REAL]D|[M-REAL]B|[L]F
