Result of replaying ML1.tpn on Process 11 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"instance_117|instance_327",2,Yes,"43.00","0.00","0.00","12.00","13.00","1.00","1.00","23.00","1.00","12.00","41.00",[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]F|[L/M]D|[L/M]Q|[L/M]V|[L/M]X|[L/M]W|[L/M]U|[L/M]B
2,"instance_444",1,Yes,"4,612.00","66.00","238.00","123.00","2,945.00","0.78","0.51","134.00","0.65","123.00","3,122.00",[L/M]A|[L]R|[L]R|[L/M]C|[L/M]E|[L/M]I|[L/M]F|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L/M]O|[L/M]P|[M-REAL]D|[M-REAL]t3t16|[L]O|[L]C|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L/M]O|[L/M]P|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[L/M]S|[L]Q|[L]I|[L/M]Q|[L]Q|[L]S|[L/M]R|[L]K|[L]D|[L/M]S|[L/M]Q|[L]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L/M]E|[L/M]G|[L]K|[L/M]F|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[L/M]S|[L]M|[L]R|[L]C|[L/M]Q|[L]P|[L]D|[L]Q|[L/M]R|[L]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L/M]O|[L/M]P|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L]M|[L]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L]R|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]t17t2|[L/M]C|[L/M]O|[L/M]N|[L/M]M|[L/M]L|[L/M]K|[L/M]D|[M-REAL]t3t16|[M-REAL]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[M-REAL]E|[L]O|[L/M]I|[L/M]F|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[M-REAL]S|[L]D|[L]C|[L]O|[L/M]Q|[L/M]R|[L]L|[L]N|[L]D|[L]S|[L]D|[L/M]S|[L]C|[L]E|[L]N|[L]S|[L]L|[L]K|[L]N|[L/M]Q|[L]E|[L]W|[L]F|[L]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L/M]O|[M-REAL]N|[L/M]M|[L/M]L|[M-REAL]K|[L/M]D|[L/M]Q|[L/M]V|[L/M]X|[M-REAL]W|[L]R|[L/M]U|[L/M]B
3,"instance_307",1,Yes,"3,777.00","67.00","188.00","115.00","2,452.00","0.79","0.47","126.00","0.57","115.00","2,698.00",[M-REAL]A|[L]Q|[L]O|[L]Q|[L]E|[L]R|[L]M|[L]K|[L]D|[L]D|[L]R|[L]L|[L/M]C|[M-REAL]O|[L]Q|[L/M]P|[L]Q|[L/M]D|[M-REAL]t3t16|[L/M]Q|[M-REAL]R|[L]D|[L]C|[L/M]S|[L]G|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[L]C|[L/M]Q|[L/M]R|[M-REAL]t17t2|[M-REAL]C|[M-REAL]O|[L/M]M|[L/M]L|[L/M]N|[L/M]K|[L/M]D|[M-REAL]t3t16|[M-REAL]Q|[L]O|[L/M]R|[L/M]S|[L/M]Q|[L]R|[L]C|[L]O|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L]Q|[L/M]R|[L/M]S|[M-REAL]Q|[L]D|[L]S|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L]P|[L]E|[L]H|[L]F|[L]R|[L]C|[L/M]C|[L/M]E|[L/M]I|[L/M]F|[L/M]D|[M-REAL]t3t16|[L]R|[L]C|[L]E|[L]F|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L]Q|[L]S|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L]O|[L]P|[L]D|[L/M]Q|[L]A|[L]Q|[L]N|[L]C|[L]Q|[L]F|[L]R|[L]D|[L]O|[L]C|[L/M]R|[M-REAL]S|[L]G|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L/M]E|[L/M]H|[L/M]F|[L/M]D|[M-REAL]Q|[L/M]V|[L/M]Y|[L/M]W|[L/M]U|[L/M]B
4,"instance_167",1,Yes,"3,554.00","65.00","190.00","107.00","2,441.00","0.77","0.45","118.00","0.56","107.00","2,591.00",[L/M]A|[L]AC|[L/M]C|[L/M]O|[L/M]N|[L]K|[L]Q|[L/M]M|[L/M]L|[M-REAL]K|[L/M]D|[M-REAL]t3t16|[L/M]Q|[M-REAL]R|[L]AE|[L/M]S|[L/M]Q|[L]P|[L]D|[L]Z|[L]AE|[L]Z|[L/M]R|[M-REAL]t17t2|[L]S|[L]D|[L/M]C|[L/M]E|[L]C|[L/M]G|[L/M]F|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L]Z|[L/M]C|[L/M]O|[L/M]P|[L/M]D|[M-REAL]t3t16|[L]C|[L/M]Q|[L]D|[L]Q|[L/M]R|[L/M]S|[M-REAL]Q|[L]S|[L]C|[L]R|[L]O|[L]AA|[L]D|[L]AC|[L]AD|[L]AE|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[M-REAL]t17t2|[M-REAL]C|[L]Q|[L]O|[L/M]O|[L/M]M|[L]I|[L/M]N|[L/M]L|[L]Q|[L]R|[L]E|[L]H|[L]F|[L/M]K|[M-REAL]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[L]C|[L]E|[L/M]S|[L]F|[L]R|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[M-REAL]O|[L/M]P|[L/M]D|[L/M]Q|[M-REAL]t19t25|[L]AE|[L]AA|[L/M]Z|[L/M]AD|[L/M]AA|[L/M]AE|[L/M]Z|[L]S|[L]AA|[L]R|[L]Z|[L]Q|[L]AA|[L/M]AC|[L/M]AA|[L]AB|[L]R|[L/M]AE|[L/M]Z|[L/M]AD|[L/M]AA|[M-REAL]t26t20|[L/M]U|[L/M]B
5,"instance_303",1,Yes,"3,409.00","71.00","170.00","100.00","2,382.00","0.73","0.36","111.00","0.46","100.00","2,541.00",[M-REAL]A|[L/M]C|[L]P|[L]D|[L]D|[L]Q|[L]D|[L]R|[L/M]O|[L]L|[L/M]P|[L]Q|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L]Q|[L]C|[L/M]R|[M-REAL]t17t2|[M-REAL]C|[L]Q|[L/M]O|[L/M]M|[L/M]N|[L/M]L|[M-REAL]K|[L]G|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[M-REAL]O|[L/M]M|[L]R|[L]C|[L]P|[L]M|[L/M]L|[L/M]N|[L/M]K|[M-REAL]D|[M-REAL]t3t16|[L]AE|[L]C|[L]O|[L]C|[L]Z|[L]R|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L/M]O|[L/M]M|[L]Q|[L/M]L|[L]K|[L]D|[L]O|[L]R|[L]C|[L]O|[L]Q|[L]O|[L/M]N|[L/M]K|[L/M]D|[M-REAL]t3t16|[M-REAL]Q|[L]C|[L]R|[L]K|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L]E|[L]K|[L]F|[L]D|[L]P|[L]R|[L]N|[L]O|[L]AA|[L]D|[L/M]O|[L/M]M|[L]S|[L]S|[L]Q|[L]A|[L]S|[L/M]L|[L]Q|[L/M]N|[M-REAL]K|[L]R|[L]Q|[L/M]D|[L/M]Q|[M-REAL]t19t25|[L]R|[L]AB|[L/M]Z|[L/M]AB|[L/M]AA|[M-REAL]t26t20|[L/M]U|[L/M]B
6,"instance_255",1,Yes,"2,776.00","60.00","143.00","94.00","1,976.00","0.72","0.43","105.00","0.59","94.00","2,115.00",[M-REAL]A|[M-REAL]C|[L]D|[L]R|[L]Z|[L]R|[L/M]E|[L]O|[L/M]G|[M-REAL]F|[L]AA|[L]AB|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L]AE|[L/M]C|[M-REAL]E|[L]Q|[L/M]G|[L/M]F|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L]Z|[L/M]C|[L]P|[L]D|[L/M]E|[M-REAL]G|[L]R|[L]C|[L]O|[L/M]F|[L/M]D|[M-REAL]t3t16|[L]C|[L/M]Q|[L/M]R|[L]E|[L]I|[L]P|[L]A|[L]R|[L]B|[L]Z|[L/M]S|[L/M]Q|[M-REAL]R|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]t17t2|[M-REAL]C|[L]AB|[L/M]E|[L/M]I|[L/M]F|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L/M]E|[L/M]I|[L/M]F|[L/M]D|[L/M]Q|[M-REAL]t19t25|[M-REAL]Z|[L]AE|[L/M]AC|[L/M]AA|[L]F|[L/M]AE|[L/M]Z|[L]AA|[L]AA|[L/M]AD|[L/M]AA|[L/M]AE|[L/M]Z|[L/M]AB|[L]AB|[L]AE|[L/M]AA|[L]C|[L/M]AE|[L/M]Z|[L/M]AD|[L/M]AA|[L/M]AE|[L/M]Z|[L]AA|[L]AE|[L]C|[L/M]AC|[L/M]AA|[L]AA|[L]Z|[L]AB|[L]Z|[L/M]AE|[L/M]Z|[L/M]AB|[M-REAL]AA|[M-REAL]t26t20|[L/M]U|[M-REAL]B|[L]Q
7,"instance_382",1,Yes,"3,377.00","67.00","198.00","98.00","2,329.00","0.76","0.39","109.00","0.46","98.00","2,474.00",[L/M]A|[L]E|[L]AA|[L/M]C|[L/M]O|[L]AE|[L/M]M|[L/M]L|[M-REAL]N|[L]P|[L/M]K|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L]D|[L]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[M-REAL]E|[L/M]I|[L/M]F|[L/M]D|[M-REAL]t3t16|[L]AD|[L]D|[L]C|[L/M]Q|[L]P|[L/M]R|[M-REAL]S|[L]Z|[L/M]Q|[L/M]R|[M-REAL]t17t2|[M-REAL]C|[L]AE|[L/M]O|[L/M]P|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[L]E|[L]Q|[L]G|[L]F|[L]O|[L/M]S|[L]O|[L]R|[L]C|[L/M]Q|[L]I|[L]AB|[L]D|[L/M]R|[M-REAL]t17t2|[L]C|[L]N|[L]C|[L]R|[L/M]C|[L/M]E|[L/M]I|[M-REAL]F|[L]O|[L]AB|[L/M]D|[L/M]Q|[M-REAL]t19t25|[L]R|[L]S|[L]R|[L]S|[L]F|[L]L|[L]Q|[L]M|[L]K|[L]AA|[L]Q|[L/M]Z|[L]R|[L]C|[L]D|[L/M]AC|[L/M]AA|[L/M]AE|[L]E|[L]Z|[L/M]Z|[L]Q|[L]D|[L]N|[L]AE|[L/M]AD|[L]AA|[L]C|[L]Z|[L]F|[L/M]AA|[L/M]AE|[L/M]Z|[L/M]AD|[L/M]AA|[M-REAL]t26t20|[L/M]U|[L/M]B
8,"instance_0",1,Yes,"2,587.00","47.00","133.00","87.00","1,697.00","0.73","0.52","98.00","0.74","87.00","1,839.00",[L/M]A|[L/M]C|[L/M]E|[M-REAL]G|[L]E|[L]S|[L/M]F|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L/M]O|[L/M]P|[L/M]D|[M-REAL]t3t16|[L]D|[L/M]Q|[L]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[M-REAL]O|[L/M]N|[L]B|[L]R|[L]R|[L/M]L|[M-REAL]M|[L/M]K|[L/M]D|[M-REAL]t3t16|[L]Q|[L/M]Q|[L/M]R|[L]I|[L]C|[L]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L]Q|[L/M]C|[M-REAL]E|[L/M]I|[L/M]F|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L]Q|[L/M]O|[L/M]P|[M-REAL]D|[M-REAL]t3t16|[L]M|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L/M]O|[L]S|[L/M]P|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[L]R|[L/M]S|[M-REAL]Q|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[L]Q|[L]D|[L/M]S|[L/M]Q|[L/M]R|[L]Q|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L]E|[L]G|[L]F|[L/M]R|[L/M]S|[M-REAL]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L/M]E|[L/M]G|[L/M]F|[L/M]D|[M-REAL]Q|[M-REAL]t19t25|[L/M]Z|[L/M]AB|[L/M]AA|[M-REAL]t26t20|[L/M]U|[M-REAL]B|[L]O
9,"instance_356",1,Yes,"3,127.00","48.00","150.00","88.00","1,932.00","0.74","0.52","99.00","0.69","88.00","2,085.00",[L/M]A|[L]I|[L/M]C|[L]R|[L/M]O|[L]D|[L/M]N|[L/M]L|[L/M]M|[L/M]K|[L/M]D|[M-REAL]t3t16|[L/M]Q|[M-REAL]R|[L]F|[L/M]S|[L]S|[L/M]Q|[L/M]R|[L]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[M-REAL]Q|[L]L|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]t17t2|[L/M]C|[L/M]O|[L/M]P|[L]Q|[L/M]D|[M-REAL]t3t16|[L]Z|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[L]C|[L]E|[L]F|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L/M]O|[M-REAL]L|[L]D|[L/M]M|[L/M]N|[L/M]K|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L/M]O|[L/M]P|[L/M]D|[M-REAL]t3t16|[L/M]Q|[M-REAL]R|[L]AA|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]t17t2|[L]Q|[L/M]C|[L/M]O|[L/M]P|[L/M]D|[M-REAL]t3t16|[L]R|[L]R|[L]R|[L]R|[L/M]Q|[L/M]R|[L/M]S|[L]R|[L]C|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L]O|[L]P|[L]Q|[L]AB|[L]Q|[L]S|[L/M]C|[L/M]E|[L/M]G|[M-REAL]F|[L/M]D|[L/M]Q|[M-REAL]V|[M-REAL]X|[M-REAL]W|[L/M]U|[L/M]B
10,"instance_238",1,Yes,"2,936.00","56.00","182.00","87.00","1,967.00","0.71","0.43","98.00","0.60","87.00","2,113.00",[L/M]A|[L]AA|[L/M]C|[L/M]E|[L/M]G|[M-REAL]F|[L]R|[L/M]D|[M-REAL]t3t16|[L/M]Q|[M-REAL]R|[L]F|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]t17t2|[L/M]C|[L]AA|[L]H|[L/M]O|[L/M]P|[L]C|[L]S|[L]E|[L]R|[L]C|[L]Q|[L]E|[L]F|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L]S|[L/M]Q|[L/M]R|[L/M]S|[L]C|[L]R|[L]D|[L/M]Q|[L]F|[L]F|[L/M]R|[M-REAL]S|[L]D|[L]O|[L/M]Q|[L/M]R|[M-REAL]S|[L]N|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]t17t2|[M-REAL]C|[L]E|[L/M]O|[M-REAL]N|[L/M]L|[L/M]M|[L]AE|[L/M]K|[L/M]D|[M-REAL]t3t16|[L/M]Q|[L/M]R|[M-REAL]S|[L]AC|[L]G|[L]G|[L]D|[L]U|[L]R|[L/M]Q|[L/M]R|[M-REAL]t17t2|[M-REAL]C|[M-REAL]O|[L]AA|[L/M]P|[L/M]D|[L/M]Q|[M-REAL]t19t25|[L/M]Z|[L/M]AC|[L/M]AA|[L]C|[L]Z|[L]C|[L/M]AE|[L/M]Z|[L/M]AD|[M-REAL]AA|[L/M]AE|[L/M]Z|[L/M]AB|[M-REAL]AA|[M-REAL]t26t20|[M-REAL]U|[L]Q|[L/M]B
