Result of replaying M1.tpn on Process 12 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost Lo","Decomposed Sync-Move Numerator","Raw Fitness Cost Hi","Sync-Move Fitness","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Decomposed Sync-Move Fitness","Decomposed Sync-Move Denominator","Raw Fitness Perc Hi","Raw Fitness Cost Max","Raw Fitness Perc Lo",Match
1,"instance_5|instance_149|instance_361|instance_1|instance_59|instance_338|instance_326|instance_416|instance_246|instance_164|instance_478",11,Yes,"0,00","10,00","0,00","1,00","0,00","7,00","80,00","1,00","10,00","1,00","112,00","1,00",[L/M]A|[L/M]C|[L/M]E|[M-INVI]t4t8|[L/M]I|[L/M]J|[M-INVI]t9t5|[L/M]F|[L/M]D|[L/M]B
2,"instance_174|instance_38|instance_166|instance_449|instance_224|instance_461|instance_347|instance_475|instance_26|instance_160",10,Yes,"0,00","8,00","0,00","1,00","0,00","7,00","80,00","1,00","8,00","1,00","112,00","1,00",[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[L/M]B
3,"instance_60|instance_45|instance_280|instance_23|instance_386|instance_228|instance_332",7,Yes,"0,00","9,00","0,00","1,00","0,00","6,00","90,00","1,00","9,00","1,00","122,00","1,00",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[L/M]O|[L/M]M|[L/M]F|[L/M]D|[L/M]B
4,"instance_295|instance_325|instance_339|instance_278",4,Yes,"14,00","7,00","14,00","0,78","14,00","3,00","80,00","0,78","9,00","0,88","112,00","0,88",[L/M]A|[M-REAL]C|[L/M]E|[L]C|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[L/M]B
5,"instance_194|instance_370|instance_53",3,Yes,"0,00","13,00","0,00","1,00","0,00","10,00","110,00","1,00","13,00","1,00","142,00","1,00",[L/M]A|[L/M]C|[L/M]E|[M-INVI]t4t8|[L/M]I|[L/M]J|[L/M]K|[L/M]I|[L/M]J|[M-INVI]t9t5|[L/M]F|[L/M]D|[L/M]B
6,"instance_192|instance_40|instance_212",3,Yes,"14,00","8,00","14,00","0,80","14,00","7,00","90,00","0,80","10,00","0,89","122,00","0,89",[L/M]A|[L/M]C|[L/M]E|[L]D|[L/M]L|[L/M]O|[L/M]M|[L/M]F|[M-REAL]D|[L/M]B
7,"instance_67|instance_79|instance_121",3,Yes,"0,00","9,00","0,00","1,00","0,00","8,00","90,00","1,00","9,00","1,00","122,00","1,00",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[L/M]N|[L/M]M|[L/M]F|[L/M]D|[L/M]B
8,"instance_176|instance_306|instance_340",3,Yes,"14,00","7,00","14,00","0,78","14,00","1,00","80,00","0,78","9,00","0,88","112,00","0,88",[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[M-REAL]D|[L/M]B|[L]D
9,"instance_393|instance_318",2,Yes,"14,00","9,00","14,00","0,82","14,00","2,00","80,00","0,82","11,00","0,88","112,00","0,88",[L/M]A|[L/M]C|[L/M]E|[M-INVI]t4t8|[L/M]I|[L/M]J|[M-INVI]t9t5|[M-REAL]F|[L/M]D|[L]F|[L/M]B
10,"instance_264|instance_122",2,Yes,"14,00","9,00","14,00","0,82","14,00","5,00","80,00","0,82","11,00","0,88","112,00","0,88",[L/M]A|[L/M]C|[L/M]E|[M-INVI]t4t8|[L/M]I|[M-REAL]J|[M-INVI]t9t5|[L/M]F|[L]J|[L/M]D|[L/M]B
11,"instance_187|instance_333",2,Yes,"28,00","6,00","28,00","0,60","28,00","2,00","80,00","0,60","10,00","0,75","112,00","0,75",[L/M]A|[L/M]C|[L/M]E|[L/M]G|[M-REAL]H|[M-REAL]F|[L/M]D|[L]F|[L]H|[L/M]B
12,"instance_282|instance_167",2,Yes,"28,00","6,00","28,00","0,60","28,00","1,00","80,00","0,60","10,00","0,75","112,00","0,75",[L/M]A|[L/M]C|[M-REAL]E|[L]B|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[M-REAL]B|[L]E
13,"instance_362|instance_16",2,Yes,"14,00","8,00","14,00","0,80","14,00","2,00","90,00","0,80","10,00","0,89","122,00","0,89",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[L/M]O|[L]B|[L/M]M|[L/M]F|[L/M]D|[M-REAL]B
