Result of replaying ML4.tpn on Process 7 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost Lo","Decomposed Sync-Move Numerator","Raw Fitness Cost Hi","Sync-Move Fitness","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Decomposed Sync-Move Fitness","Decomposed Sync-Move Denominator","Raw Fitness Perc Hi","Raw Fitness Cost Max","Raw Fitness Perc Lo",Match
1,"instance_295",1,Yes,"602,00","54,00","602,00","0,36","602,00","8.540,00","890,00","0,36","149,00","0,37","958,00","0,37",[M-REAL]A|[M-REAL]C|[M-REAL]E|[L/M]P|[L/M]G|[M-REAL]N|[M-REAL]H|[L]C|[L/M]R|[M-REAL]S|[M-REAL]Q|[L/M]AA|[L/M]AC|[L]Q|[L]E|[L/M]O|[L/M]I|[M-REAL]G|[L]Q|[L/M]H|[M-REAL]I|[M-REAL]G|[L]R|[L]T|[L]R|[L/M]H|[M-REAL]I|[L]X|[L]S|[L/M]G|[L]AD|[L/M]AD|[L/M]H|[M-REAL]I|[M-REAL]AE|[L]W|[L]Q|[L/M]G|[L/M]AB|[L/M]H|[L/M]P|[L]AE|[L]F|[L/M]R|[L]AC|[L/M]S|[L]AE|[L/M]Q|[M-REAL]AA|[M-REAL]AC|[M-REAL]AD|[L/M]AE|[L/M]AB|[L]AA|[L]AD|[L/M]P|[L/M]J|[L]Z|[L/M]T|[M-REAL]R|[M-REAL]I|[L/M]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]Q|[M-REAL]AA|[M-REAL]AE|[L/M]AC|[L/M]H|[L]AB|[L/M]M|[L/M]AD|[L/M]AB|[M-REAL]P|[M-REAL]R|[M-REAL]S|[M-REAL]Q|[M-REAL]I|[M-REAL]AA|[L/M]AD|[L/M]AC|[L]Q|[L/M]G|[M-REAL]H|[M-REAL]I|[L]D|[L]A|[L]S|[L/M]G|[M-REAL]H|[M-REAL]AE|[M-REAL]I|[L/M]G|[L]R|[L/M]H|[M-REAL]I|[L/M]AB|[L/M]G|[M-REAL]H|[M-REAL]I|[L]Q|[L/M]G|[L/M]P|[M-REAL]H|[L]B|[L/M]I|[M-REAL]G|[L]P|[L]Y|[L/M]H|[M-REAL]I|[M-REAL]G|[L]AE|[L]AE|[L/M]H|[M-REAL]I|[M-REAL]G|[L/M]H|[L]AA|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]H|[M-REAL]T|[L/M]R|[M-REAL]Q|[L]AA|[L/M]I|[M-REAL]G|[M-REAL]H|[L]P|[L]AC|[L]N|[L/M]I|[L]AA|[L/M]K|[M-REAL]G|[M-REAL]H|[M-INVI]t7t5|[M-REAL]F|[M-INVI]t16t3|[M-REAL]D|[M-REAL]B
2,"instance_250",1,Yes,"408,00","52,00","408,00","0,41","408,00","6.936,00","680,00","0,41","127,00","0,45","748,00","0,45",[M-REAL]A|[L]AC|[L/M]C|[L/M]P|[L/M]R|[M-REAL]E|[L/M]G|[M-REAL]H|[M-REAL]I|[L/M]G|[M-REAL]H|[M-REAL]I|[L/M]G|[M-REAL]H|[M-REAL]I|[L/M]S|[L/M]G|[L]O|[L/M]H|[M-REAL]I|[M-REAL]G|[M-REAL]Q|[L/M]H|[M-REAL]AA|[M-REAL]AC|[M-REAL]I|[M-REAL]G|[L/M]H|[M-REAL]I|[M-REAL]G|[M-REAL]AE|[L]K|[L/M]AD|[L/M]H|[L]D|[L/M]AB|[M-REAL]P|[M-REAL]T|[L]AA|[L]W|[L]AD|[L/M]R|[L/M]Q|[L/M]AA|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[M-REAL]G|[L]P|[L/M]H|[M-REAL]I|[M-REAL]G|[L]E|[L/M]H|[M-REAL]I|[M-REAL]G|[L/M]H|[M-REAL]I|[L/M]G|[L/M]H|[L/M]I|[L/M]AE|[L/M]G|[M-REAL]H|[M-REAL]I|[L/M]G|[M-REAL]H|[M-REAL]I|[L/M]G|[M-REAL]AC|[M-REAL]H|[L]X|[L/M]I|[M-REAL]G|[M-REAL]H|[M-REAL]AD|[L/M]J|[L/M]I|[M-REAL]G|[L]Z|[L/M]AB|[L/M]H|[L/M]I|[M-REAL]G|[M-REAL]H|[L]Q|[L/M]N|[L]AE|[L/M]I|[L/M]P|[L/M]G|[M-REAL]H|[M-REAL]I|[L/M]R|[L/M]G|[M-REAL]X|[M-REAL]Z|[M-REAL]H|[L/M]I|[M-REAL]G|[L/M]M|[L]AC|[L/M]H|[L/M]Y|[M-REAL]W|[M-REAL]I|[M-REAL]G|[L/M]H|[L]T|[L/M]Q|[M-REAL]O|[M-REAL]K|[L]B|[L/M]I|[M-REAL]G|[M-REAL]H|[M-INVI]t16t3|[M-INVI]t7t5|[L]A|[L/M]F|[M-REAL]D|[M-REAL]B|[L]G
3,"instance_453",1,Yes,"362,00","54,00","362,00","0,43","362,00","5.334,00","650,00","0,43","125,00","0,50","718,00","0,50",[M-REAL]A|[L]O|[L/M]C|[M-REAL]E|[M-REAL]G|[M-REAL]H|[L/M]I|[L/M]G|[L/M]H|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[M-REAL]G|[L/M]H|[M-REAL]I|[M-REAL]G|[L/M]J|[L/M]H|[M-REAL]I|[M-REAL]P|[M-REAL]R|[L/M]S|[L/M]G|[M-REAL]H|[M-REAL]I|[M-REAL]Q|[M-REAL]AA|[L]T|[L]A|[L/M]AD|[L/M]G|[L]K|[L]B|[L/M]H|[M-REAL]I|[L/M]G|[L/M]H|[M-REAL]I|[M-REAL]G|[L]P|[L/M]H|[M-REAL]I|[L]AA|[L/M]G|[M-REAL]H|[M-REAL]I|[L/M]AC|[L/M]G|[M-REAL]H|[M-REAL]AE|[L/M]AB|[M-REAL]I|[L/M]G|[M-REAL]H|[L]F|[L/M]I|[L/M]G|[M-REAL]H|[M-REAL]I|[L/M]G|[M-REAL]H|[L/M]P|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[L]Q|[L]E|[L/M]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]H|[L]AE|[L/M]I|[M-REAL]G|[L/M]M|[L/M]H|[M-REAL]I|[L/M]G|[L]R|[L/M]H|[M-REAL]I|[M-REAL]G|[L/M]H|[L/M]I|[L/M]G|[M-REAL]H|[L/M]I|[L/M]G|[L/M]N|[M-REAL]O|[L]D|[L/M]R|[L/M]H|[L/M]I|[M-REAL]G|[L/M]H|[M-REAL]I|[M-REAL]G|[L/M]H|[M-REAL]I|[M-REAL]G|[L/M]H|[M-REAL]I|[M-REAL]G|[L/M]H|[M-REAL]S|[M-REAL]K|[L/M]Q|[M-REAL]I|[L/M]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]H|[M-INVI]t7t5|[M-REAL]F|[M-INVI]t16t3|[M-REAL]D|[M-REAL]B
4,"instance_152",1,Yes,"488,00","48,00","488,00","0,40","488,00","7.604,00","800,00","0,40","119,00","0,44","868,00","0,44",[L/M]A|[M-REAL]C|[M-REAL]E|[M-REAL]G|[L]K|[L/M]H|[M-REAL]I|[L/M]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]H|[M-REAL]N|[L]AC|[L/M]P|[L]AD|[L/M]J|[L]P|[L/M]I|[M-REAL]G|[L]Q|[L]AB|[L/M]H|[L]F|[L/M]O|[L/M]I|[L/M]G|[M-REAL]H|[M-REAL]I|[L/M]G|[M-REAL]H|[M-REAL]I|[L]W|[L]AD|[L]T|[L/M]R|[L/M]G|[M-REAL]H|[M-REAL]I|[M-REAL]Z|[L]AE|[L/M]Y|[L/M]G|[L/M]X|[M-REAL]W|[M-REAL]Q|[M-REAL]AA|[M-REAL]AC|[L]E|[L]P|[L/M]AE|[L]R|[L/M]H|[L/M]I|[L/M]AD|[L/M]G|[L]Y|[L/M]AB|[L/M]H|[M-REAL]I|[M-REAL]P|[M-REAL]G|[L/M]H|[M-REAL]I|[L]W|[L/M]G|[L/M]R|[L]AA|[L/M]H|[L/M]I|[M-REAL]G|[L/M]Z|[L]AC|[L/M]H|[M-REAL]I|[L/M]X|[L/M]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[M-REAL]G|[L]Q|[L]P|[L]X|[L]C|[L/M]Y|[L/M]H|[M-REAL]I|[L/M]G|[M-REAL]H|[L/M]M|[L/M]W|[M-REAL]K|[L]Q|[L/M]Q|[L]Z|[L/M]I|[M-REAL]G|[L/M]H|[M-REAL]I|[M-REAL]G|[L]AB|[L]Z|[L]N|[L]AE|[L]AA|[L/M]H|[M-INVI]t7t5|[M-REAL]F|[M-INVI]t16t3|[L]AC|[L/M]D|[L]AA|[L]I|[L]R|[L/M]B|[L]G
5,"instance_456",1,Yes,"564,00","40,00","564,00","0,34","564,00","7.864,00","800,00","0,34","118,00","0,35","868,00","0,35",[M-REAL]A|[M-REAL]C|[M-REAL]E|[M-REAL]G|[M-REAL]H|[L]X|[L]AC|[L/M]P|[M-REAL]T|[M-REAL]R|[M-REAL]Q|[L]AC|[L]P|[L/M]I|[L/M]AA|[L]AE|[L/M]G|[L]S|[L]R|[L/M]AC|[L/M]H|[L/M]AE|[L]D|[L/M]AD|[M-REAL]AB|[M-REAL]P|[M-REAL]I|[M-REAL]R|[M-REAL]S|[L/M]Q|[M-REAL]AA|[L/M]AC|[M-REAL]AD|[M-REAL]G|[L]AB|[L/M]H|[L/M]AE|[M-REAL]I|[L/M]AB|[M-REAL]J|[L/M]P|[M-REAL]T|[L]AE|[L/M]L|[L]S|[L/M]R|[M-REAL]Q|[L/M]K|[L]E|[L]R|[L/M]AA|[M-REAL]AE|[M-REAL]AD|[L]Q|[L]S|[L/M]AC|[L]Q|[L/M]AB|[M-REAL]P|[M-REAL]R|[M-REAL]X|[L/M]Y|[M-REAL]Z|[L]A|[L]F|[L/M]N|[L/M]W|[L/M]G|[M-REAL]H|[L]AB|[L]AD|[L/M]Q|[M-REAL]AA|[M-REAL]AC|[L]Z|[L]B|[L/M]AE|[L]R|[L]P|[L/M]AD|[L]S|[L]R|[L]AA|[L]AB|[L]P|[L/M]AB|[L]J|[L]AA|[L/M]P|[L/M]T|[L]Q|[L]Q|[L]AC|[L]AA|[L]C|[L/M]R|[L]Z|[L]AD|[L/M]Q|[L/M]AA|[M-REAL]AC|[M-INVI]t7t5|[L]Y|[L/M]AE|[L/M]AD|[M-REAL]AB|[L]X|[L]W|[L]AD|[L/M]P|[M-REAL]T|[L/M]O|[M-REAL]F|[L/M]R|[M-REAL]Q|[M-INVI]t16t3|[M-REAL]D|[M-REAL]B
6,"instance_149",1,Yes,"468,00","40,00","468,00","0,36","468,00","6.891,00","680,00","0,36","112,00","0,37","748,00","0,37",[M-REAL]A|[M-REAL]C|[M-REAL]E|[M-REAL]G|[M-REAL]H|[M-REAL]P|[L/M]I|[L/M]T|[M-REAL]R|[L]T|[L/M]Q|[L/M]G|[L/M]H|[M-REAL]I|[M-REAL]AA|[L]P|[L]Q|[L/M]AC|[L]R|[L]AA|[L/M]G|[M-REAL]H|[M-REAL]AE|[L/M]AD|[L]O|[L/M]AB|[L]K|[L]A|[L/M]I|[M-REAL]G|[M-REAL]P|[L/M]T|[M-REAL]R|[L/M]Q|[M-REAL]AA|[L/M]H|[M-REAL]I|[L/M]AE|[L/M]AD|[L/M]G|[L/M]AC|[M-REAL]AB|[M-REAL]P|[M-REAL]T|[M-REAL]R|[L/M]Q|[M-REAL]AA|[M-REAL]AC|[M-REAL]H|[M-REAL]I|[L]P|[L/M]AD|[L/M]AE|[L/M]G|[L]AA|[L/M]AB|[M-REAL]P|[M-REAL]T|[M-REAL]H|[L]X|[L]R|[L/M]N|[L]C|[L]AB|[L]R|[L/M]R|[L/M]J|[L/M]I|[M-REAL]G|[L/M]H|[M-REAL]I|[M-REAL]G|[M-REAL]Q|[M-REAL]AA|[L]P|[L/M]AE|[L]P|[L/M]AC|[L]AA|[L/M]H|[L]B|[L/M]AD|[M-REAL]AB|[L]Y|[L]AA|[L]Z|[L/M]I|[L/M]P|[M-REAL]T|[M-REAL]G|[L]AB|[L]D|[L/M]R|[L]AC|[L]AE|[L]F|[L/M]Q|[M-INVI]t16t3|[L/M]H|[M-REAL]I|[L/M]M|[M-REAL]K|[L]S|[L]E|[L]W|[L/M]G|[M-REAL]H|[M-REAL]O|[M-INVI]t7t5|[M-REAL]F|[M-REAL]D|[M-REAL]B
7,"instance_307",1,Yes,"282,00","55,00","282,00","0,49","282,00","5.181,00","620,00","0,49","112,00","0,59","688,00","0,59",[L/M]A|[M-REAL]C|[M-REAL]E|[L/M]G|[L/M]H|[L/M]I|[L/M]G|[L/M]H|[M-REAL]I|[M-REAL]G|[L/M]H|[M-REAL]I|[M-REAL]G|[L]O|[L]E|[L/M]H|[M-REAL]I|[L/M]P|[L/M]G|[M-REAL]H|[M-REAL]I|[L/M]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[L/M]G|[M-REAL]H|[M-REAL]I|[L]D|[L/M]G|[L]Q|[L/M]H|[L/M]I|[M-REAL]G|[L/M]H|[M-REAL]I|[L/M]G|[L/M]H|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[L/M]R|[L/M]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[L/M]G|[L/M]H|[M-REAL]I|[L/M]G|[L/M]H|[M-REAL]I|[L]L|[L/M]G|[L/M]H|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[M-REAL]G|[L/M]H|[L/M]J|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[L/M]G|[M-REAL]H|[M-REAL]I|[L/M]G|[M-REAL]H|[M-REAL]I|[L/M]G|[M-REAL]L|[L]B|[L/M]K|[L/M]H|[M-REAL]I|[M-REAL]G|[L/M]H|[M-REAL]I|[M-REAL]G|[M-REAL]S|[L/M]H|[L/M]I|[L/M]G|[L]C|[L]T|[L/M]N|[L/M]H|[M-REAL]I|[M-REAL]G|[M-REAL]Q|[L]F|[L/M]H|[L/M]I|[L/M]G|[M-REAL]H|[M-INVI]t7t5|[M-REAL]O|[M-REAL]F|[M-INVI]t16t3|[M-REAL]D|[M-REAL]B
8,"instance_261",1,Yes,"340,00","47,00","340,00","0,42","340,00","4.132,00","590,00","0,42","111,00","0,48","658,00","0,48",[M-REAL]A|[M-REAL]C|[M-REAL]E|[L]B|[L/M]G|[M-REAL]H|[M-REAL]I|[M-REAL]P|[M-REAL]T|[L/M]G|[L]E|[L]L|[L/M]R|[M-REAL]Q|[M-REAL]AA|[M-REAL]H|[L/M]I|[M-REAL]G|[L/M]H|[L/M]I|[L/M]G|[L/M]N|[L/M]H|[L/M]I|[M-REAL]G|[L/M]O|[M-REAL]H|[L/M]I|[M-REAL]G|[L/M]H|[M-REAL]I|[L/M]G|[L/M]J|[L/M]AE|[M-REAL]H|[L/M]AC|[L/M]I|[M-REAL]G|[L/M]H|[M-REAL]AD|[L/M]AB|[M-REAL]I|[L/M]G|[M-REAL]H|[L/M]I|[M-REAL]G|[L/M]H|[M-REAL]I|[M-REAL]G|[L/M]H|[M-REAL]I|[L/M]G|[M-REAL]H|[M-REAL]I|[M-REAL]P|[L/M]T|[L/M]G|[L]S|[L/M]H|[M-REAL]I|[M-REAL]G|[M-REAL]R|[L]AD|[L/M]Q|[L/M]H|[M-REAL]I|[L/M]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[L/M]G|[M-REAL]H|[M-REAL]I|[L]Q|[L/M]G|[M-REAL]H|[L]F|[L]R|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]H|[L/M]I|[M-REAL]G|[M-REAL]L|[M-INVI]t16t3|[L/M]H|[M-REAL]I|[L/M]G|[L]D|[L/M]H|[M-REAL]I|[M-REAL]G|[L/M]H|[M-REAL]I|[L/M]G|[L]P|[L/M]K|[L]AA|[L]A|[L]C|[L/M]H|[M-INVI]t7t5|[M-REAL]F|[M-REAL]D|[M-REAL]B|[L]P
9,"instance_239",1,Yes,"524,00","36,00","524,00","0,34","524,00","6.721,00","740,00","0,34","107,00","0,35","808,00","0,35",[M-REAL]A|[M-REAL]C|[L]AC|[L/M]P|[L]AA|[L]AB|[L/M]E|[L/M]R|[M-REAL]X|[L]P|[L]B|[L]S|[L/M]Y|[L]AB|[L]AB|[L]AD|[L/M]Z|[L/M]W|[M-REAL]Q|[L/M]AA|[M-REAL]AD|[M-REAL]G|[L/M]H|[M-REAL]I|[M-REAL]AC|[M-REAL]AE|[M-REAL]AB|[L]Q|[L]S|[L/M]G|[M-REAL]H|[M-REAL]I|[L/M]G|[M-REAL]J|[L]P|[L/M]H|[L/M]P|[L/M]T|[L]AD|[L/M]R|[L/M]I|[M-REAL]Q|[L]P|[L]K|[L]AE|[L]AD|[L/M]AA|[L]P|[L/M]G|[L/M]L|[M-REAL]H|[L/M]AC|[L]AA|[L]Q|[L/M]I|[M-REAL]G|[M-REAL]H|[L]R|[L]AE|[L/M]I|[L/M]AE|[L]D|[L/M]AD|[M-REAL]AB|[M-REAL]P|[M-REAL]K|[M-REAL]T|[L]AA|[L/M]R|[L/M]Q|[M-REAL]AA|[L/M]AE|[M-REAL]G|[M-REAL]AD|[L/M]AC|[M-REAL]AB|[M-REAL]P|[L]AC|[L/M]H|[M-REAL]I|[M-REAL]N|[L]AE|[L]Q|[L]R|[L]F|[L/M]T|[L]AB|[L]X|[L]Q|[L]AD|[L/M]R|[L/M]G|[L/M]Q|[L]A|[L/M]O|[L]C|[L]N|[L]T|[L/M]H|[M-INVI]t7t5|[M-REAL]F|[M-INVI]t16t3|[M-REAL]D|[M-REAL]B|[L]J|[L]AB|[L]AC
10,"instance_150",1,Yes,"390,00","37,00","390,00","0,36","390,00","5.374,00","560,00","0,36","103,00","0,38","628,00","0,38",[L/M]A|[M-REAL]C|[L]AB|[L/M]P|[L/M]E|[M-REAL]G|[M-REAL]H|[M-REAL]R|[M-REAL]Z|[M-REAL]X|[L]P|[L]F|[L]P|[L]AB|[L/M]I|[L/M]Y|[M-REAL]W|[L/M]Q|[M-REAL]AA|[M-REAL]AE|[L/M]N|[L/M]AC|[L]D|[L/M]AD|[L/M]G|[M-REAL]H|[M-REAL]I|[M-REAL]AB|[L]AD|[L/M]G|[M-REAL]H|[L/M]I|[M-REAL]G|[L/M]H|[M-REAL]I|[M-REAL]G|[M-REAL]P|[M-REAL]R|[M-REAL]S|[L]C|[L/M]Q|[M-REAL]AA|[L]S|[L/M]AD|[L]R|[L/M]H|[M-REAL]I|[L/M]AE|[L]AA|[L]Q|[L/M]AC|[L/M]G|[M-REAL]AB|[M-REAL]P|[L]Z|[L/M]T|[M-REAL]R|[M-REAL]Q|[L]K|[L/M]AA|[M-REAL]AD|[L/M]H|[L]X|[L/M]O|[L/M]AC|[L/M]AE|[M-REAL]AB|[M-REAL]J|[L/M]M|[M-REAL]P|[M-REAL]T|[L]B|[L/M]R|[L]J|[L/M]Q|[M-REAL]AA|[M-REAL]AC|[M-REAL]I|[L/M]AE|[L/M]G|[M-REAL]AD|[M-REAL]AB|[L/M]P|[L/M]R|[M-REAL]Z|[M-REAL]X|[M-REAL]Y|[M-REAL]H|[L]AB|[L/M]I|[M-REAL]G|[L]R|[L]AA|[L]T|[L/M]H|[L/M]W|[M-REAL]Q|[M-INVI]t16t3|[M-INVI]t7t5|[M-REAL]K|[M-REAL]F|[M-REAL]D|[M-REAL]B
