Result of replaying prEm6.tpn on Process 15

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost Lo","Decomposed Sync-Move Numerator","Raw Fitness Cost Hi","Sync-Move Fitness","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Decomposed Sync-Move Fitness","Decomposed Sync-Move Denominator","Raw Fitness Perc Hi","Raw Fitness Cost Max","Raw Fitness Perc Lo",Match
1,"instance_986",1,Yes,"28,00","114,00","28,00","0,97","28,00","137,00","1.160,00","0,97","118,00","0,98","1.480,00","0,98",[L]A+complete|[M-REAL]B+complete|[L/M]C+complete|[L/M]AL+complete|[L/M]BI+complete|[L/M]BX+complete|[L/M]AN+complete|[L/M]BK+complete|[L/M]AZ+complete|[L/M]CH+complete|[L/M]BV+complete|[L/M]BQ+complete|[L/M]BM+complete|[L/M]BW+complete|[L/M]BC+complete|[L/M]CJ+complete|[L/M]CK+complete|[L/M]BS+complete|[L/M]CL+complete|[L/M]BP+complete|[L/M]BU+complete|[L/M]BB+complete|[L/M]BT+complete|[L/M]BO+complete|[L/M]CI+complete|[L/M]BA+complete|[L/M]BN+complete|[L/M]BY+complete|[L/M]BR+complete|[L/M]BD+complete|[L/M]BL+complete|[L/M]BF+complete|[L/M]BH+complete|[L/M]BJ+complete|[L/M]BG+complete|[L/M]BE+complete|[L/M]AO+complete|[L/M]AM+complete|[L/M]D+complete|[L/M]ET+complete|[L/M]EV+complete|[L/M]GU+complete|[L/M]EX+complete|[L/M]FL+complete|[L/M]EY+complete|[L/M]IZ+complete|[L/M]ID+complete|[L/M]EZ+complete|[L/M]FN+complete|[L/M]GW+complete|[L/M]JA+complete|[L/M]FW+complete|[L/M]FP+complete|[L/M]GE+complete|[L/M]IF+complete|[L/M]JB+complete|[L/M]IJ+complete|[L/M]FA+complete|[L/M]GA+complete|[L/M]FQ+complete|[L/M]GY+complete|[L/M]JE+complete|[L/M]FO+complete|[L/M]GK+complete|[L/M]II+complete|[L/M]IH+complete|[L/M]IK+complete|[L/M]HH+complete|[L/M]GC+complete|[L/M]GP+complete|[L/M]GG+complete|[L/M]JC+complete|[L/M]HA+complete|[L/M]FB+complete|[L/M]HC+complete|[L/M]IG+complete|[L/M]JF+complete|[L/M]GO+complete|[L/M]GB+complete|[L/M]HI+complete|[L/M]FH+complete|[L/M]GN+complete|[L/M]HE+complete|[L/M]GJ+complete|[L/M]HB+complete|[L/M]GR+complete|[L/M]JH+complete|[L/M]IE+complete|[L/M]FX+complete|[L/M]GM+complete|[L/M]GS+complete|[L/M]GH+complete|[L/M]JK+complete|[L/M]GT+complete|[L/M]FK+complete|[L/M]JJ+complete|[L/M]HD+complete|[L/M]FJ+complete|[L/M]GL+complete|[L/M]JI+complete|[L/M]FI+complete|[L/M]GQ+complete|[L/M]IL+complete|[L/M]GZ+complete|[L/M]IN+complete|[L/M]JG+complete|[L/M]FC+complete|[L/M]GF+complete|[L/M]GX+complete|[L/M]IP+complete|[L/M]FM+complete|[L/M]IO+complete|[L/M]EW+complete|[L/M]IM+complete|[L/M]GV+complete|[L/M]EU+complete|[L]B+complete|[M-REAL]A+complete
2,"instance_117",1,Yes,"28,00","113,00","28,00","0,97","28,00","131,00","1.150,00","0,97","117,00","0,98","1.470,00","0,98",[L]A+complete|[M-REAL]B+complete|[L/M]C+complete|[L/M]AL+complete|[L/M]BI+complete|[L/M]AN+complete|[L/M]BX+complete|[L/M]BK+complete|[L/M]AP+complete|[L/M]CH+complete|[L/M]AV+complete|[L/M]AR+complete|[L/M]BV+complete|[L/M]BM+complete|[L/M]BW+complete|[L/M]BQ+complete|[L/M]AX+complete|[L/M]CL+complete|[L/M]CJ+complete|[L/M]AU+complete|[L/M]AY+complete|[L/M]CK+complete|[L/M]BP+complete|[L/M]BO+complete|[L/M]BU+complete|[L/M]AW+complete|[L/M]BS+complete|[L/M]BT+complete|[L/M]CI+complete|[L/M]AS+complete|[L/M]BN+complete|[L/M]BY+complete|[L/M]BR+complete|[L/M]BL+complete|[L/M]BJ+complete|[L/M]AQ+complete|[L/M]AO+complete|[L/M]AM+complete|[L/M]D+complete|[L/M]ET+complete|[L/M]EV+complete|[L/M]GU+complete|[L/M]EX+complete|[L/M]FL+complete|[L/M]IZ+complete|[L/M]EY+complete|[L/M]ID+complete|[L/M]JA+complete|[L/M]GW+complete|[L/M]GE+complete|[L/M]FN+complete|[L/M]EZ+complete|[L/M]IJ+complete|[L/M]FW+complete|[L/M]IF+complete|[L/M]JB+complete|[L/M]FR+complete|[L/M]JE+complete|[L/M]FA+complete|[L/M]HU+complete|[L/M]GP+complete|[L/M]GA+complete|[L/M]II+complete|[L/M]JC+complete|[L/M]IK+complete|[L/M]GK+complete|[L/M]GG+complete|[L/M]IH+complete|[L/M]FB+complete|[L/M]HW+complete|[L/M]FT+complete|[L/M]GC+complete|[L/M]GT+complete|[L/M]IB+complete|[L/M]FH+complete|[L/M]JF+complete|[L/M]GR+complete|[L/M]HY+complete|[L/M]GN+complete|[L/M]GO+complete|[L/M]IG+complete|[L/M]GS+complete|[L/M]GJ+complete|[L/M]IC+complete|[L/M]FS+complete|[L/M]GB+complete|[L/M]GM+complete|[L/M]HX+complete|[L/M]JH+complete|[L/M]FK+complete|[L/M]FJ+complete|[L/M]FO+complete|[L/M]GH+complete|[L/M]JJ+complete|[L/M]GQ+complete|[L/M]GL+complete|[L/M]JK+complete|[L/M]HV+complete|[L/M]IE+complete|[L/M]FX+complete|[L/M]GX+complete|[L/M]FI+complete|[L/M]JI+complete|[L/M]GF+complete|[L/M]IL+complete|[L/M]FC+complete|[L/M]JG+complete|[L/M]FM+complete|[L/M]IU+complete|[L/M]EW+complete|[L/M]IY+complete|[L/M]IV+complete|[L/M]IM+complete|[L/M]GV+complete|[L/M]EU+complete|[L]B+complete|[M-REAL]A+complete
3,"instance_616",1,Yes,"28,00","113,00","28,00","0,97","28,00","139,00","1.150,00","0,97","117,00","0,98","1.470,00","0,98",[L]A+complete|[M-REAL]B+complete|[L/M]C+complete|[L/M]AL+complete|[L/M]AN+complete|[L/M]BI+complete|[L/M]BK+complete|[L/M]BX+complete|[L/M]AZ+complete|[L/M]BV+complete|[L/M]CH+complete|[L/M]BW+complete|[L/M]BQ+complete|[L/M]BM+complete|[L/M]BC+complete|[L/M]BU+complete|[L/M]BB+complete|[L/M]BO+complete|[L/M]BP+complete|[L/M]BS+complete|[L/M]CL+complete|[L/M]BT+complete|[L/M]BA+complete|[L/M]CK+complete|[L/M]CJ+complete|[L/M]BN+complete|[L/M]BR+complete|[L/M]BD+complete|[L/M]CI+complete|[L/M]BF+complete|[L/M]BG+complete|[L/M]BL+complete|[L/M]BY+complete|[L/M]BH+complete|[L/M]BJ+complete|[L/M]BE+complete|[L/M]AO+complete|[L/M]AM+complete|[L/M]D+complete|[L/M]ET+complete|[L/M]GU+complete|[L/M]EV+complete|[L/M]EX+complete|[L/M]FL+complete|[L/M]EY+complete|[L/M]IZ+complete|[L/M]GW+complete|[L/M]ID+complete|[L/M]GE+complete|[L/M]FN+complete|[L/M]JA+complete|[L/M]EZ+complete|[L/M]GY+complete|[L/M]FW+complete|[L/M]IJ+complete|[L/M]FR+complete|[L/M]JB+complete|[L/M]IF+complete|[L/M]GP+complete|[L/M]GK+complete|[L/M]GG+complete|[L/M]JE+complete|[L/M]HH+complete|[L/M]HC+complete|[L/M]FA+complete|[L/M]HA+complete|[L/M]FY+complete|[L/M]IK+complete|[L/M]JC+complete|[L/M]FT+complete|[L/M]IH+complete|[L/M]GM+complete|[L/M]GI+complete|[L/M]HI+complete|[L/M]GR+complete|[L/M]II+complete|[L/M]GO+complete|[L/M]GN+complete|[L/M]HB+complete|[L/M]FZ+complete|[L/M]JF+complete|[L/M]HF+complete|[L/M]FB+complete|[L/M]FS+complete|[L/M]GS+complete|[L/M]GT+complete|[L/M]IG+complete|[L/M]GL+complete|[L/M]FH+complete|[L/M]HD+complete|[L/M]FO+complete|[L/M]JL+complete|[L/M]GH+complete|[L/M]FX+complete|[L/M]GQ+complete|[L/M]FK+complete|[L/M]GF+complete|[L/M]IE+complete|[L/M]GZ+complete|[L/M]JN+complete|[L/M]FJ+complete|[L/M]JM+complete|[L/M]GX+complete|[L/M]FM+complete|[L/M]IL+complete|[L/M]FI+complete|[L/M]FC+complete|[L/M]JG+complete|[L/M]EW+complete|[L/M]IN+complete|[L/M]IR+complete|[L/M]IO+complete|[L/M]IM+complete|[L/M]GV+complete|[L/M]EU+complete|[L]B+complete|[M-REAL]A+complete
4,"instance_882",1,Yes,"28,00","113,00","28,00","0,97","28,00","124,00","1.150,00","0,97","117,00","0,98","1.470,00","0,98",[L]A+complete|[M-REAL]B+complete|[L/M]C+complete|[L/M]AL+complete|[L/M]BI+complete|[L/M]AN+complete|[L/M]BX+complete|[L/M]BK+complete|[L/M]AP+complete|[L/M]CH+complete|[L/M]AV+complete|[L/M]BV+complete|[L/M]AR+complete|[L/M]BW+complete|[L/M]BQ+complete|[L/M]BM+complete|[L/M]CL+complete|[L/M]AY+complete|[L/M]CK+complete|[L/M]AT+complete|[L/M]BS+complete|[L/M]BO+complete|[L/M]CJ+complete|[L/M]AX+complete|[L/M]BP+complete|[L/M]BT+complete|[L/M]AS+complete|[L/M]AW+complete|[L/M]CI+complete|[L/M]BN+complete|[L/M]BU+complete|[L/M]BR+complete|[L/M]AQ+complete|[L/M]BY+complete|[L/M]BL+complete|[L/M]AO+complete|[L/M]BJ+complete|[L/M]AM+complete|[L/M]D+complete|[L/M]ET+complete|[L/M]EV+complete|[L/M]GU+complete|[L/M]EX+complete|[L/M]FL+complete|[L/M]EY+complete|[L/M]ID+complete|[L/M]IZ+complete|[L/M]GW+complete|[L/M]FN+complete|[L/M]EZ+complete|[L/M]GE+complete|[L/M]FR+complete|[L/M]FW+complete|[L/M]IF+complete|[L/M]JA+complete|[L/M]IJ+complete|[L/M]GY+complete|[L/M]GP+complete|[L/M]GK+complete|[L/M]FA+complete|[L/M]GG+complete|[L/M]JB+complete|[L/M]GA+complete|[L/M]II+complete|[L/M]HA+complete|[L/M]FT+complete|[L/M]IH+complete|[L/M]HC+complete|[L/M]JD+complete|[L/M]IK+complete|[L/M]GD+complete|[L/M]FB+complete|[L/M]FS+complete|[L/M]HH+complete|[L/M]GJ+complete|[L/M]HB+complete|[L/M]GM+complete|[L/M]JC+complete|[L/M]GS+complete|[L/M]GN+complete|[L/M]IG+complete|[L/M]HF+complete|[L/M]GR+complete|[L/M]FF+complete|[L/M]GO+complete|[L/M]GB+complete|[L/M]GH+complete|[L/M]JF+complete|[L/M]GT+complete|[L/M]FO+complete|[L/M]HI+complete|[L/M]GL+complete|[L/M]FX+complete|[L/M]HD+complete|[L/M]FG+complete|[L/M]GQ+complete|[L/M]IE+complete|[L/M]JH+complete|[L/M]GF+complete|[L/M]GZ+complete|[L/M]JK+complete|[L/M]FC+complete|[L/M]JJ+complete|[L/M]FM+complete|[L/M]IL+complete|[L/M]GX+complete|[L/M]EW+complete|[L/M]JI+complete|[L/M]IU+complete|[L/M]JG+complete|[L/M]IX+complete|[L/M]IV+complete|[L/M]IM+complete|[L/M]GV+complete|[L/M]EU+complete|[L]B+complete|[M-REAL]A+complete
5,"instance_427",1,Yes,"28,00","113,00","28,00","0,97","28,00","125,00","1.150,00","0,97","117,00","0,98","1.470,00","0,98",[L]A+complete|[M-REAL]B+complete|[L/M]C+complete|[L/M]AL+complete|[L/M]AN+complete|[L/M]BI+complete|[L/M]BX+complete|[L/M]AP+complete|[L/M]BK+complete|[L/M]CH+complete|[L/M]AV+complete|[L/M]AR+complete|[L/M]BV+complete|[L/M]AY+complete|[L/M]BM+complete|[L/M]BQ+complete|[L/M]CK+complete|[L/M]BW+complete|[L/M]CL+complete|[L/M]AT+complete|[L/M]AX+complete|[L/M]CJ+complete|[L/M]BT+complete|[L/M]BP+complete|[L/M]BS+complete|[L/M]AS+complete|[L/M]CI+complete|[L/M]BO+complete|[L/M]BU+complete|[L/M]AW+complete|[L/M]BY+complete|[L/M]BR+complete|[L/M]BN+complete|[L/M]AQ+complete|[L/M]BL+complete|[L/M]AO+complete|[L/M]BJ+complete|[L/M]AM+complete|[L/M]D+complete|[L/M]ET+complete|[L/M]EV+complete|[L/M]GU+complete|[L/M]EX+complete|[L/M]FL+complete|[L/M]IZ+complete|[L/M]EY+complete|[L/M]ID+complete|[L/M]JA+complete|[L/M]GW+complete|[L/M]EZ+complete|[L/M]FN+complete|[L/M]JB+complete|[L/M]GE+complete|[L/M]FW+complete|[L/M]IJ+complete|[L/M]JD+complete|[L/M]GY+complete|[L/M]FR+complete|[L/M]IF+complete|[L/M]FA+complete|[L/M]JC+complete|[L/M]GK+complete|[L/M]GP+complete|[L/M]GA+complete|[L/M]GG+complete|[L/M]HA+complete|[L/M]IK+complete|[L/M]HH+complete|[L/M]II+complete|[L/M]JF+complete|[L/M]FB+complete|[L/M]FU+complete|[L/M]GD+complete|[L/M]HC+complete|[L/M]IH+complete|[L/M]GO+complete|[L/M]HB+complete|[L/M]FS+complete|[L/M]GN+complete|[L/M]GR+complete|[L/M]FF+complete|[L/M]GI+complete|[L/M]GM+complete|[L/M]JH+complete|[L/M]HI+complete|[L/M]GT+complete|[L/M]GS+complete|[L/M]GB+complete|[L/M]IG+complete|[L/M]HF+complete|[L/M]JJ+complete|[L/M]GL+complete|[L/M]JK+complete|[L/M]FO+complete|[L/M]FX+complete|[L/M]GQ+complete|[L/M]HD+complete|[L/M]FG+complete|[L/M]GH+complete|[L/M]IE+complete|[L/M]JI+complete|[L/M]FC+complete|[L/M]GF+complete|[L/M]GZ+complete|[L/M]JG+complete|[L/M]IL+complete|[L/M]FM+complete|[L/M]GX+complete|[L/M]IN+complete|[L/M]EW+complete|[L/M]IQ+complete|[L/M]IO+complete|[L/M]IM+complete|[L/M]GV+complete|[L/M]EU+complete|[L]B+complete|[M-REAL]A+complete
6,"instance_33",1,Yes,"28,00","113,00","28,00","0,97","28,00","131,00","1.150,00","0,97","117,00","0,98","1.470,00","0,98",[L]A+complete|[M-REAL]B+complete|[L/M]C+complete|[L/M]AL+complete|[L/M]BI+complete|[L/M]AN+complete|[L/M]BX+complete|[L/M]BK+complete|[L/M]AZ+complete|[L/M]CH+complete|[L/M]BC+complete|[L/M]BB+complete|[L/M]BM+complete|[L/M]BQ+complete|[L/M]CK+complete|[L/M]BV+complete|[L/M]CL+complete|[L/M]BA+complete|[L/M]BP+complete|[L/M]BO+complete|[L/M]CJ+complete|[L/M]BT+complete|[L/M]BW+complete|[L/M]BS+complete|[L/M]BU+complete|[L/M]CI+complete|[L/M]BD+complete|[L/M]BY+complete|[L/M]BN+complete|[L/M]BR+complete|[L/M]BF+complete|[L/M]BG+complete|[L/M]BH+complete|[L/M]BL+complete|[L/M]BE+complete|[L/M]BJ+complete|[L/M]AO+complete|[L/M]AM+complete|[L/M]D+complete|[L/M]ET+complete|[L/M]EV+complete|[L/M]GU+complete|[L/M]EX+complete|[L/M]FL+complete|[L/M]EY+complete|[L/M]IZ+complete|[L/M]EZ+complete|[L/M]ID+complete|[L/M]GE+complete|[L/M]FN+complete|[L/M]GW+complete|[L/M]JA+complete|[L/M]FW+complete|[L/M]JB+complete|[L/M]FA+complete|[L/M]IF+complete|[L/M]FR+complete|[L/M]IJ+complete|[L/M]GY+complete|[L/M]GP+complete|[L/M]JD+complete|[L/M]GA+complete|[L/M]GG+complete|[L/M]II+complete|[L/M]HH+complete|[L/M]HC+complete|[L/M]FB+complete|[L/M]FU+complete|[L/M]HA+complete|[L/M]IH+complete|[L/M]GK+complete|[L/M]JC+complete|[L/M]FF+complete|[L/M]IK+complete|[L/M]GS+complete|[L/M]GD+complete|[L/M]FS+complete|[L/M]GT+complete|[L/M]GR+complete|[L/M]GI+complete|[L/M]HB+complete|[L/M]JF+complete|[L/M]HF+complete|[L/M]IG+complete|[L/M]FG+complete|[L/M]HI+complete|[L/M]GN+complete|[L/M]GM+complete|[L/M]GO+complete|[L/M]FO+complete|[L/M]GQ+complete|[L/M]GB+complete|[L/M]JH+complete|[L/M]FC+complete|[L/M]HD+complete|[L/M]GH+complete|[L/M]IE+complete|[L/M]GL+complete|[L/M]FX+complete|[L/M]JK+complete|[L/M]JJ+complete|[L/M]GZ+complete|[L/M]GF+complete|[L/M]JI+complete|[L/M]IL+complete|[L/M]GX+complete|[L/M]FM+complete|[L/M]IN+complete|[L/M]JG+complete|[L/M]EW+complete|[L/M]IR+complete|[L/M]IO+complete|[L/M]IM+complete|[L/M]GV+complete|[L/M]EU+complete|[L]B+complete|[M-REAL]A+complete
7,"instance_843",1,Yes,"28,00","112,00","28,00","0,97","28,00","127,00","1.140,00","0,97","116,00","0,98","1.460,00","0,98",[L]A+complete|[M-REAL]B+complete|[L/M]C+complete|[L/M]AL+complete|[L/M]AN+complete|[L/M]BI+complete|[L/M]AZ+complete|[L/M]BX+complete|[L/M]BK+complete|[L/M]CH+complete|[L/M]BB+complete|[L/M]BC+complete|[L/M]BV+complete|[L/M]BQ+complete|[L/M]CL+complete|[L/M]BM+complete|[L/M]CJ+complete|[L/M]BW+complete|[L/M]CK+complete|[L/M]BA+complete|[L/M]BS+complete|[L/M]BT+complete|[L/M]BU+complete|[L/M]BO+complete|[L/M]BP+complete|[L/M]BD+complete|[L/M]CI+complete|[L/M]BR+complete|[L/M]BH+complete|[L/M]BG+complete|[L/M]BN+complete|[L/M]BY+complete|[L/M]BF+complete|[L/M]BE+complete|[L/M]BL+complete|[L/M]AO+complete|[L/M]BJ+complete|[L/M]AM+complete|[L/M]D+complete|[L/M]ET+complete|[L/M]GU+complete|[L/M]EV+complete|[L/M]EX+complete|[L/M]FL+complete|[L/M]GW+complete|[L/M]EY+complete|[L/M]IZ+complete|[L/M]ID+complete|[L/M]EZ+complete|[L/M]GY+complete|[L/M]JA+complete|[L/M]GE+complete|[L/M]FW+complete|[L/M]IJ+complete|[L/M]IF+complete|[L/M]FN+complete|[L/M]JB+complete|[L/M]HH+complete|[L/M]FA+complete|[L/M]JD+complete|[L/M]HC+complete|[L/M]IK+complete|[L/M]GK+complete|[L/M]FP+complete|[L/M]GP+complete|[L/M]JC+complete|[L/M]GA+complete|[L/M]HA+complete|[L/M]II+complete|[L/M]GG+complete|[L/M]FB+complete|[L/M]HI+complete|[L/M]IH+complete|[L/M]GM+complete|[L/M]HE+complete|[L/M]FQ+complete|[L/M]GS+complete|[L/M]GN+complete|[L/M]JF+complete|[L/M]GO+complete|[L/M]FO+complete|[L/M]FD+complete|[L/M]GC+complete|[L/M]GT+complete|[L/M]GJ+complete|[L/M]HB+complete|[L/M]IG+complete|[L/M]GL+complete|[L/M]GR+complete|[L/M]GH+complete|[L/M]JH+complete|[L/M]FE+complete|[L/M]HD+complete|[L/M]GB+complete|[L/M]GQ+complete|[L/M]JJ+complete|[L/M]IE+complete|[L/M]JK+complete|[L/M]GF+complete|[L/M]FC+complete|[L/M]FX+complete|[L/M]GZ+complete|[L/M]FM+complete|[L/M]GX+complete|[L/M]IL+complete|[L/M]EW+complete|[L/M]JI+complete|[L/M]IU+complete|[L/M]JG+complete|[L/M]IX+complete|[L/M]IV+complete|[L/M]IM+complete|[L/M]GV+complete|[L/M]EU+complete|[L]B+complete|[M-REAL]A+complete
8,"instance_934",1,Yes,"28,00","112,00","28,00","0,97","28,00","123,00","1.140,00","0,97","116,00","0,98","1.460,00","0,98",[L]A+complete|[M-REAL]B+complete|[L/M]C+complete|[L/M]AL+complete|[L/M]BI+complete|[L/M]AN+complete|[L/M]BX+complete|[L/M]AP+complete|[L/M]BK+complete|[L/M]AV+complete|[L/M]CH+complete|[L/M]BV+complete|[L/M]AR+complete|[L/M]BM+complete|[L/M]BW+complete|[L/M]BQ+complete|[L/M]AX+complete|[L/M]BO+complete|[L/M]CK+complete|[L/M]BP+complete|[L/M]AY+complete|[L/M]CL+complete|[L/M]BU+complete|[L/M]BS+complete|[L/M]CJ+complete|[L/M]BT+complete|[L/M]AU+complete|[L/M]AW+complete|[L/M]BN+complete|[L/M]CI+complete|[L/M]AS+complete|[L/M]BR+complete|[L/M]BY+complete|[L/M]AQ+complete|[L/M]BL+complete|[L/M]BJ+complete|[L/M]AO+complete|[L/M]AM+complete|[L/M]D+complete|[L/M]ET+complete|[L/M]EV+complete|[L/M]GU+complete|[L/M]EX+complete|[L/M]FL+complete|[L/M]EY+complete|[L/M]ID+complete|[L/M]IZ+complete|[L/M]GW+complete|[L/M]FN+complete|[L/M]EZ+complete|[L/M]FR+complete|[L/M]GE+complete|[L/M]FW+complete|[L/M]IJ+complete|[L/M]JA+complete|[L/M]FA+complete|[L/M]IF+complete|[L/M]GY+complete|[L/M]JB+complete|[L/M]FV+complete|[L/M]IK+complete|[L/M]FY+complete|[L/M]GK+complete|[L/M]GG+complete|[L/M]HC+complete|[L/M]GP+complete|[L/M]HH+complete|[L/M]II+complete|[L/M]IH+complete|[L/M]HA+complete|[L/M]FB+complete|[L/M]FS+complete|[L/M]GO+complete|[L/M]JE+complete|[L/M]GN+complete|[L/M]FZ+complete|[L/M]FD+complete|[L/M]HF+complete|[L/M]JC+complete|[L/M]GI+complete|[L/M]IG+complete|[L/M]GM+complete|[L/M]GS+complete|[L/M]HI+complete|[L/M]FO+complete|[L/M]HB+complete|[L/M]GT+complete|[L/M]JF+complete|[L/M]FX+complete|[L/M]HD+complete|[L/M]GL+complete|[L/M]GR+complete|[L/M]FE+complete|[L/M]GH+complete|[L/M]IE+complete|[L/M]GQ+complete|[L/M]JH+complete|[L/M]FC+complete|[L/M]JJ+complete|[L/M]GZ+complete|[L/M]GF+complete|[L/M]IL+complete|[L/M]JK+complete|[L/M]GX+complete|[L/M]IU+complete|[L/M]FM+complete|[L/M]JI+complete|[L/M]EW+complete|[L/M]IW+complete|[L/M]JG+complete|[L/M]IV+complete|[L/M]IM+complete|[L/M]GV+complete|[L/M]EU+complete|[L]B+complete|[M-REAL]A+complete
9,"instance_680",1,Yes,"28,00","112,00","28,00","0,97","28,00","125,00","1.140,00","0,97","116,00","0,98","1.460,00","0,98",[L]A+complete|[M-REAL]B+complete|[L/M]C+complete|[L/M]AL+complete|[L/M]AN+complete|[L/M]BI+complete|[L/M]BX+complete|[L/M]AP+complete|[L/M]BK+complete|[L/M]BZ+complete|[L/M]AV+complete|[L/M]AR+complete|[L/M]BV+complete|[L/M]BM+complete|[L/M]CB+complete|[L/M]BQ+complete|[L/M]AX+complete|[L/M]AT+complete|[L/M]BW+complete|[L/M]CA+complete|[L/M]AY+complete|[L/M]BU+complete|[L/M]BO+complete|[L/M]AS+complete|[L/M]BP+complete|[L/M]AW+complete|[L/M]BT+complete|[L/M]BS+complete|[L/M]BY+complete|[L/M]AQ+complete|[L/M]BN+complete|[L/M]BR+complete|[L/M]AO+complete|[L/M]BL+complete|[L/M]BJ+complete|[L/M]AM+complete|[L/M]D+complete|[L/M]ET+complete|[L/M]EV+complete|[L/M]GU+complete|[L/M]EX+complete|[L/M]FL+complete|[L/M]EY+complete|[L/M]GW+complete|[L/M]IZ+complete|[L/M]EZ+complete|[L/M]ID+complete|[L/M]FN+complete|[L/M]FW+complete|[L/M]GE+complete|[L/M]GY+complete|[L/M]JA+complete|[L/M]FR+complete|[L/M]FA+complete|[L/M]JB+complete|[L/M]IF+complete|[L/M]HH+complete|[L/M]IJ+complete|[L/M]GA+complete|[L/M]JE+complete|[L/M]GK+complete|[L/M]HC+complete|[L/M]GP+complete|[L/M]FV+complete|[L/M]HA+complete|[L/M]FB+complete|[L/M]GG+complete|[L/M]GC+complete|[L/M]JC+complete|[L/M]IK+complete|[L/M]HI+complete|[L/M]II+complete|[L/M]FH+complete|[L/M]GO+complete|[L/M]HE+complete|[L/M]JF+complete|[L/M]IH+complete|[L/M]GN+complete|[L/M]HB+complete|[L/M]FS+complete|[L/M]GR+complete|[L/M]GB+complete|[L/M]GM+complete|[L/M]HD+complete|[L/M]GT+complete|[L/M]GS+complete|[L/M]GI+complete|[L/M]FK+complete|[L/M]JH+complete|[L/M]FX+complete|[L/M]GL+complete|[L/M]FJ+complete|[L/M]IG+complete|[L/M]FO+complete|[L/M]JK+complete|[L/M]GZ+complete|[L/M]JJ+complete|[L/M]GQ+complete|[L/M]GH+complete|[L/M]FI+complete|[L/M]GX+complete|[L/M]JI+complete|[L/M]FC+complete|[L/M]GF+complete|[L/M]IE+complete|[L/M]FM+complete|[L/M]IL+complete|[L/M]JG+complete|[L/M]IS+complete|[L/M]EW+complete|[L/M]IT+complete|[L/M]IM+complete|[L/M]GV+complete|[L/M]EU+complete|[L]B+complete|[M-REAL]A+complete
10,"instance_1082",1,Yes,"28,00","112,00","28,00","0,97","28,00","136,00","1.140,00","0,97","116,00","0,98","1.460,00","0,98",[L]A+complete|[M-REAL]B+complete|[L/M]C+complete|[L/M]AL+complete|[L/M]BI+complete|[L/M]AN+complete|[L/M]BK+complete|[L/M]BX+complete|[L/M]AZ+complete|[L/M]CH+complete|[L/M]BC+complete|[L/M]BB+complete|[L/M]BV+complete|[L/M]BM+complete|[L/M]BQ+complete|[L/M]BP+complete|[L/M]BW+complete|[L/M]BA+complete|[L/M]CJ+complete|[L/M]CL+complete|[L/M]BO+complete|[L/M]BS+complete|[L/M]CK+complete|[L/M]BT+complete|[L/M]BU+complete|[L/M]CI+complete|[L/M]BD+complete|[L/M]BN+complete|[L/M]BY+complete|[L/M]BR+complete|[L/M]BF+complete|[L/M]BG+complete|[L/M]BH+complete|[L/M]BL+complete|[L/M]BE+complete|[L/M]BJ+complete|[L/M]AO+complete|[L/M]AM+complete|[L/M]D+complete|[L/M]ET+complete|[L/M]GU+complete|[L/M]EV+complete|[L/M]EX+complete|[L/M]FL+complete|[L/M]GW+complete|[L/M]EY+complete|[L/M]IZ+complete|[L/M]ID+complete|[L/M]JA+complete|[L/M]EZ+complete|[L/M]FN+complete|[L/M]HU+complete|[L/M]JB+complete|[L/M]GE+complete|[L/M]FW+complete|[L/M]IJ+complete|[L/M]IF+complete|[L/M]FP+complete|[L/M]FA+complete|[L/M]IB+complete|[L/M]JE+complete|[L/M]HW+complete|[L/M]IK+complete|[L/M]GG+complete|[L/M]GA+complete|[L/M]GP+complete|[L/M]GK+complete|[L/M]FB+complete|[L/M]HZ+complete|[L/M]IH+complete|[L/M]FQ+complete|[L/M]IC+complete|[L/M]II+complete|[L/M]FH+complete|[L/M]JC+complete|[L/M]FO+complete|[L/M]GO+complete|[L/M]GC+complete|[L/M]GN+complete|[L/M]IG+complete|[L/M]GI+complete|[L/M]GR+complete|[L/M]JF+complete|[L/M]HX+complete|[L/M]GM+complete|[L/M]FJ+complete|[L/M]GT+complete|[L/M]GB+complete|[L/M]HV+complete|[L/M]FK+complete|[L/M]GL+complete|[L/M]GS+complete|[L/M]JH+complete|[L/M]GH+complete|[L/M]FX+complete|[L/M]GX+complete|[L/M]IE+complete|[L/M]GQ+complete|[L/M]FI+complete|[L/M]JJ+complete|[L/M]JK+complete|[L/M]GF+complete|[L/M]FC+complete|[L/M]IL+complete|[L/M]FM+complete|[L/M]JI+complete|[L/M]IU+complete|[L/M]EW+complete|[L/M]JG+complete|[L/M]IX+complete|[L/M]IV+complete|[L/M]IM+complete|[L/M]GV+complete|[L/M]EU+complete|[L]B+complete|[M-REAL]A+complete
