Result of replaying ML3.tpn on Process 28 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"instance_15|instance_91",2,Yes,"67.00","8.00","1.00","8.00","36.00","0.50","0.56","18.00","0.62","8.00","60.00",[L/M]A|[L/M]C|[M-REAL]t2t14|[L/M]O|[M-REAL]S|[L]D|[L]P|[L/M]R|[M-REAL]P|[M-REAL]t15t3|[M-REAL]D|[L]S|[L/M]B
2,"instance_224",1,Yes,"20,499.00","162.00","1,800.00","194.00","15,288.00","0.73","0.21","204.00","0.26","194.00","15,833.00",[M-REAL]A|[L]T|[L]O|[L]I|[L/M]C|[M-REAL]t2t14|[L/M]O|[L/M]S|[L/M]U|[L/M]W|[L]S|[L/M]V|[L]U|[L/M]T|[L]O|[L/M]P|[L]AM|[L]D|[L/M]X|[L]AE|[L]AJ|[L]D|[L]AJ|[L]AJ|[L]AK|[L]AO|[L]AG|[L]AF|[L]AN|[L]C|[L]AK|[L/M]AB|[L]AG|[L]C|[L]AC|[L/M]Z|[L]V|[L]W|[L]J|[L]P|[L]AN|[L]T|[L]T|[L]Z|[L/M]AA|[L]F|[L/M]Y|[M-REAL]O|[L/M]S|[L]S|[L]W|[L]AN|[L/M]W|[L/M]U|[M-REAL]V|[M-REAL]T|[L]AB|[L]AE|[L]AA|[L/M]P|[M-REAL]t15t3|[L]AF|[L]F|[L]T|[L]L|[L]AJ|[L]AM|[L]AF|[L/M]D|[M-REAL]AC|[L/M]AJ|[L]J|[L/M]AE|[L/M]AG|[L]T|[L/M]AF|[L/M]AI|[L]AG|[L]AD|[L/M]AN|[L]O|[L]V|[L]B|[L]G|[L]W|[L]Y|[L]E|[L]AB|[L]P|[L]S|[L]O|[L]AC|[L]S|[L]C|[L]D|[L]AE|[L]V|[L]O|[L/M]AE|[M-REAL]AK|[L]P|[L]M|[L]AE|[L/M]AO|[L/M]AG|[L/M]AJ|[L]AB|[L]AK|[L/M]AF|[L/M]AI|[L]U|[L]I|[L]AH|[L]AK|[L]L|[L]V|[L]K|[L]AF|[L]AG|[L]N|[L]AK|[L/M]AN|[L/M]AE|[L]E|[L]U|[L]C|[L]AC|[L]W|[L]AC|[L]AJ|[L]Y|[L]W|[L/M]AG|[L]AK|[L/M]AF|[L]U|[L]AD|[L/M]AK|[M-REAL]t31t29|[M-REAL]t36t29|[L]D|[L]AJ|[L]AM|[L]Z|[L/M]AD|[M-REAL]C|[M-REAL]t2t14|[L/M]O|[M-REAL]S|[L]M|[L/M]V|[L]T|[L/M]W|[M-REAL]U|[L/M]T|[L]S|[L/M]P|[L/M]X|[L/M]Z|[L]AA|[L]Y|[L]V|[L]U|[L]H|[L]U|[L]Z|[L]P|[L]O|[L]G|[L]AO|[L]V|[L/M]AA|[L]T|[L]P|[L]X|[L/M]AB|[L]AK|[L/M]Y|[M-REAL]O|[L/M]S|[L]H|[L/M]U|[L/M]W|[L]AI|[L]AO|[L]X|[L]D|[L]AJ|[L]AE|[L]AF|[L]AN|[L]AK|[L]AG|[L/M]V|[M-REAL]T|[L]AI|[L]AD|[L]AE|[L]AD|[L]AF|[L]A|[L]C|[L]O|[L]K|[L]N|[L/M]P|[M-REAL]t15t3|[M-REAL]D|[M-REAL]B|[L]S|[L]X|[L]AC|[L]AA
3,"instance_249",1,Yes,"15,018.00","138.00","1,221.00","154.00","11,259.00","0.72","0.16","164.00","0.17","154.00","11,635.00",[M-REAL]A|[M-REAL]C|[L]F|[L]AK|[L/M]E|[L]AM|[L]J|[L/M]G|[L]AC|[L]AC|[L]AH|[L]K|[L/M]I|[L]H|[L]L|[L]I|[L]D|[L]F|[L]D|[L]AD|[L]N|[L/M]K|[L]AE|[L]AN|[L]S|[L]C|[L]AE|[L]AF|[L/M]J|[L]AD|[L/M]N|[L]C|[L/M]H|[L]S|[L]O|[L]U|[L]C|[L]W|[L]T|[L]AC|[L/M]M|[L]AJ|[L]P|[L]AK|[L]AF|[L]D|[L]U|[L]E|[L]AF|[L]S|[L]AF|[L]I|[L]R|[L]G|[L]AM|[L/M]L|[L]O|[L]AE|[L]R|[L/M]F|[L]AO|[L]P|[L/M]D|[M-REAL]AC|[L]AK|[L]AD|[L]AE|[L]I|[L]AM|[L]AF|[L]P|[L]J|[L]AJ|[L]P|[L/M]AJ|[L]L|[L]C|[L]G|[L]V|[L]C|[L]E|[L]W|[L/M]AN|[L]AK|[L]AC|[L/M]AK|[L]AJ|[L/M]AE|[M-REAL]t36t29|[L/M]AG|[L]C|[L]AK|[L]AD|[L]V|[L/M]AF|[M-REAL]AI|[L]S|[L]E|[L]D|[L]AC|[L/M]AE|[L]AE|[L]H|[L]K|[L]C|[L/M]AG|[L/M]AF|[M-REAL]t31t29|[M-REAL]AD|[L/M]C|[M-REAL]t2t14|[M-REAL]O|[L]AJ|[L]J|[L]AH|[L]F|[L]AC|[L/M]S|[L]T|[L/M]R|[L]AK|[L]AF|[L]AC|[L]AK|[L]M|[L]AD|[L]AH|[L]O|[L]N|[L]AH|[L]AJ|[L]D|[L]AC|[L]D|[L]N|[L]AE|[L]A|[L]AK|[L]O|[L]AD|[L]AH|[L]C|[L]AD|[L]K|[L/M]P|[M-REAL]t15t3|[L]D|[L]AN|[L]M|[L]AM|[L]AJ|[L]O|[L/M]D|[L]AJ|[L]AD|[L]AN|[L]M|[L]AH|[L]G|[L]AJ|[L]L|[L]H|[L]AN|[L/M]B
4,"instance_48",1,Yes,"14,235.00","120.00","1,270.00","134.00","10,566.00","0.62","0.17","144.00","0.26","134.00","10,927.00",[L]AK|[L/M]A|[L]AM|[L/M]C|[M-REAL]t2t14|[M-REAL]O|[L]V|[L]F|[L]S|[L]AF|[L]T|[L]AF|[L]AK|[L]D|[L]U|[L]Z|[L]Y|[L]X|[L/M]S|[L/M]W|[L/M]U|[L]AL|[L]AK|[L]AG|[L]P|[L]AJ|[L]AB|[L]AJ|[L]R|[L/M]V|[L]AC|[L]AE|[L]AA|[L]I|[L]AO|[L]AH|[L]AO|[L]P|[L/M]T|[L/M]P|[M-REAL]t15t3|[L/M]D|[M-REAL]AC|[L]O|[L]AE|[L]O|[L]Z|[L/M]AE|[M-REAL]AJ|[L]AM|[L]C|[L/M]AL|[L/M]AG|[L]O|[L]T|[L]AG|[L/M]AF|[M-REAL]t31t29|[L]AJ|[L]H|[L]AF|[L]AJ|[L]N|[L/M]AK|[M-REAL]t36t29|[L]AF|[L]AO|[L]X|[L]M|[L]D|[L]N|[L]AD|[L]G|[L]AE|[L]L|[L]Y|[L]H|[L/M]AD|[L]AC|[L/M]C|[M-REAL]t2t14|[M-REAL]O|[L]AE|[L]W|[L/M]S|[L]AK|[L/M]V|[L]D|[L]V|[L]AJ|[L]E|[L]AK|[L]AI|[L]AG|[L/M]W|[L/M]U|[M-REAL]T|[L/M]P|[M-REAL]t15t3|[L/M]D|[L/M]AC|[L]K|[L/M]AJ|[L/M]AE|[L]AN|[L]AB|[L]J|[L]O|[L]AO|[L]G|[L]AI|[L/M]AM|[L]S|[L]W|[L/M]AK|[L]AA|[L/M]AG|[M-REAL]AO|[L]F|[L]C|[L]M|[L/M]AJ|[L]O|[L]I|[L]J|[L]AG|[L]L|[L]E|[L/M]AM|[L/M]AK|[M-REAL]t36t29|[L]AC|[L]K|[L]AJ|[L]AL|[L]AD|[L]T|[L/M]AF|[M-REAL]t31t29|[L]AI|[L]AE|[L]C|[L/M]AD|[M-REAL]C|[M-REAL]t2t14|[M-REAL]O|[L]AF|[L]P|[L/M]S|[M-REAL]R|[M-REAL]P|[M-REAL]t15t3|[M-REAL]D|[L]U|[L/M]B
5,"instance_372",1,Yes,"13,692.00","113.00","1,048.00","131.00","10,056.00","0.65","0.20","141.00","0.30","131.00","10,507.00",[M-REAL]A|[L]AG|[L/M]C|[L/M]E|[L/M]G|[M-REAL]K|[L]AK|[L]AD|[L]D|[L/M]N|[M-REAL]I|[M-REAL]J|[L]AK|[L/M]H|[M-REAL]M|[M-REAL]L|[L/M]F|[L/M]D|[M-REAL]AC|[L]AM|[L]AD|[L]AN|[L]AK|[L]S|[L]D|[L]AI|[L]AG|[L/M]AJ|[L]S|[L]AK|[L/M]AL|[L]AN|[L/M]AE|[L]AJ|[L]AN|[L]AC|[L/M]AK|[M-REAL]AO|[L]AJ|[L/M]AJ|[L]K|[L]T|[L/M]AM|[L]L|[L]AD|[L]C|[L]O|[L]C|[L/M]AH|[L]D|[L/M]AF|[M-REAL]AI|[L]AE|[L]AL|[L/M]AK|[M-REAL]AO|[L]P|[L]AK|[L/M]AJ|[L]AF|[L/M]AN|[L/M]AK|[L/M]AE|[L]AN|[L/M]AG|[L]AJ|[L]AJ|[L]AJ|[L]AG|[L]AK|[L]AI|[L]K|[L/M]AO|[L]AG|[L/M]AF|[M-REAL]AJ|[L]M|[L]P|[L]AD|[L]V|[L]C|[L]E|[L]G|[L]J|[L]I|[L/M]AN|[L]N|[L/M]AI|[L]F|[L]D|[L]AF|[L]AI|[L]AG|[L/M]AK|[L]AF|[L/M]AO|[L/M]AJ|[L]S|[L]AO|[L/M]AM|[L/M]AK|[L]AK|[L]AC|[L]AJ|[L]AM|[L]AE|[L/M]AE|[L]A|[L]AF|[L]AC|[L]I|[L]O|[L]AO|[L]R|[L]W|[L/M]AO|[L/M]AJ|[M-REAL]AG|[L/M]AF|[M-REAL]t31t29|[L]AC|[L]AJ|[L]AE|[L]AO|[L]AO|[L]AF|[L]AO|[L]U|[L]L|[L]AH|[L]AO|[L]AE|[L]M|[L]AE|[L]R|[L/M]AM|[M-REAL]AK|[M-REAL]t36t29|[M-REAL]AD|[L]H|[L]J|[L/M]C|[M-REAL]t2t14|[L/M]O|[M-REAL]S|[M-REAL]R|[L]AJ|[L/M]P|[M-REAL]t15t3|[M-REAL]D|[L]AK|[L/M]B
6,"instance_83",1,Yes,"10,810.00","92.00","839.00","110.00","7,511.00","0.66","0.23","120.00","0.34","110.00","8,028.00",[L]AI|[L]AE|[L]AG|[L/M]A|[M-REAL]C|[M-REAL]E|[L]AF|[L]AG|[L]F|[L/M]G|[L/M]K|[L]G|[L/M]N|[M-REAL]M|[L/M]L|[L]AG|[L]F|[L/M]I|[M-REAL]J|[M-REAL]H|[M-REAL]F|[L/M]D|[L]AI|[L/M]AC|[L/M]AJ|[L]G|[L/M]AN|[M-REAL]AE|[L/M]AH|[L/M]AF|[L]L|[L]F|[L]AE|[L]AM|[L/M]AK|[L]AD|[L/M]AI|[L]D|[L/M]AE|[L]AD|[L/M]AG|[L]M|[L]C|[L]AE|[L]E|[L]M|[L]C|[L]L|[L]AI|[L/M]AF|[L]AG|[L]E|[L]K|[L]M|[L]N|[L]J|[L]N|[L/M]AI|[M-REAL]AO|[L]F|[L]D|[L]J|[L]AD|[L]AE|[L/M]AJ|[L/M]AM|[L/M]AE|[L]AI|[L/M]AK|[M-REAL]AO|[L/M]AJ|[L/M]AG|[L/M]AF|[M-REAL]AI|[L]AE|[L]K|[L/M]AE|[L/M]AG|[L/M]AM|[L]AE|[L]AE|[L]G|[L]C|[L]K|[L/M]AF|[M-REAL]t31t29|[L]AO|[L]AF|[L]H|[L]AI|[L]D|[L]I|[L]H|[L/M]AK|[M-REAL]t36t29|[M-REAL]AD|[M-REAL]C|[L]AJ|[L]B|[L]AG|[L]J|[L/M]E|[M-REAL]G|[M-REAL]K|[L]AI|[L]AK|[L/M]N|[L]AF|[L]AE|[L]AF|[L]I|[L/M]I|[L]AH|[L]AF|[L]C|[L]AC|[L]AF|[L/M]M|[L]H|[L]AC|[L/M]J|[L]E|[L]AG|[L/M]L|[L]AF|[L/M]H|[M-REAL]F|[M-REAL]D|[M-REAL]B
7,"instance_133",1,Yes,"9,069.00","95.00","700.00","106.00","7,103.00","0.65","0.18","116.00","0.23","106.00","7,328.00",[M-REAL]A|[M-REAL]C|[M-REAL]t2t14|[L]X|[L]W|[L/M]O|[M-REAL]S|[L]AE|[L]O|[L]P|[L]P|[L]O|[L]AK|[L/M]V|[L]Z|[L]AB|[L/M]W|[M-REAL]U|[L/M]T|[L/M]P|[M-REAL]X|[L]A|[L/M]AB|[L]S|[L]T|[L]Y|[L]T|[L]AF|[L]S|[L]AD|[L]U|[L]P|[L]X|[L/M]AA|[M-REAL]Z|[L]AN|[L]AJ|[L/M]Y|[L/M]O|[L]C|[L/M]S|[L]AI|[L]C|[L/M]V|[L/M]U|[L/M]W|[L]AA|[L]AK|[L]D|[L]AC|[L]AE|[L]S|[L]P|[L]AB|[L]AH|[L]S|[L]AF|[L/M]T|[L]O|[L]Y|[L]S|[L]U|[L]V|[L]AH|[L]W|[L]X|[L]B|[L]AB|[L]S|[L/M]P|[L]W|[L]Z|[L]W|[L]D|[L]Y|[L]D|[L]AC|[L]Z|[L]R|[L/M]X|[L]AE|[L]AF|[L]U|[L]U|[L]U|[L]V|[L]U|[L]P|[L]O|[L]AM|[L]T|[L/M]AA|[L/M]Z|[M-REAL]AB|[L/M]Y|[L]C|[L]AA|[L]V|[L]V|[L]AJ|[L]Z|[L]X|[L]T|[L]AB|[L]AD|[L]AA|[L/M]O|[L/M]S|[M-REAL]U|[L]AH|[L]P|[L/M]W|[L]O|[L/M]V|[L/M]T|[M-REAL]P|[M-REAL]t15t3|[M-REAL]D|[M-REAL]B
8,"instance_383",1,Yes,"9,381.00","90.00","919.00","102.00","7,027.00","0.65","0.20","112.00","0.25","102.00","7,277.00",[L/M]A|[M-REAL]C|[M-REAL]E|[L]AH|[L]M|[L/M]K|[M-REAL]M|[M-REAL]G|[L]AJ|[L]U|[L]O|[L/M]J|[L]C|[L/M]I|[M-REAL]N|[L/M]L|[L/M]H|[L]AF|[L/M]F|[M-REAL]D|[M-REAL]AC|[L]P|[L]AE|[L]O|[L/M]AE|[L]AN|[L/M]AG|[L/M]AJ|[L]V|[L]N|[L]AJ|[L]AK|[L/M]AL|[L/M]AF|[M-REAL]t31t29|[L]C|[L]AJ|[L]AL|[L]C|[L/M]AK|[L]AD|[L]AF|[L]AE|[L]S|[L]R|[L]AC|[L/M]AO|[L]D|[L]P|[L]O|[L/M]AJ|[L]C|[L/M]AM|[L]F|[L/M]AK|[M-REAL]t36t29|[M-REAL]AD|[L]AL|[L]AC|[L]E|[L]AK|[L]S|[L]AK|[L]W|[L]T|[L]P|[L]D|[L]AE|[L]AF|[L]AC|[L/M]C|[L]U|[L]AB|[L]AD|[L]AN|[L/M]E|[M-REAL]K|[L]X|[L]S|[L]W|[L]V|[L]G|[L/M]N|[L]W|[L]T|[L]AD|[L]AC|[L]Z|[L]B|[L]Y|[L]H|[L]S|[L]AK|[L]AA|[L]D|[L]AJ|[L]AD|[L]D|[L]U|[L]P|[L]AG|[L]O|[L]AO|[L]K|[L/M]G|[L/M]M|[L/M]J|[L/M]I|[L]V|[L]AG|[L/M]L|[M-REAL]H|[M-REAL]F|[L/M]D|[M-REAL]B|[L]T
9,"instance_427",1,Yes,"9,517.00","98.00","777.00","105.00","7,253.00","0.64","0.15","115.00","0.15","105.00","7,464.00",[M-REAL]A|[M-REAL]C|[M-REAL]t2t14|[L]W|[L]S|[L/M]O|[M-REAL]S|[L]D|[L]AD|[L]N|[L]M|[L]L|[L/M]W|[M-REAL]U|[M-REAL]V|[L]W|[L/M]T|[M-REAL]P|[L]Z|[L/M]X|[L/M]Z|[L]K|[L/M]AA|[M-REAL]AB|[L/M]Y|[L/M]O|[L]D|[L]U|[L]V|[L]V|[L]L|[L]P|[L]P|[L]D|[L]G|[L]AN|[L]AK|[L]G|[L]E|[L]AH|[L]P|[L]AB|[L]AD|[L]C|[L]AJ|[L/M]S|[L]Z|[L/M]V|[L]T|[L]X|[L]S|[L]E|[L]AB|[L]O|[L]S|[L/M]U|[L/M]W|[L]AM|[L/M]T|[L]X|[L]U|[L]S|[L]Y|[L]O|[L]AD|[L/M]P|[M-REAL]t15t3|[L]R|[L]P|[L]C|[L]AC|[L]AE|[L]H|[L]AE|[L]AG|[L]AK|[L]AF|[L]AO|[L]AJ|[L]AM|[L]J|[L]T|[L]K|[L]C|[L]C|[L]F|[L]AB|[L]AA|[L]A|[L]J|[L/M]D|[L]AH|[L]F|[L]AC|[L]AE|[L]AJ|[L]N|[L]AM|[L]H|[L]AK|[L]AF|[L]AA|[L]M|[L]AJ|[L]AF|[L]AK|[L]AC|[L]I|[L]V|[L]U|[L]I|[L]O|[L]Y|[L/M]B
10,"instance_195",1,Yes,"9,187.00","86.00","803.00","94.00","6,696.00","0.60","0.17","104.00","0.26","94.00","6,975.00",[L/M]A|[L/M]C|[M-REAL]t2t14|[M-REAL]O|[M-REAL]S|[M-REAL]R|[M-REAL]P|[M-REAL]t15t3|[L]AF|[L/M]D|[M-REAL]AC|[L/M]AE|[L]AD|[L/M]AJ|[L]S|[L/M]AL|[L/M]AK|[L]F|[L/M]AO|[L]AO|[L]AM|[L]AO|[L]AK|[L]D|[L/M]AJ|[L/M]AM|[L/M]AK|[L]AD|[L]AM|[L]AJ|[L/M]AO|[L]C|[L]O|[L]AF|[L]C|[L/M]AG|[L]O|[L]AJ|[L/M]AJ|[L]U|[L]W|[L]AJ|[L]P|[L]D|[L]AE|[L]T|[L]AE|[L/M]AF|[L]AK|[L/M]AM|[M-REAL]t31t29|[L/M]AK|[M-REAL]t36t29|[M-REAL]AD|[M-REAL]C|[L]AG|[L]AJ|[L]AJ|[L]AF|[L]AE|[L/M]E|[M-REAL]G|[L]AN|[L]W|[L/M]J|[L]AD|[L]V|[L/M]I|[M-REAL]K|[L]AC|[L]AC|[L]AO|[L]P|[L]T|[L/M]N|[M-REAL]M|[L]P|[L/M]L|[M-REAL]H|[M-REAL]F|[L/M]D|[L]AE|[L]AI|[L]AN|[L]S|[L]AG|[L]AK|[L]R|[L]H|[L]AM|[L]AJ|[L]V|[L]G|[L]AC|[L/M]B|[L]AO|[L]AG|[L]O|[L]AF|[L]AI|[L]AG|[L]AK|[L]C|[L]S|[L]AK|[L]U|[L]K|[L]AM|[L]AK|[L]M
