Result of replaying prAm6.tpn on Process 1

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"instance_1104|instance_1020|instance_1044|instance_118|instance_944|instance_546",6,Yes,"279.00","18.00","15.00","33.00","150.00","0.73","0.65","52.00","0.73","33.00","235.00",[L/M]A+complete|[L/M]C+complete|[L/M]JM+complete|[M-REAL]LZ+complete|[M-REAL]LW+complete|[M-REAL]LY+complete|[M-REAL]LV+complete|[L]LN+complete|[L]LP+complete|[L]LO+complete|[L/M]LR+complete|[L]LU+complete|[L/M]LT+complete|[L]LV+complete|[L/M]LS+complete|[M-REAL]LU+complete|[M-REAL]LQ+complete|[M-REAL]LN+complete|[M-REAL]LO+complete|[M-REAL]LP+complete|[L]LW+complete|[L]LZ+complete|[L]LY+complete|[L]LX+complete|[L/M]MA+complete|[L/M]MD+complete|[L/M]MC+complete|[L/M]MB+complete|[L/M]ME+complete|[L/M]MG+complete|[L/M]MH+complete|[L/M]MF+complete|[L/M]MR+complete|[L/M]MU+complete|[L/M]MT+complete|[L/M]MS+complete|[L/M]MV+complete|[L/M]MY+complete|[L/M]MW+complete|[L/M]JN+complete|[L/M]D+complete|[L/M]B+complete
2,"instance_103|instance_1146|instance_78|instance_277|instance_184",5,Yes,"66.00","0.00","56.00","19.00","20.00","1.00","1.00","38.00","1.00","19.00","66.00",[L/M]A+complete|[L/M]C+complete|[L/M]EC+complete|[L/M]HL+complete|[L/M]HV+complete|[L/M]IC+complete|[L/M]ID+complete|[L/M]HW+complete|[L/M]HM+complete|[L/M]IU+complete|[L/M]IW+complete|[L/M]IX+complete|[L/M]IY+complete|[L/M]JA+complete|[L/M]IZ+complete|[L/M]IV+complete|[L/M]ED+complete|[L/M]D+complete|[L/M]B+complete
3,"instance_1012|instance_244|instance_923|instance_1101|instance_757",5,Yes,"66.00","0.00","47.00","19.00","20.00","1.00","1.00","38.00","1.00","19.00","66.00",[L/M]A+complete|[L/M]C+complete|[L/M]EC+complete|[L/M]HL+complete|[L/M]HV+complete|[L/M]IC+complete|[L/M]ID+complete|[L/M]HW+complete|[L/M]HM+complete|[L/M]IU+complete|[L/M]IW+complete|[L/M]IX+complete|[L/M]IY+complete|[L/M]JB+complete|[L/M]IZ+complete|[L/M]IV+complete|[L/M]ED+complete|[L/M]D+complete|[L/M]B+complete
4,"instance_941|instance_984|instance_276|instance_823",4,Yes,"283.00","18.00","18.00","34.00","151.00","0.74","0.66","53.00","0.74","34.00","238.00",[L/M]A+complete|[L/M]C+complete|[L/M]JM+complete|[M-REAL]LZ+complete|[M-REAL]LW+complete|[M-REAL]LY+complete|[M-REAL]LV+complete|[L]LN+complete|[L]LP+complete|[L]LO+complete|[L/M]LR+complete|[L]LU+complete|[L/M]LT+complete|[L]LV+complete|[L/M]LS+complete|[M-REAL]LU+complete|[M-REAL]LQ+complete|[M-REAL]LN+complete|[M-REAL]LO+complete|[M-REAL]LP+complete|[L]LW+complete|[L]LY+complete|[L]LZ+complete|[L]LX+complete|[L/M]MA+complete|[L/M]MD+complete|[L/M]MC+complete|[L/M]MB+complete|[L/M]ME+complete|[L/M]MI+complete|[L/M]MK+complete|[L/M]MJ+complete|[L/M]MF+complete|[L/M]MR+complete|[L/M]MU+complete|[L/M]MT+complete|[L/M]MS+complete|[L/M]MV+complete|[L/M]MY+complete|[L/M]MW+complete|[L/M]JN+complete|[L/M]D+complete|[L/M]B+complete
5,"instance_1095|instance_496|instance_1081|instance_57",4,Yes,"284.00","18.00","21.00","34.00","151.00","0.74","0.66","53.00","0.74","34.00","238.00",[L/M]A+complete|[L/M]C+complete|[L/M]JM+complete|[M-REAL]LZ+complete|[M-REAL]LW+complete|[M-REAL]LY+complete|[M-REAL]LV+complete|[L]LN+complete|[L]LP+complete|[L]LO+complete|[L/M]LR+complete|[L]LU+complete|[L/M]LT+complete|[L]LV+complete|[L/M]LS+complete|[M-REAL]LU+complete|[M-REAL]LQ+complete|[M-REAL]LN+complete|[M-REAL]LO+complete|[M-REAL]LP+complete|[L]LW+complete|[L]LZ+complete|[L]LY+complete|[L]LX+complete|[L/M]MA+complete|[L/M]MD+complete|[L/M]MC+complete|[L/M]MB+complete|[L/M]ME+complete|[L/M]MM+complete|[L/M]MQ+complete|[L/M]MN+complete|[L/M]MF+complete|[L/M]MR+complete|[L/M]MT+complete|[L/M]MU+complete|[L/M]MS+complete|[L/M]MV+complete|[L/M]MY+complete|[L/M]MW+complete|[L/M]JN+complete|[L/M]D+complete|[L/M]B+complete
6,"instance_593|instance_259|instance_38|instance_845",4,Yes,"284.00","18.00","14.00","34.00","151.00","0.74","0.66","53.00","0.74","34.00","238.00",[L/M]A+complete|[L/M]C+complete|[L/M]JM+complete|[M-REAL]LZ+complete|[M-REAL]LW+complete|[M-REAL]LY+complete|[M-REAL]LV+complete|[L]LN+complete|[L]LP+complete|[L]LO+complete|[L/M]LR+complete|[L]LU+complete|[L/M]LT+complete|[L]LV+complete|[L/M]LS+complete|[M-REAL]LU+complete|[M-REAL]LQ+complete|[M-REAL]LN+complete|[M-REAL]LO+complete|[M-REAL]LP+complete|[L]LW+complete|[L]LZ+complete|[L]LY+complete|[L]LX+complete|[L/M]MA+complete|[L/M]MD+complete|[L/M]MC+complete|[L/M]MB+complete|[L/M]ME+complete|[L/M]MM+complete|[L/M]MQ+complete|[L/M]MN+complete|[L/M]MF+complete|[L/M]MR+complete|[L/M]MU+complete|[L/M]MT+complete|[L/M]MS+complete|[L/M]MV+complete|[L/M]MY+complete|[L/M]MW+complete|[L/M]JN+complete|[L/M]D+complete|[L/M]B+complete
7,"instance_851|instance_805|instance_729|instance_201",4,Yes,"284.00","18.00","12.00","34.00","151.00","0.74","0.66","53.00","0.74","34.00","238.00",[L/M]A+complete|[L/M]C+complete|[L/M]JM+complete|[M-REAL]LZ+complete|[M-REAL]LW+complete|[M-REAL]LY+complete|[M-REAL]LV+complete|[L]LN+complete|[L]LP+complete|[L]LO+complete|[L/M]LR+complete|[L]LU+complete|[L/M]LT+complete|[L]LV+complete|[L/M]LS+complete|[M-REAL]LU+complete|[M-REAL]LQ+complete|[M-REAL]LN+complete|[M-REAL]LO+complete|[M-REAL]LP+complete|[L]LW+complete|[L]LY+complete|[L]LZ+complete|[L]LX+complete|[L/M]MA+complete|[L/M]MD+complete|[L/M]MC+complete|[L/M]MB+complete|[L/M]ME+complete|[L/M]MM+complete|[L/M]MQ+complete|[L/M]MN+complete|[L/M]MF+complete|[L/M]MR+complete|[L/M]MT+complete|[L/M]MU+complete|[L/M]MS+complete|[L/M]MV+complete|[L/M]MY+complete|[L/M]MW+complete|[L/M]JN+complete|[L/M]D+complete|[L/M]B+complete
8,"instance_718|instance_982|instance_781|instance_1192",4,Yes,"277.00","18.00","43.00","33.00","149.00","0.73","0.65","52.00","0.73","33.00","233.00",[L/M]A+complete|[L/M]C+complete|[L/M]JM+complete|[M-REAL]LZ+complete|[M-REAL]LW+complete|[M-REAL]LY+complete|[M-REAL]LV+complete|[L]LN+complete|[L]LP+complete|[L]LO+complete|[L/M]LR+complete|[L/M]LT+complete|[L]LU+complete|[L]LV+complete|[L/M]LS+complete|[M-REAL]LU+complete|[M-REAL]LQ+complete|[M-REAL]LN+complete|[M-REAL]LO+complete|[M-REAL]LP+complete|[L]LW+complete|[L]LY+complete|[L]LZ+complete|[L]LX+complete|[L/M]MA+complete|[L/M]MC+complete|[L/M]MD+complete|[L/M]MB+complete|[L/M]ME+complete|[L/M]MG+complete|[L/M]MH+complete|[L/M]MF+complete|[L/M]MR+complete|[L/M]MU+complete|[L/M]MT+complete|[L/M]MS+complete|[L/M]MV+complete|[L/M]MY+complete|[L/M]MW+complete|[L/M]JN+complete|[L/M]D+complete|[L/M]B+complete
9,"instance_508|instance_1172|instance_760|instance_315",4,Yes,"277.00","18.00","14.00","33.00","149.00","0.73","0.65","52.00","0.73","33.00","233.00",[L/M]A+complete|[L/M]C+complete|[L/M]JM+complete|[M-REAL]LZ+complete|[M-REAL]LW+complete|[M-REAL]LY+complete|[M-REAL]LV+complete|[L]LN+complete|[L]LP+complete|[L]LO+complete|[L/M]LR+complete|[L/M]LT+complete|[L]LU+complete|[L]LV+complete|[L/M]LS+complete|[M-REAL]LU+complete|[M-REAL]LQ+complete|[M-REAL]LN+complete|[M-REAL]LO+complete|[M-REAL]LP+complete|[L]LW+complete|[L]LY+complete|[L]LZ+complete|[L]LX+complete|[L/M]MA+complete|[L/M]MC+complete|[L/M]MD+complete|[L/M]MB+complete|[L/M]ME+complete|[L/M]MG+complete|[L/M]MH+complete|[L/M]MF+complete|[L/M]MR+complete|[L/M]MT+complete|[L/M]MU+complete|[L/M]MS+complete|[L/M]MV+complete|[L/M]MY+complete|[L/M]MW+complete|[L/M]JN+complete|[L/M]D+complete|[L/M]B+complete
10,"instance_887|instance_721|instance_735|instance_8",4,Yes,"279.00","18.00","12.00","33.00","150.00","0.73","0.65","52.00","0.73","33.00","235.00",[L/M]A+complete|[L/M]C+complete|[L/M]JM+complete|[M-REAL]LZ+complete|[M-REAL]LW+complete|[M-REAL]LY+complete|[M-REAL]LV+complete|[L]LN+complete|[L]LP+complete|[L]LO+complete|[L/M]LR+complete|[L]LU+complete|[L/M]LT+complete|[L]LV+complete|[L/M]LS+complete|[M-REAL]LU+complete|[M-REAL]LQ+complete|[M-REAL]LN+complete|[M-REAL]LO+complete|[M-REAL]LP+complete|[L]LW+complete|[L]LY+complete|[L]LZ+complete|[L]LX+complete|[L/M]MA+complete|[L/M]MD+complete|[L/M]MC+complete|[L/M]MB+complete|[L/M]ME+complete|[L/M]MG+complete|[L/M]MH+complete|[L/M]MF+complete|[L/M]MR+complete|[L/M]MT+complete|[L/M]MU+complete|[L/M]MS+complete|[L/M]MV+complete|[L/M]MY+complete|[L/M]MW+complete|[L/M]JN+complete|[L/M]D+complete|[L/M]B+complete
