Result of replaying prBm6.tpn on Process 6

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"instance_1089|instance_553|instance_961|instance_732|instance_858|instance_207|instance_653|instance_1072|instance_171|instance_366|instance_68|instance_578|instance_345|instance_222",14,Yes,"55.00","0.00","63.00","16.00","17.00","1.00","1.00","30.00","1.00","16.00","56.00",[L/M]A+complete|[L/M]C+complete|[L/M]FR+complete|[L/M]HY+complete|[L/M]IA+complete|[L/M]IR+complete|[L/M]IT+complete|[L/M]IU+complete|[L/M]IS+complete|[L/M]IV+complete|[L/M]IW+complete|[L/M]IB+complete|[L/M]HZ+complete|[L/M]FS+complete|[L/M]D+complete|[L/M]B+complete
2,"instance_65|instance_543|instance_550|instance_327|instance_951|instance_833|instance_398|instance_1075|instance_966|instance_985|instance_71|instance_644",12,Yes,"55.00","0.00","5.00","16.00","17.00","1.00","1.00","30.00","1.00","16.00","56.00",[L/M]A+complete|[L/M]C+complete|[L/M]FR+complete|[L/M]HY+complete|[L/M]IA+complete|[L/M]IR+complete|[L/M]IU+complete|[L/M]IT+complete|[L/M]IS+complete|[L/M]IV+complete|[L/M]IW+complete|[L/M]IB+complete|[L/M]HZ+complete|[L/M]FS+complete|[L/M]D+complete|[L/M]B+complete
3,"instance_626|instance_448|instance_42|instance_668|instance_177|instance_862|instance_992|instance_329|instance_286|instance_825|instance_986",11,Yes,"62.00","0.00","6.00","17.00","18.00","1.00","1.00","31.00","1.00","17.00","61.00",[L/M]A+complete|[L/M]C+complete|[L/M]FR+complete|[L/M]HY+complete|[L/M]KN+complete|[L/M]KP+complete|[L/M]KR+complete|[L/M]KT+complete|[L/M]KS+complete|[L/M]KV+complete|[L/M]KU+complete|[L/M]KQ+complete|[L/M]KO+complete|[L/M]HZ+complete|[L/M]FS+complete|[L/M]D+complete|[L/M]B+complete
4,"instance_655|instance_348|instance_357|instance_642|instance_406|instance_224|instance_1040|instance_864|instance_1101",9,Yes,"59.00","0.00","62.00","17.00","18.00","1.00","1.00","31.00","1.00","17.00","59.00",[L/M]A+complete|[L/M]C+complete|[L/M]FR+complete|[L/M]HY+complete|[L/M]KN+complete|[L/M]KX+complete|[L/M]KZ+complete|[L/M]KY+complete|[L/M]LB+complete|[L/M]LD+complete|[L/M]LE+complete|[L/M]LC+complete|[L/M]KO+complete|[L/M]HZ+complete|[L/M]FS+complete|[L/M]D+complete|[L/M]B+complete
5,"instance_188|instance_1146|instance_263|instance_1189|instance_527|instance_623",6,Yes,"59.00","0.00","42.00","17.00","18.00","1.00","1.00","31.00","1.00","17.00","59.00",[L/M]A+complete|[L/M]C+complete|[L/M]FR+complete|[L/M]HY+complete|[L/M]KN+complete|[L/M]KX+complete|[L/M]LA+complete|[L/M]KY+complete|[L/M]LB+complete|[L/M]LE+complete|[L/M]LD+complete|[L/M]LC+complete|[L/M]KO+complete|[L/M]HZ+complete|[L/M]FS+complete|[L/M]D+complete|[L/M]B+complete
6,"instance_296|instance_287|instance_1115|instance_123|instance_67|instance_440",6,Yes,"57.00","0.00","60.00","16.00","17.00","1.00","1.00","30.00","1.00","16.00","58.00",[L/M]A+complete|[L/M]C+complete|[L/M]FR+complete|[L/M]HY+complete|[L/M]IA+complete|[L/M]IC+complete|[L/M]IE+complete|[L/M]IH+complete|[L/M]IG+complete|[L/M]IF+complete|[L/M]ID+complete|[L/M]IB+complete|[L/M]HZ+complete|[L/M]FS+complete|[L/M]D+complete|[L/M]B+complete
7,"instance_130|instance_769|instance_673|instance_1017|instance_1125",5,Yes,"62.00","0.00","50.00","17.00","18.00","1.00","1.00","31.00","1.00","17.00","61.00",[L/M]A+complete|[L/M]C+complete|[L/M]FR+complete|[L/M]HY+complete|[L/M]KN+complete|[L/M]KP+complete|[L/M]KR+complete|[L/M]KT+complete|[L/M]KS+complete|[L/M]KW+complete|[L/M]KU+complete|[L/M]KQ+complete|[L/M]KO+complete|[L/M]HZ+complete|[L/M]FS+complete|[L/M]D+complete|[L/M]B+complete
8,"instance_851|instance_1186|instance_877|instance_1067",4,Yes,"59.00","0.00","1.00","17.00","18.00","1.00","1.00","31.00","1.00","17.00","59.00",[L/M]A+complete|[L/M]C+complete|[L/M]FR+complete|[L/M]HY+complete|[L/M]KN+complete|[L/M]KX+complete|[L/M]LA+complete|[L/M]KY+complete|[L/M]LB+complete|[L/M]LD+complete|[L/M]LE+complete|[L/M]LC+complete|[L/M]KO+complete|[L/M]HZ+complete|[L/M]FS+complete|[L/M]D+complete|[L/M]B+complete
9,"instance_476|instance_105|instance_358|instance_620",4,Yes,"63.00","0.00","6.00","17.00","18.00","1.00","1.00","31.00","1.00","17.00","61.00",[L/M]A+complete|[L/M]C+complete|[L/M]FR+complete|[L/M]HY+complete|[L/M]KN+complete|[L/M]KP+complete|[L/M]KT+complete|[L/M]KR+complete|[L/M]KS+complete|[L/M]KW+complete|[L/M]KU+complete|[L/M]KQ+complete|[L/M]KO+complete|[L/M]HZ+complete|[L/M]FS+complete|[L/M]D+complete|[L/M]B+complete
10,"instance_921|instance_502|instance_699|instance_313",4,Yes,"55.00","0.00","52.00","15.00","16.00","1.00","1.00","29.00","1.00","15.00","55.00",[L/M]A+complete|[L/M]C+complete|[L/M]FR+complete|[L/M]HY+complete|[L/M]IX+complete|[L/M]JQ+complete|[L/M]JZ+complete|[L/M]KC+complete|[L/M]KA+complete|[L/M]JR+complete|[L/M]IY+complete|[L/M]HZ+complete|[L/M]FS+complete|[L/M]D+complete|[L/M]B+complete
11,"instance_32|instance_685|instance_910",3,Yes,"62.00","0.00","10.00","17.00","18.00","1.00","1.00","31.00","1.00","17.00","63.00",[L/M]A+complete|[L/M]C+complete|[L/M]FR+complete|[L/M]HY+complete|[L/M]IA+complete|[L/M]IC+complete|[L/M]II+complete|[L/M]IK+complete|[L/M]IM+complete|[L/M]IL+complete|[L/M]IJ+complete|[L/M]ID+complete|[L/M]IB+complete|[L/M]HZ+complete|[L/M]FS+complete|[L/M]D+complete|[L/M]B+complete
12,"instance_115|instance_783",2,Yes,"82.00","0.00","32.00","20.00","21.00","1.00","1.00","34.00","1.00","20.00","83.00",[L/M]A+complete|[L/M]C+complete|[L/M]FR+complete|[L/M]HY+complete|[L/M]IX+complete|[L/M]KD+complete|[L/M]KH+complete|[L/M]KF+complete|[L/M]KL+complete|[L/M]KM+complete|[L/M]KJ+complete|[L/M]KK+complete|[L/M]KG+complete|[L/M]KI+complete|[L/M]KE+complete|[L/M]IY+complete|[L/M]HZ+complete|[L/M]FS+complete|[L/M]D+complete|[L/M]B+complete
